case,accounting_interval,vehicle_id,energy_served_kWh
CASE-1,0,1,0.0
CASE-1,0,2,0.0
CASE-1,0,3,0.0
CASE-1,0,4,0.0
CASE-1,0,5,0.0
CASE-1,0,6,0.0
CASE-10,0,1,0.0
CASE-10,0,2,0.0
CASE-10,0,3,0.0
CASE-10,0,4,0.0
CASE-10,0,5,0.0
CASE-10,0,6,0.0
CASE-2,0,1,0.0
CASE-2,0,2,0.0
CASE-2,0,3,0.0
CASE-2,0,4,0.0
CASE-2,0,5,0.0
CASE-2,0,6,0.0
CASE-2,1,1,0.0
CASE-2,1,2,0.0
CASE-2,1,3,0.0
CASE-2,1,4,0.0
CASE-2,1,5,0.0
CASE-2,1,6,0.0
CASE-3,0,1,0.0
CASE-3,0,2,0.0
CASE-3,0,3,0.0
CASE-3,0,4,0.0
CASE-3,0,5,0.0
CASE-3,0,6,0.0
CASE-3,1,1,0.0
CASE-3,1,2,0.0
CASE-3,1,3,0.0
CASE-3,1,4,0.0
CASE-3,1,5,0.0
CASE-3,1,6,0.0
CASE-3,2,1,0.0
CASE-3,2,2,0.0
CASE-3,2,3,0.0
CASE-3,2,4,0.0
CASE-3,2,5,0.0
CASE-3,2,6,0.0
CASE-3,3,1,0.0
CASE-3,3,2,0.0
CASE-3,3,3,0.0
CASE-3,3,4,0.0
CASE-3,3,5,0.0
CASE-3,3,6,0.0
CASE-4,0,1,0.0
CASE-4,0,2,0.0
CASE-4,0,3,0.0
CASE-4,0,4,0.0
CASE-4,0,5,0.0
CASE-4,0,6,0.0
CASE-4,1,1,0.0
CASE-4,1,2,0.0
CASE-4,1,3,0.0
CASE-4,1,4,0.0
CASE-4,1,5,0.0
CASE-4,1,6,0.0
CASE-4,2,1,0.0
CASE-4,2,2,0.0
CASE-4,2,3,0.0
CASE-4,2,4,0.0
CASE-4,2,5,0.0
CASE-4,2,6,0.0
CASE-4,3,1,0.0
CASE-4,3,2,0.0
CASE-4,3,3,0.0
CASE-4,3,4,0.0
CASE-4,3,5,0.0
CASE-4,3,6,0.0
CASE-5-reroute,0,1,0.0
CASE-5-reroute,0,2,0.0
CASE-5-reroute,0,3,0.0
CASE-5-reroute,0,4,0.0
CASE-5-reroute,0,5,0.0
CASE-5-reroute,0,6,0.0
CASE-5-reroute,1,1,0.0
CASE-5-reroute,1,2,0.0
CASE-5-reroute,1,3,0.0
CASE-5-reroute,1,4,0.0
CASE-5-reroute,1,5,0.0
CASE-5-reroute,1,6,0.0
CASE-5-reroute,2,1,0.0
CASE-5-reroute,2,2,0.0
CASE-5-reroute,2,3,0.0
CASE-5-reroute,2,4,0.0
CASE-5-reroute,2,5,0.0
CASE-5-reroute,2,6,0.0
CASE-5-reroute,3,1,0.0
CASE-5-reroute,3,2,0.0
CASE-5-reroute,3,3,0.0
CASE-5-reroute,3,4,0.0
