path,bytes,sha256_before,sha256_after,unchanged
AGENTS.md,1574,4ba57309365b603c0fd6fed0d05948f124f27c72fb3c4256c4d32b93c7b11e6b,4ba57309365b603c0fd6fed0d05948f124f27c72fb3c4256c4d32b93c7b11e6b,True
codex_rule\core.md,9703,7ae8384697a5a0c12341ef8b08f532eb0b236a4d7fe9cf4279632b6a4bfd143e,7ae8384697a5a0c12341ef8b08f532eb0b236a4d7fe9cf4279632b6a4bfd143e,True
codex_rule\log.md,816506,f5432597512c9b7c20a678b3284ec03adafe1c661940cfd66f7e46f9e766614b,f5432597512c9b7c20a678b3284ec03adafe1c661940cfd66f7e46f9e766614b,True
codex_rule\longtask.md,25780,425cafec81173e847d69204b3e12054daff267030403f83530ae44d8295cdf78,425cafec81173e847d69204b3e12054daff267030403f83530ae44d8295cdf78,True
codex_rule\OOS_rule.md,72102,9ca8f85d2f836dbcf13e7efbd616b362b950f962787a1a5fa5848fe3b0e70197,9ca8f85d2f836dbcf13e7efbd616b362b950f962787a1a5fa5848fe3b0e70197,True
data\yuanqi\near_stage_msp_input.mat,8934,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,536b25868e6d7cc812a331c0d3e0ffbd5f6958e6883bd39bcae3901c372abf24,True
data\yuanqi\stage1_road_edges.csv,2668,44ad261da479dbf3ad8ced6d49f587fa3cc53f0c5994cdb95df492562cbae351,44ad261da479dbf3ad8ced6d49f587fa3cc53f0c5994cdb95df492562cbae351,True
data\yuanqi\stage1_site_nodes.csv,172,1d691c97a303e4d7e36be94570abcc80d109522113241b4195ad545caa6d001b,1d691c97a303e4d7e36be94570abcc80d109522113241b4195ad545caa6d001b,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\00_report_zh.md,15968,d97258975c5e2358264d6dcc440decb048a81b822afbe82faf7805c61476c7fd,d97258975c5e2358264d6dcc440decb048a81b822afbe82faf7805c61476c7fd,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\analysis_control_card.json,1599,e7f945a96960bc4c3a1e8757430803d5a7becf6ae77d59b9bc3de7326e08884e,e7f945a96960bc4c3a1e8757430803d5a7becf6ae77d59b9bc3de7326e08884e,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\analysis_qa.csv,631,c1c24ed3df48348ad2f895a728cb59c29287d700178b26e7da98b82a2e38e1bc,c1c24ed3df48348ad2f895a728cb59c29287d700178b26e7da98b82a2e38e1bc,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\audit_metrics.json,560,9f5417cb8361772e37f6a4519a47109ae7fb2297ab1c48e342002a09f8b28be2,9f5417cb8361772e37f6a4519a47109ae7fb2297ab1c48e342002a09f8b28be2,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\closeout_source_manifest.csv,392,19fdb1534cca979a927e03ac91267f5f814d90384f860e90753375cdcfabbd21,19fdb1534cca979a927e03ac91267f5f814d90384f860e90753375cdcfabbd21,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\closure_mask_point_frequency.npz,775026,01e840bddf5b3e2e3e91d2aef6c7d606b79ded721e662ab07cf90722b6a848dc,01e840bddf5b3e2e3e91d2aef6c7d606b79ded721e662ab07cf90722b6a848dc,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\communication_qa.csv,304,e72adbdf76ab7a552a1c274cf567128c3196bdb041cd47c3d5cd5b9515f01384,e72adbdf76ab7a552a1c274cf567128c3196bdb041cd47c3d5cd5b9515f01384,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\data_preservation_qa.csv,425,7aeb3945f9b59ff78e456ebd5b83e57e1aefd1885f1b309967e197ba4f21e221,7aeb3945f9b59ff78e456ebd5b83e57e1aefd1885f1b309967e197ba4f21e221,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\delivery_qa.json,226,c393bf697e94497b6b08d1aaa7589c168e2f69c2282d0a8edb9f018690c891df,c393bf697e94497b6b08d1aaa7589c168e2f69c2282d0a8edb9f018690c891df,True
results\task-002-stage2b-b3-smoke\w-oos-v1-b1-scale\run-001\final_closeout.json,462,f1c0861fc1893029e101be0b7177eeadee8196df7ef27636a22694068f7669c6,f1c0861fc1893029e101be0b7177eeadee8196df7ef27636a22694068f7669c6,True
