check,result,detail
B3_ENGINE_REGRESSION_QA,PASS,B4C local forensic/coupling gate
EVENT_DRIVEN_GRID_REGRESSION_QA,PASS,B4C local forensic/coupling gate
LINDISTFLOW_REGRESSION_QA,PASS,B4C local forensic/coupling gate
FC_DISPATCH_CAP_QA,PASS,B4C local forensic/coupling gate
FC_PF_QA,PASS,B4C local forensic/coupling gate
FC_H2_COUPLING_QA,PASS,B4C local forensic/coupling gate
FC_STATION_BALANCE_QA,PASS,B4C local forensic/coupling gate
MFCV_ACTUAL_DISPATCH_QA,PASS,B4C local forensic/coupling gate
MFCV_PF_QA,PASS,B4C local forensic/coupling gate
MFCV_H2_COUPLING_QA,PASS,B4C local forensic/coupling gate
MFCV_ONBOARD_BALANCE_QA,PASS,B4C local forensic/coupling gate
ROOT_ELIGIBILITY_NOT_POWER_QA,PASS,B4C local forensic/coupling gate
UNIQUE_TOPOLOGICAL_ROOT_QA,PASS,B4C local forensic/coupling gate
MULTI_SOURCE_DISPATCH_QA,PASS,B4C local forensic/coupling gate
NO_FREE_POWER_QA,PASS,B4C local forensic/coupling gate
NO_H2_DOUBLE_SPEND_QA,PASS,B4C local forensic/coupling gate
SYSTEM_H2_IDENTITY_QA,PASS,B4C local forensic/coupling gate
CASE3_CAPACITY_IDENTITY_QA,PASS,B4C local forensic/coupling gate
CASE4_ARRIVAL_H2_IDENTITY_QA,PASS,B4C local forensic/coupling gate
LEDGER_SEMANTICS_QA,PASS,B4C local forensic/coupling gate
EENS_IDENTITY_QA,PASS,B4C local forensic/coupling gate
FROZEN_REALIZATION_INTEGRATION_QA,PASS,B4C local forensic/coupling gate
DATA_PRESERVATION_QA,PASS,B4C local forensic/coupling gate
