case,event_index,interval_start_h,interval_end_h,duration_h,mask,served_P_kW,served_Q_kvar,load_P_kW,load_Q_kvar,shed_P_kW,shed_Q_kvar,EENS_kWh,min_voltage_pu,max_voltage_pu,max_branch_utilization,active_branch_count,switch_operations
CASE-1,0,0.0,3.5,3.5,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,32
CASE-2,0,0.0,1.0,1.0,16777216,3715.0,1155.9466603626684,3715.0,2300.0,0.0,1144.0533396373316,0.0,0.9,1.0,0.5169798226596908,32,32
CASE-2,1,1.0,1.5,0.5,16777216,3715.0,1155.9466603626684,3715.0,2300.0,0.0,1144.0533396373316,0.0,0.9,1.0,0.5169798226596908,32,0
CASE-2,2,1.5,3.5,2.0,16777216,3715.0,1155.9466603626684,3715.0,2300.0,0.0,1144.0533396373316,0.0,0.9,1.0,0.5169798226596908,32,0
CASE-3,0,0.0,1.0,1.0,12582912,3595.0,2245.296631451356,3715.0,2300.0,120.0,54.703368548643994,120.0,0.9011403883335192,1.0,0.6512173429645266,31,31
CASE-3,1,1.0,2.0,1.0,12582912,3595.0,2245.296631451356,3715.0,2300.0,120.0,54.703368548643994,120.0,0.9011403883335192,1.0,0.6512173429645266,31,0
CASE-3,2,2.0,3.5,1.5,12582912,3595.0,2245.296631451356,3715.0,2300.0,120.0,54.703368548643994,180.0,0.9011403883335192,1.0,0.6512173429645266,31,0
CASE-4,0,0.0,1.2166666666667,1.2166666666667,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,109.50000000000301,0.9,1.0,0.6496733336751096,31,31
CASE-4,1,1.2166666666667,1.5,0.2833333333332999,6291456,3715.0,2293.588989435407,3715.0,2300.0,0.0,6.411010564593198,0.0,0.9,1.0,0.6496733336751096,31,0
CASE-4,2,1.5,3.5,2.0,6291456,3703.9075000000016,2288.2166464874936,3715.0,2300.0,11.092499999998381,11.783353512506437,22.184999999996762,0.9,1.0,0.6496733336751096,31,0
CASE-5,0,0.0,1.0,1.0,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,32
CASE-5,1,1.0,1.2166666666667,0.2166666666667001,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,0
CASE-5,2,1.2166666666667,1.5,0.2833333333332999,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,0
CASE-5,3,1.5,3.5,2.0,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,0
CASE-6,0,0.0,1.0,1.0,6291456,3715.0,2293.588989435407,3715.0,2300.0,0.0,6.411010564593198,0.0,0.9,1.0,0.6496733336751096,31,31
CASE-6,1,1.0,2.0,1.0,6291456,3715.0,2293.588989435407,3715.0,2300.0,0.0,6.411010564593198,0.0,0.9,1.0,0.6496733336751096,31,0
CASE-6,2,2.0,2.5,0.5,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,45.0,0.9,1.0,0.6496733336751096,31,0
CASE-6,3,2.5,3.5,1.0,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,90.0,0.9,1.0,0.6496733336751096,31,0
CASE-7,0,0.0,1.0,1.0,6291456,3715.0,2293.588989435407,3715.0,2300.0,0.0,6.411010564593198,0.0,0.9,1.0,0.6496733336751096,31,31
CASE-7,1,1.0,2.0,1.0,6291456,3626.6575000000003,2250.802763888769,3715.0,2300.0,88.34249999999975,49.19723611123118,88.34249999999975,0.9,1.0,0.6496733336751096,31,0
CASE-7,2,2.0,3.5,1.5,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,135.0,0.9,1.0,0.6496733336751096,31,0
CASE-8,0,0.0,3.5,3.5,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,315.0,0.9,1.0,0.6496733336751096,31,31
CASE-9,0,0.0,3.5,3.5,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,32
CASE-10,0,0.0,1.2166666666667,1.2166666666667,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,32
CASE-10,1,1.2166666666667,3.5,2.2833333333333,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,0
CASE-11,0,0.0,3.5,3.5,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,32
CASE-12,0,0.0,1.0,1.0,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,32
CASE-12,1,1.0,2.0,1.0,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,0
CASE-12,2,2.0,3.5,1.5,0,3715.0,2300.0,3715.0,2300.0,0.0,0.0,0.0,0.9159401637684865,1.0,0.7282251063754639,32,0
CASE-13_EVENT,0,0.0,1.0,1.0,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,90.0,0.9,1.0,0.6496733336751096,31,31
CASE-13_EVENT,1,1.0,1.2166666666667,0.2166666666667001,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,19.50000000000301,0.9,1.0,0.6496733336751096,31,0
CASE-13_EVENT,2,1.2166666666667,1.5,0.2833333333332999,6291456,3715.0,2293.588989435407,3715.0,2300.0,0.0,6.411010564593198,0.0,0.9,1.0,0.6496733336751096,31,0
CASE-13_EVENT,3,1.5,3.5,2.0,6291456,3703.9075000000016,2288.2166464874936,3715.0,2300.0,11.092499999998381,11.783353512506437,22.184999999996762,0.9,1.0,0.6496733336751096,31,0
CASE-13_DELAY,0,0.0,1.0,1.0,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,90.0,0.9,1.0,0.6496733336751096,31,31
CASE-13_DELAY,1,1.0,1.5,0.5,6291456,3625.0,2250.0,3715.0,2300.0,90.0,50.0,45.0,0.9,1.0,0.6496733336751096,31,0
CASE-13_DELAY,2,1.5,3.5,2.0,6291456,3715.0,2293.588989435407,3715.0,2300.0,0.0,6.411010564593198,0.0,0.9,1.0,0.6496733336751096,31,0
FROZEN_REALIZATION_STATE1_PATH117_W2,0,0.0,1.0,1.0,16777216,3715.0,1155.9466603626684,3715.0,2300.0,0.0,1144.0533396373316,0.0,0.9,1.0,0.5169798226596908,32,32
FROZEN_REALIZATION_STATE1_PATH117_W2,1,1.0,1.2166666666667,0.2166666666667001,16777216,3715.0,1155.9466603626684,3715.0,2300.0,0.0,1144.0533396373316,0.0,0.9,1.0,0.5169798226596908,32,0
FROZEN_REALIZATION_STATE1_PATH117_W2,2,1.2166666666667,1.5,0.2833333333332999,16777216,3715.0,1186.7121269123982,3715.0,2300.0,0.0,1113.2878730876018,0.0,0.9,1.0,0.4782968380160979,32,0
FROZEN_REALIZATION_STATE1_PATH117_W2,3,1.5,2.0,0.5,16777216,3715.0,1186.7121269123982,3715.0,2300.0,0.0,1113.2878730876018,0.0,0.9,1.0,0.4782968380160979,32,0
FROZEN_REALIZATION_STATE1_PATH117_W2,4,2.0,2.5,0.5,16777216,3715.0,1159.1124139610192,3715.0,2300.0,0.0,1140.8875860389808,0.0,0.9,1.0,0.5131213888889146,32,0
