case,initial_total_H2_kg,initial_station_H2_kg,initial_onboard_H2_kg,fixed_FC_H2_use_kg,MFCV_H2_use_kg,final_station_H2_kg,final_onboard_H2_kg,identity_error_kg
CASE-1,223.9312153119796,195.9312153119796,28.0,0.0,0.0,195.9312153119796,28.0,0.0
CASE-2,223.9312153119796,195.9312153119796,28.0,137.46829228376532,0.0,58.46292302821428,28.0,0.0
CASE-3,223.9312153119796,195.9312153119796,28.0,57.27845511823909,0.0,138.6527601937405,28.0,7.105427357601002e-15
CASE-4,223.9312153119796,195.9312153119796,28.0,63.69671657261873,10.0,132.23449873936087,18.0,-7.105427357601002e-15
CASE-5,223.9312153119796,195.9312153119796,28.0,0.0,0.0,195.9312153119796,28.0,0.0
CASE-6,223.9312153119796,195.9312153119796,28.0,63.69671657261874,9.819163734555273,132.23449873936084,18.180836265444725,1.5987211554602254e-14
CASE-7,223.9312153119796,195.9312153119796,28.0,53.696716572618726,15.0,142.23449873936087,13.0,0.0
CASE-8,223.9312153119796,195.9312153119796,28.0,63.696716572618726,0.0,132.23449873936087,28.0,0.0
CASE-9,223.9312153119796,195.9312153119796,28.0,0.0,0.0,195.9312153119796,28.0,0.0
CASE-10,223.9312153119796,195.9312153119796,28.0,0.0,0.0,195.9312153119796,28.0,0.0
CASE-11,223.9312153119796,195.9312153119796,28.0,0.0,0.0,195.9312153119796,28.0,0.0
CASE-12,223.9312153119796,195.9312153119796,28.0,0.0,0.0,195.9312153119796,28.0,0.0
CASE-13_EVENT,223.9312153119796,195.9312153119796,28.0,63.69671657261874,10.0,132.23449873936084,18.0,1.4210854715202004e-14
CASE-13_DELAY,223.9312153119796,195.9312153119796,28.0,63.69671657261874,9.819163734555273,132.23449873936084,18.180836265444725,1.5987211554602254e-14
FROZEN_REALIZATION_STATE1_PATH117_W2,223.9312153119796,195.9312153119796,28.0,137.46829228376842,10.000000000000254,58.46292302821118,17.999999999999744,1.7763568394002505e-15
