case,interval_start_h,interval_end_h,min_voltage_pu,max_voltage_pu,max_branch_utilization
CASE-1,0.0,3.5,0.9159401637684865,1.0,0.7282251063754639
CASE-2,0.0,1.0,0.9,1.0,0.5169798226596908
CASE-2,1.0,1.5,0.9,1.0,0.5169798226596908
CASE-2,1.5,3.5,0.9,1.0,0.5169798226596908
CASE-3,0.0,1.0,0.9011403883335192,1.0,0.6512173429645266
CASE-3,1.0,2.0,0.9011403883335192,1.0,0.6512173429645266
CASE-3,2.0,3.5,0.9011403883335192,1.0,0.6512173429645266
CASE-4,0.0,1.2166666666667,0.9,1.0,0.6496733336751096
CASE-4,1.2166666666667,1.5,0.9,1.0,0.6496733336751096
CASE-4,1.5,3.5,0.9,1.0,0.6496733336751096
CASE-5,0.0,1.0,0.9159401637684865,1.0,0.7282251063754639
CASE-5,1.0,1.2166666666667,0.9159401637684865,1.0,0.7282251063754639
CASE-5,1.2166666666667,1.5,0.9159401637684865,1.0,0.7282251063754639
CASE-5,1.5,3.5,0.9159401637684865,1.0,0.7282251063754639
CASE-6,0.0,1.0,0.9,1.0,0.6496733336751096
CASE-6,1.0,2.0,0.9,1.0,0.6496733336751096
CASE-6,2.0,2.5,0.9,1.0,0.6496733336751096
CASE-6,2.5,3.5,0.9,1.0,0.6496733336751096
CASE-7,0.0,1.0,0.9,1.0,0.6496733336751096
CASE-7,1.0,2.0,0.9,1.0,0.6496733336751096
CASE-7,2.0,3.5,0.9,1.0,0.6496733336751096
CASE-8,0.0,3.5,0.9,1.0,0.6496733336751096
CASE-9,0.0,3.5,0.9159401637684865,1.0,0.7282251063754639
CASE-10,0.0,1.2166666666667,0.9159401637684865,1.0,0.7282251063754639
CASE-10,1.2166666666667,3.5,0.9159401637684865,1.0,0.7282251063754639
CASE-11,0.0,3.5,0.9159401637684865,1.0,0.7282251063754639
CASE-12,0.0,1.0,0.9159401637684865,1.0,0.7282251063754639
CASE-12,1.0,2.0,0.9159401637684865,1.0,0.7282251063754639
CASE-12,2.0,3.5,0.9159401637684865,1.0,0.7282251063754639
CASE-13_EVENT,0.0,1.0,0.9,1.0,0.6496733336751096
CASE-13_EVENT,1.0,1.2166666666667,0.9,1.0,0.6496733336751096
CASE-13_EVENT,1.2166666666667,1.5,0.9,1.0,0.6496733336751096
CASE-13_EVENT,1.5,3.5,0.9,1.0,0.6496733336751096
CASE-13_DELAY,0.0,1.0,0.9,1.0,0.6496733336751096
CASE-13_DELAY,1.0,1.5,0.9,1.0,0.6496733336751096
CASE-13_DELAY,1.5,3.5,0.9,1.0,0.6496733336751096
FROZEN_REALIZATION_STATE1_PATH117_W2,0.0,1.0,0.9,1.0,0.5169798226596908
FROZEN_REALIZATION_STATE1_PATH117_W2,1.0,1.2166666666667,0.9,1.0,0.5169798226596908
FROZEN_REALIZATION_STATE1_PATH117_W2,1.2166666666667,1.5,0.9,1.0,0.4782968380160979
FROZEN_REALIZATION_STATE1_PATH117_W2,1.5,2.0,0.9,1.0,0.4782968380160979
FROZEN_REALIZATION_STATE1_PATH117_W2,2.0,2.5,0.9,1.0,0.5131213888889146
FROZEN_REALIZATION_STATE1_PATH117_W2,2.5,3.0,0.9,1.0,0.5169798226596908
FROZEN_REALIZATION_STATE1_PATH117_W2,3.0,3.5,0.9,1.0,0.5169798226596908
