check,result,detail
B3_ENGINE_REGRESSION_QA,PASS,B4D mandatory engineering gate
B4C_REGRESSION_QA,PASS,B4D mandatory engineering gate
HTT_COUNT_QA,PASS,B4D mandatory engineering gate
HTT_CAPACITY_QA,PASS,B4D mandatory engineering gate
H2_STATION_MAPPING_QA,PASS,B4D mandatory engineering gate
HTT_TRACTION_ENERGY_MODEL_QA,PASS,B4D mandatory engineering gate
HTT_ROAD_PHYSICS_QA,PASS,B4D mandatory engineering gate
HTT_PARTIAL_PROGRESS_QA,PASS,B4D mandatory engineering gate
HTT_DYNAMIC_CLOSURE_QA,PASS,B4D mandatory engineering gate
HTT_LOAD_LOCATION_QA,PASS,B4D mandatory engineering gate
HTT_UNLOAD_LOCATION_QA,PASS,B4D mandatory engineering gate
HTT_CAPACITY_BOUND_QA,PASS,B4D mandatory engineering gate
HTT_STATION_INVENTORY_BOUND_QA,PASS,B4D mandatory engineering gate
HTT_PARTIAL_UNLOAD_QA,PASS,B4D mandatory engineering gate
HTT_MULTISTOP_QA,PASS,B4D mandatory engineering gate
HTT_SHARED_STATION_NO_DOUBLE_SPEND_QA,PASS,B4D mandatory engineering gate
HTT_ARRIVAL_EVENT_QA,PASS,B4D mandatory engineering gate
HTT_NO_EARLY_H2_QA,PASS,B4D mandatory engineering gate
HTT_PQ_ZERO_QA,PASS,B4D mandatory engineering gate
HTT_NOT_ELECTRICAL_ROOT_QA,PASS,B4D mandatory engineering gate
HTT_TO_MFCV_DIRECT_REFUEL_OFF_QA,PASS,B4D mandatory engineering gate
HTT_STATION_MEDIATED_REFUEL_QA,PASS,B4D mandatory engineering gate
HTT_FRAMEWORK_NOOP_REGRESSION_QA,PASS,B4D mandatory engineering gate
SYSTEM_H2_IDENTITY_QA,PASS,B4D mandatory engineering gate
DATA_PRESERVATION_QA,PASS,B4D mandatory engineering gate
