fixture,time_h,htt_id,action,reason,source_bus,destination_bus,quantity_kg,arrival_h
FIXTURE-1_NO_TRANSFER,0.0,1,STAY,HTT_POLICY_OFF,14,,0.0,
FIXTURE-1_NO_TRANSFER,0.0,2,STAY,HTT_POLICY_OFF,31,,0.0,
FIXTURE-1_NO_TRANSFER,0.0,1,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,14,,0.0,
FIXTURE-1_NO_TRANSFER,0.0,2,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,31,,0.0,
FIXTURE-2_DEFICIT_REACHABLE,0.0,1,STAY,HTT_POLICY_OFF,14,,0.0,
FIXTURE-2_DEFICIT_REACHABLE,0.0,2,STAY,HTT_POLICY_OFF,31,,0.0,
FIXTURE-2_DEFICIT_REACHABLE,0.0,1,DISPATCH,SURPLUS_TO_DEFICIT,14,24,51.95974142868832,0.325
FIXTURE-2_DEFICIT_REACHABLE,0.0,2,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,31,,0.0,
FIXTURE-2_DEFICIT_REACHABLE,0.325,1,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,24,,0.0,
FIXTURE-2_DEFICIT_REACHABLE,0.325,2,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,31,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,0.0,1,STAY,HTT_POLICY_OFF,14,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,0.0,2,STAY,HTT_POLICY_OFF,31,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,1.0,1,STAY,HTT_POLICY_OFF,14,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,1.0,2,STAY,HTT_POLICY_OFF,31,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,0.0,1,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,14,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,0.0,2,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,31,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,1.0,1,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,14,,0.0,
FIXTURE-3_ROAD_CONSTRAINED,1.0,2,STAY,NO_LOCAL_SURPLUS_OR_REACHABLE_DEFICIT,31,,0.0,
