fixture,decision_time_h,station_site,H_i_kg,H_need_i_kg,H_sur_i_kg,H_def_i_kg
FIXTURE-1_NO_TRANSFER,0.0,1,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,0.0,2,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,0.0,3,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,0.0,4,100.0,0.0,100.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,0.0,1,0.0,57.27845511818305,0.0,57.27845511818305
FIXTURE-2_DEFICIT_REACHABLE,0.0,2,100.0,0.0,100.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,0.0,3,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,0.0,4,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,0.325,1,51.95974142868832,51.959741428727284,0.0,3.8966163629083894e-11
FIXTURE-2_DEFICIT_REACHABLE,0.325,2,48.04025857131168,0.0,48.04025857131168,0.0
FIXTURE-2_DEFICIT_REACHABLE,0.325,3,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,0.325,4,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,0.0,1,0.0,57.27845511818305,0.0,57.27845511818305
FIXTURE-3_ROAD_CONSTRAINED,0.0,2,100.0,0.0,100.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,0.0,3,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,0.0,4,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,1.0,1,0.0,40.913182227290235,0.0,40.913182227290235
FIXTURE-3_ROAD_CONSTRAINED,1.0,2,100.0,0.0,100.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,1.0,3,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,1.0,4,0.0,0.0,0.0,0.0
