fixture,policy,interval_start_h,interval_end_h,station_site,station_bus,H2_before_kg,fixed_FC_H2_use_kg,H2_after_kg,actual_P_kW
FIXTURE-1_NO_TRANSFER,OFF,0.0,3.5,1,24,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,OFF,0.0,3.5,2,14,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,OFF,0.0,3.5,3,18,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,OFF,0.0,3.5,4,31,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,ON,0.0,3.5,1,24,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,ON,0.0,3.5,2,14,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,ON,0.0,3.5,3,18,100.0,0.0,100.0,0.0
FIXTURE-1_NO_TRANSFER,ON,0.0,3.5,4,31,100.0,0.0,100.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,OFF,0.0,3.5,1,24,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,OFF,0.0,3.5,2,14,100.0,0.0,100.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,OFF,0.0,3.5,3,18,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,OFF,0.0,3.5,4,31,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.0,0.325,1,24,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.0,0.325,2,14,48.04025857131168,0.0,48.04025857131168,0.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.0,0.325,3,18,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.0,0.325,4,31,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.325,3.5,1,24,51.95974142868832,51.95974142868832,0.0,300.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.325,3.5,2,14,48.04025857131168,0.0,48.04025857131168,0.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.325,3.5,3,18,0.0,0.0,0.0,0.0
FIXTURE-2_DEFICIT_REACHABLE,ON,0.325,3.5,4,31,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,0.0,1.0,1,24,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,0.0,1.0,2,14,100.0,0.0,100.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,0.0,1.0,3,18,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,0.0,1.0,4,31,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,1.0,3.5,1,24,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,1.0,3.5,2,14,100.0,0.0,100.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,1.0,3.5,3,18,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,OFF,1.0,3.5,4,31,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,0.0,1.0,1,24,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,0.0,1.0,2,14,100.0,0.0,100.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,0.0,1.0,3,18,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,0.0,1.0,4,31,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,1.0,3.5,1,24,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,1.0,3.5,2,14,100.0,0.0,100.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,1.0,3.5,3,18,0.0,0.0,0.0,0.0
FIXTURE-3_ROAD_CONSTRAINED,ON,1.0,3.5,4,31,0.0,0.0,0.0,0.0
