N,base_seed,derived_seed,a0,loc0,lfw0,stage,stage_index,distribution_type,max_abs_error,total_variation_distance,support_size
500,20260721,20261721,2,1,0,W1,1,intensity,0.023,0.023,6
500,20260721,20261721,2,1,0,W1,1,loc,0.022,0.048,13
500,20260721,20261721,2,1,0,W1,1,lfw,0.022,0.022,4
500,20260721,20261721,2,1,0,W1,1,joint,0.020925,0.090514,312
500,20260721,20261721,2,1,0,W2,2,intensity,0.0352190000000001,0.0364803333333334,6
500,20260721,20261721,2,1,0,W2,2,loc,0.0200056201550388,0.0409108527131783,13
500,20260721,20261721,2,1,0,W2,2,lfw,0.0231,0.0231,4
500,20260721,20261721,2,1,0,W2,2,joint,0.0120288430622863,0.130536873726427,312
500,20260721,20261721,2,1,0,W3,3,intensity,0.0127548234444446,0.0127548234444445,6
500,20260721,20261721,2,1,0,W3,3,loc,0.02339796485713,0.0502762579322156,13
500,20260721,20261721,2,1,0,W3,3,lfw,0.010995,0.010995,4
500,20260721,20261721,2,1,0,W3,3,joint,0.0186487837065136,0.160246547151738,312
1000,20260721,20261721,2,1,0,W1,1,intensity,0.016,0.016,6
1000,20260721,20261721,2,1,0,W1,1,loc,0.026,0.036,13
1000,20260721,20261721,2,1,0,W1,1,lfw,0.015,0.015,4
1000,20260721,20261721,2,1,0,W1,1,joint,0.0148396,0.058713,312
1000,20260721,20261721,2,1,0,W2,2,intensity,0.026662,0.0271403333333334,6
1000,20260721,20261721,2,1,0,W2,2,loc,0.0140056201550388,0.028452519379845,13
1000,20260721,20261721,2,1,0,W2,2,lfw,0.0281,0.0281,4
1000,20260721,20261721,2,1,0,W2,2,joint,0.0100288430622863,0.116515058697529,312
1000,20260721,20261721,2,1,0,W3,3,intensity,0.00675482344444456,0.00718212955555563,6
1000,20260721,20261721,2,1,0,W3,3,loc,0.0126881356589147,0.0318050642689743,13
1000,20260721,20261721,2,1,0,W3,3,lfw,0.025995,0.025995,4
1000,20260721,20261721,2,1,0,W3,3,joint,0.0103955196162699,0.111946446308305,312
2000,20260721,20261721,2,1,0,W1,1,intensity,0.003,0.00349999999999997,6
2000,20260721,20261721,2,1,0,W1,1,loc,0.016,0.0185,13
2000,20260721,20261721,2,1,0,W1,1,lfw,0.0005,0.0005,4
2000,20260721,20261721,2,1,0,W1,1,joint,0.0108396,0.039761,312
2000,20260721,20261721,2,1,0,W2,2,intensity,0.00628099999999987,0.00675933333333327,6
2000,20260721,20261721,2,1,0,W2,2,loc,0.00904689922480625,0.022852519379845,13
2000,20260721,20261721,2,1,0,W2,2,lfw,0.0121,0.0121,4
2000,20260721,20261721,2,1,0,W2,2,joint,0.00769765875892472,0.0718098401572539,312
2000,20260721,20261721,2,1,0,W3,3,intensity,0.00616064755555556,0.00656105422222229,6
