N,a0,loc0,lfw0,stage,stage_index,distribution_type,seed_pair_count,mean_pairwise_tv,max_pairwise_tv,mean_max_abs_error,std_max_abs_error,mean_tv_to_exact,std_tv_to_exact,seed_count
15000,2,1,0,W1,1,intensity,10,0.00290666666666666,0.005,0.00162666666666666,0.00113587949282578,0.00178666666666666,0.00120129559689158,5
15000,2,1,0,W1,1,loc,10,0.0116933333333333,0.0164666666666666,0.00474666666666666,0.00146621205075452,0.00836,0.00226058006321878,5
15000,2,1,0,W1,1,lfw,10,0.00515999999999999,0.0104,0.00343999999999999,0.00171826786166896,0.00344,0.00171826786166896,5
15000,2,1,0,W1,1,joint,10,0.02476,0.0292,0.00420392000000001,0.000654887690795564,0.0178353933333333,0.00184056519224093,5
15000,2,1,0,W2,2,intensity,10,0.00445999999999998,0.00859999999999994,0.00237713333333335,0.00168839675103014,0.00274346666666667,0.00214057419088121,5
15000,2,1,0,W2,2,loc,10,0.0131266666666667,0.0194,0.00477170542635657,0.00156014294604975,0.00913965116279067,0.00272351119198141,5
15000,2,1,0,W2,2,lfw,10,0.00800666666666667,0.0131333333333333,0.00463999999999999,0.00176892936860439,0.00569333333333331,0.00208997607641812,5
15000,2,1,0,W2,2,joint,10,0.0363266666666667,0.0404666666666667,0.00284533880646292,0.000380725981640263,0.0252065135528275,0.0021816948628287,5
15000,2,1,0,W3,3,intensity,10,0.00487333333333331,0.00973333333333329,0.00267212951111109,0.00229542877163077,0.00295932331111111,0.00230403870247627,5
15000,2,1,0,W3,3,loc,10,0.0162266666666667,0.0239333333333333,0.00481122490084729,0.0021536259720679,0.0118485929669191,0.00450956403109506,5
15000,2,1,0,W3,3,lfw,10,0.00769333333333334,0.0116666666666667,0.00538060000000001,0.00048782843067804,0.00597746666666667,0.000919833215558366,5
15000,2,1,0,W3,3,joint,10,0.04194,0.0455333333333333,0.00313924293513163,0.000499086246742579,0.0310720096126611,0.00139450824896646,5
15000,2,2,0,W1,1,intensity,10,0.00521999999999999,0.0104666666666666,0.00295999999999999,0.00240997925302271,0.00309333333333332,0.00250670212740876,5
15000,2,2,0,W1,1,loc,10,0.0103666666666667,0.0157333333333333,0.00408000000000001,0.00227810837709222,0.0064,0.00380671920570867,5
15000,2,2,0,W1,1,lfw,10,0.00346666666666667,0.00586666666666668,0.00413333333333334,0.00201549552771079,0.00413333333333334,0.0020154955277108,5
15000,2,2,0,W1,1,joint,10,0.0238266666666667,0.0287333333333333,0.003496,0.000961961862549657,0.0171459,0.00427071723959286,5
