a0,loc0,lfw0,sample_rows,observed_unique_path_count,legal_path_count,path_count_coverage_share,observed_theoretical_probability_mass,unobserved_theoretical_probability_mass,high_exposure_any_q99_count,high_exposure_any_q995_count,pareto_any_proxy_count,empirical_mass_sum
2,1,0,15000,5525,473928,0.0116578889620364,0.788520373042023,0.211479626957977,5525,185,7,1
2,2,0,15000,5648,519064,0.0108811244856126,0.770870612632904,0.229129387367096,5648,197,9,1
2,3,0,15000,5807,548576,0.0105855888700927,0.770669473996971,0.229330526003029,5807,172,4,1
2,4,0,15000,5856,560728,0.0104435662210555,0.76524129598734,0.23475870401266,5856,182,10,1
2,5,0,15000,5782,548576,0.0105400163331972,0.768038612848127,0.231961387151873,5782,114,2,1
2,6,0,15000,5562,519064,0.0107154416411078,0.776815633383289,0.223184366616711,5562,236,7,1
2,7,0,15000,5266,473928,0.011111392447798,0.789271202400911,0.210728797599089,5266,5266,8,1
3,1,0,15000,7828,617799,0.0126707877481187,0.640573424647411,0.359426575352589,512,487,8,0.999999999999997
3,2,0,15000,8098,676637,0.011968012390691,0.626554106453516,0.373445893546484,537,525,8,0.999999999999997
3,3,0,15000,8114,715108,0.0113465378656091,0.615910223131391,0.384089776868609,539,527,8,0.999999999999995
3,4,0,15000,8146,730949,0.0111444163683102,0.612228644475243,0.387771355524757,487,471,4,0.999999999999996
3,5,0,15000,8161,715108,0.011412262203751,0.620460369297684,0.379539630702316,379,361,12,0.999999999999996
3,6,0,15000,8019,676637,0.0118512585034516,0.630778277107914,0.369221722892086,708,270,5,0.999999999999998
3,7,0,15000,7731,617799,0.0125137787532838,0.64834720865506,0.35165279134494,519,495,4,0.999999999999998
4,1,0,15000,8037,710892,0.011305514761736,0.609143889571683,0.390856110428317,2086,2070,11,1
4,2,0,15000,8407,778596,0.0107976408817924,0.596755269873953,0.403244730126047,2286,2277,14,1
4,3,0,15000,8440,822864,0.0102568589706197,0.59203673297353,0.40796326702647,2270,2256,8,1
4,4,0,15000,8503,841092,0.0101094767278728,0.588788683701106,0.411211316298894,2039,2025,13,0.999999999999999
4,5,0,15000,8464,822864,0.0102860253942328,0.594308656145657,0.405691343854343,1591,1558,7,0.999999999999999
4,6,0,15000,8236,778596,0.0105780147855884,0.607914701127853,0.392085298872147,1160,1120,8,1
4,7,0,15000,8026,710892,0.0112900412439583,0.624296533644559,0.375703466355441,1010,706,10,1
5,1,0,15000,7092,583947,0.012144937811137,0.68155975516768,0.31844024483232,4083,4071,12,1
5,2,0,15000,7226,639561,0.0112983749790872,0.667345206943137,0.332654793056863,4424,4418,13,1.00000000000001
5,3,0,15000,7490,675924,0.0110811274640344,0.665397887158672,0.334602112841328,4455,4451,19,1.00000000000001
5,4,0,15000,7332,690897,0.01061229097825,0.661196721124357,0.338803278875643,3978,3972,8,1.00000000000001
5,5,0,15000,7300,675924,0.0108000307726904,0.662108957710619,0.337891042289381,3279,3277,7,1
5,6,0,15000,7158,639561,0.0111920520482018,0.670337708294698,0.329662291705302,2607,2607,8,1.00000000000001
5,7,0,15000,6862,583947,0.0117510664495237,0.687180991045543,0.312819008954457,1819,1816,10,1
6,1,0,15000,7369,423150,0.0174146283823703,0.671605363152601,0.328394636847399,5845,5845,10,0.999999999999993
6,2,0,15000,7512,463450,0.0162088682705794,0.655528889462239,0.344471110537761,6082,6082,7,0.999999999999993
6,3,0,15000,7698,489800,0.0157166190281748,0.651267899883697,0.348732100116303,6171,6171,10,0.999999999999992
6,4,0,15000,7803,500650,0.0155857385398981,0.649258038289808,0.350741961710192,5838,5838,11,0.999999999999994
6,5,0,15000,7657,489800,0.0156329113924051,0.655134538577586,0.344865461422414,5190,5190,12,0.999999999999993
6,6,0,15000,7589,463450,0.0163750134858129,0.66559923221887,0.33440076778113,4511,4510,15,0.999999999999994
6,7,0,15000,7140,423150,0.0168734491315136,0.682970704682123,0.317029295317877,3561,3561,15,0.999999999999995
