a0,loc0,lfw0,quantile_level,legal_high_risk_path_count,observed_high_risk_path_count,unobserved_high_risk_path_count,pareto_path_count,observed_pareto_path_count,unobserved_pareto_path_count,unobserved_high_risk_theoretical_mass,legal_path_count,expanded_path_count
2,1,0,0.95,404595,608,403987,29,0,29,0.0380578533193314,473928,453228
2,1,0,0.99,244319,178,244141,29,0,29,0.0116033456503944,473928,453228
2,1,0,0.995,169993,91,169902,29,0,29,0.00613170737438932,473928,453228
2,2,0,0.95,439653,630,439023,24,0,24,0.0388592948505008,519064,496180
2,2,0,0.99,258939,159,258780,24,0,24,0.0103712517506498,519064,496180
2,2,0,0.995,185935,95,185840,24,0,24,0.00634899214483311,519064,496180
2,3,0,0.95,460213,595,459618,19,0,19,0.0367038518709708,548576,524264
2,3,0,0.99,295835,219,295616,19,0,19,0.0154055154191996,548576,524264
2,3,0,0.995,214842,89,214753,19,0,19,0.0074048496613549,548576,524264
2,4,0,0.95,464764,559,464205,12,0,12,0.0340682641763363,560728,535828
2,4,0,0.99,272290,168,272122,12,0,12,0.0103990093959899,560728,535828
2,4,0,0.995,179707,88,179619,12,0,12,0.00536955335491904,560728,535828
2,5,0,0.95,446371,697,445674,31,0,31,0.0361966107798027,548576,523856
2,5,0,0.99,282863,169,282694,31,0,31,0.0129291807969008,548576,523856
2,5,0,0.995,216559,78,216481,31,0,31,0.00650516439151338,548576,523856
2,6,0,0.95,408343,572,407771,47,0,47,0.0313569601370567,519064,494959
2,6,0,0.99,261770,169,261601,47,0,47,0.0118030516453819,519064,494959
2,6,0,0.995,195654,84,195570,47,0,47,0.00561793216931568,519064,494959
2,7,0,0.95,359700,614,359086,32,0,32,0.0300926900566244,473928,451242
2,7,0,0.99,246527,176,246351,32,0,32,0.0112293340920225,473928,451242
2,7,0,0.995,189910,85,189825,32,0,32,0.00543887140824202,473928,451242
3,1,0,0.95,285399,791,284608,28,0,28,0.0442078559864452,617799,592410
3,1,0,0.99,170429,176,170253,28,0,28,0.0119183748125195,617799,592410
3,1,0,0.995,112256,106,112150,28,0,28,0.00709743846192944,617799,592410
3,2,0,0.95,295521,778,294743,28,0,28,0.0407714885075103,676637,648830
3,2,0,0.99,167944,172,167772,28,0,28,0.0104623713275932,676637,648830
3,2,0,0.995,114918,110,114808,28,0,28,0.0070219868360469,676637,648830
3,3,0,0.95,322873,792,322081,25,0,25,0.0464437320865404,715108,684040
3,3,0,0.99,172588,180,172408,25,0,25,0.0103306758481652,715108,684040
3,3,0,0.995,118248,123,118125,25,0,25,0.00688034599326102,715108,684040
3,4,0,0.95,316644,761,315883,19,0,19,0.0421353548387073,730949,695462
3,4,0,0.99,186505,181,186324,19,0,19,0.0115312263366981,730949,695462
3,4,0,0.995,125960,109,125851,19,0,19,0.00704410126858514,730949,695462
3,5,0,0.95,307838,676,307162,30,0,30,0.0372226718025639,715108,681664
3,5,0,0.99,176574,182,176392,30,0,30,0.0107683064727677,715108,681664
3,5,0,0.995,113810,101,113709,29,0,29,0.00581680189330042,715108,681664
3,6,0,0.95,317855,672,317183,37,0,37,0.0382018253799082,676637,644366
3,6,0,0.99,171416,206,171210,37,0,37,0.0129104493860841,676637,644366
3,6,0,0.995,122977,94,122883,37,0,37,0.00593186018319802,676637,644366
3,7,0,0.95,297390,694,296696,24,0,24,0.0391320660536739,617799,591258
3,7,0,0.99,156785,193,156592,24,0,24,0.0126561717847481,617799,591258
3,7,0,0.995,119986,91,119895,24,0,24,0.00615419488636853,617799,591258
4,1,0,0.95,181321,808,180513,23,0,23,0.0453173631989717,710892,592410
4,1,0,0.99,101800,249,101551,23,0,23,0.0132392655271261,710892,592410
4,1,0,0.995,75974,125,75849,23,0,23,0.00639560154269728,710892,592410
4,2,0,0.95,186215,812,185403,30,0,30,0.0423601752932088,778596,648830
4,2,0,0.99,108419,230,108189,30,0,30,0.012379782662227,778596,648830
4,2,0,0.995,83952,106,83846,30,0,30,0.00644309452531803,778596,648830
4,3,0,0.95,192975,818,192157,20,0,20,0.0416135475974116,822864,682845
4,3,0,0.99,111056,244,110812,20,0,20,0.0116989825038533,822864,682845
4,3,0,0.995,87629,114,87515,20,0,20,0.00661130982846914,822864,682845
4,4,0,0.95,190861,778,190083,12,0,12,0.0408641878363009,841092,687227
4,4,0,0.99,103991,219,103772,12,0,12,0.0100769789777534,841092,687227
4,4,0,0.995,79013,108,78905,12,0,12,0.00521774851548583,841092,687227
4,5,0,0.95,192232,729,191503,27,0,27,0.039311673379549,822864,661934
4,5,0,0.99,109686,275,109411,27,0,27,0.0154164899825758,822864,661934
4,5,0,0.995,90779,140,90639,26,0,26,0.00821421125465567,822864,661934
4,6,0,0.95,211572,754,210818,26,0,26,0.0393915938202708,778596,643910
4,6,0,0.99,111417,291,111126,24,0,24,0.0160116671767502,778596,643910
4,6,0,0.995,90587,168,90419,24,0,24,0.00979877131520557,778596,643910
4,7,0,0.95,194496,720,193776,21,0,21,0.0383558786370782,710892,637894
4,7,0,0.99,90905,231,90674,21,0,21,0.0122819939448028,710892,637894
4,7,0,0.995,70537,133,70404,21,0,21,0.00707925958782473,710892,637894
5,1,0,0.95,107086,655,106431,23,0,23,0.0266721527158157,583947,501150
5,1,0,0.99,90021,283,89738,23,0,23,0.0146973069796498,583947,501150
5,1,0,0.995,61262,110,61152,23,0,23,0.0072690397153123,583947,501150
5,2,0,0.95,115663,682,114981,29,0,29,0.0277872737401606,639561,544860
5,2,0,0.99,98085,276,97809,29,0,29,0.0146242807616435,639561,544860
5,2,0,0.995,66238,120,66118,28,0,28,0.00720846258097093,639561,544860
5,3,0,0.95,118693,661,118032,15,0,15,0.0265228692187896,675924,568920
5,3,0,0.99,100242,249,99993,15,0,15,0.013381755049381,675924,568920
