a0,loc0,lfw0,legal_path_count,expanded_complete_path_count,pruned_complete_path_count,pruning_ratio,stored_candidate_path_count,stored_observed_candidate_count,stored_unobserved_candidate_count
2,1,0,473928,453228,20700,0.043677520636046,404595,608,403987
2,2,0,519064,496180,22884,0.0440870489958849,439653,630,439023
2,3,0,548576,524264,24312,0.044318380680161,460213,595,459618
2,4,0,560728,535828,24900,0.0444065571899388,464764,559,464205
2,5,0,548576,523856,24720,0.045062124482296,446371,697,445674
2,6,0,519064,494959,24105,0.0464393600789113,408343,572,407771
2,7,0,473928,451242,22686,0.0478680305869246,359700,614,359086
3,1,0,617799,592410,25389,0.041095890410959,285399,791,284608
3,2,0,676637,648830,27807,0.041095890410959,295521,778,294743
3,3,0,715108,684040,31068,0.0434451859019896,322873,792,322081
3,4,0,730949,695462,35487,0.048549214787899,316644,761,315883
3,5,0,715108,681664,33444,0.0467677609535903,307838,676,307162
3,6,0,676637,644366,32271,0.047693223988638,317855,672,317183
3,7,0,617799,591258,26541,0.0429605745558022,297390,694,296696
4,1,0,710892,592410,118482,0.166666666666667,181321,808,180513
4,2,0,778596,648830,129766,0.166666666666667,186215,812,185403
4,3,0,822864,682845,140019,0.17016056116199,192975,818,192157
4,4,0,841092,687227,153865,0.182934803802676,190861,778,190083
4,5,0,822864,661934,160930,0.195573023002586,192232,729,191503
4,6,0,778596,643910,134686,0.172985733294289,211572,754,210818
4,7,0,710892,637894,72998,0.102685077339455,194496,720,193776
5,1,0,583947,501150,82797,0.141788552728244,107086,655,106431
5,2,0,639561,544860,94701,0.148071880555569,115663,682,114981
5,3,0,675924,568920,107004,0.158307738739858,118693,661,118032
5,4,0,690897,566940,123957,0.179414587123696,111803,624,111179
5,5,0,675924,538920,137004,0.202691426846805,101436,501,100935
5,6,0,639561,510840,128721,0.201264617448531,104732,637,104095
5,7,0,583947,450627,133320,0.228308391001238,83832,480,83352
6,1,0,423150,304668,118482,0.28,42945,594,42351
6,2,0,463450,327726,135724,0.292855755744956,41791,624,41167
6,3,0,489800,335070,154730,0.315904450796243,41984,638,41346
6,4,0,500650,344919,155731,0.311057625087386,49720,653,49067
6,5,0,489800,327528,162272,0.331302572478563,43666,559,43107
6,6,0,463450,320292,143158,0.308896321070234,62224,655,61569
6,7,0,423150,333282,89868,0.212378589152783,55270,689,54581
