a0,loc0,lfw0,unique_path_count,observed_unique_path_count,unobserved_unique_path_count,observed_unobserved_overlap_count,q95_unique_path_count,q99_unique_path_count,q995_unique_path_count,one_level_path_count,two_level_path_count,three_level_path_count
2,1,0,35,6,29,0,35,35,34,0,1,34
3,1,0,34,6,28,0,34,34,33,0,1,33
4,1,0,31,8,23,0,31,31,31,0,0,31
5,1,0,34,11,23,0,34,34,33,0,1,33
6,1,0,33,10,23,0,33,19,16,14,3,16
2,2,0,33,9,24,0,33,33,32,0,1,32
3,2,0,36,8,28,0,36,36,34,0,2,34
4,2,0,42,12,30,0,42,37,36,5,1,36
5,2,0,39,10,29,0,39,39,37,0,2,37
6,2,0,34,6,28,0,34,20,17,14,3,17
2,3,0,21,2,19,0,21,21,21,0,0,21
3,3,0,32,7,25,0,32,32,32,0,0,32
4,3,0,28,8,20,0,28,28,28,0,0,28
5,3,0,29,14,15,0,29,27,26,2,1,26
6,3,0,27,6,21,0,27,15,14,12,1,14
2,4,0,20,8,12,0,20,19,19,1,0,19
3,4,0,23,4,19,0,23,23,23,0,0,23
4,4,0,23,11,12,0,23,23,23,0,0,23
5,4,0,19,8,11,0,19,18,18,1,0,18
6,4,0,22,9,13,0,22,17,15,5,2,15
2,5,0,33,2,31,0,33,33,33,0,0,33
3,5,0,41,11,30,0,41,39,36,2,3,36
4,5,0,33,6,27,0,33,33,32,0,1,32
5,5,0,30,6,24,0,30,30,29,0,1,29
6,5,0,34,10,24,0,34,21,16,13,5,16
2,6,0,53,6,47,0,53,53,53,0,0,53
3,6,0,41,4,37,0,41,41,41,0,0,41
4,6,0,34,8,26,0,34,31,30,3,1,30
5,6,0,31,6,25,0,31,31,31,0,0,31
6,6,0,41,11,30,0,41,25,16,16,9,16
2,7,0,39,7,32,0,39,39,38,0,1,38
3,7,0,28,4,24,0,28,28,28,0,0,28
4,7,0,30,9,21,0,30,28,27,2,1,27
5,7,0,25,5,20,0,25,24,24,1,0,24
6,7,0,38,10,28,0,38,30,23,8,7,23
