selection_path_id,state_selection_id,state_selection_rule,source_category,path_selection_rule,candidate_pool_unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,observed_frequency,empirical_weight,nominal_inclusion_status
1,1,minimum_candidate_count,main_ordinary,highest_frequency_non_candidate_rank_1,NaN,5,4,0,5,5,1,5,6,2,5,7,3,0.004361106326472,68,0.00453333333333333,included_in_main_empirical_distribution
2,1,minimum_candidate_count,main_ordinary,highest_frequency_non_candidate_rank_2,NaN,5,4,0,5,5,1,5,6,2,5,5,3,0.003426583542228,64,0.00426666666666667,included_in_main_empirical_distribution
3,1,minimum_candidate_count,observed_candidate,highest_observed_frequency_candidate,795,5,4,0,4,1,1,6,3,2,6,5,3,1.06203825e-07,1,6.66666666666667e-05,included_in_main_empirical_distribution
4,1,minimum_candidate_count,observed_candidate,lowest_path_probability_remaining_observed_candidate,810,5,4,0,6,5,0,6,4,2,5,7,1,9.690912e-10,1,6.66666666666667e-05,included_in_main_empirical_distribution
5,1,minimum_candidate_count,unobserved_candidate,lowest_path_probability_unobserved_candidate,793,5,4,0,3,1,2,5,4,1,6,1,3,9.6e-16,0,0,pending_after_B3
6,1,minimum_candidate_count,unobserved_candidate,highest_path_probability_remaining_unobserved_candidate,806,5,4,0,6,1,2,6,1,2,6,1,2,8.9828352e-10,0,0,pending_after_B3
7,2,maximum_candidate_count,main_ordinary,highest_frequency_non_candidate_rank_1,NaN,2,6,0,2,7,1,2,8,2,2,9,3,0.00579858818503263,89,0.00593333333333333,included_in_main_empirical_distribution
8,2,maximum_candidate_count,main_ordinary,highest_frequency_non_candidate_rank_2,NaN,2,6,0,2,5,1,2,6,2,2,7,3,0.0043282318952565,78,0.0052,included_in_main_empirical_distribution
9,2,maximum_candidate_count,observed_candidate,highest_observed_frequency_candidate,143,2,6,0,2,5,0,4,4,2,4,3,2,3.00570515930667e-08,1,6.66666666666667e-05,included_in_main_empirical_distribution
10,2,maximum_candidate_count,observed_candidate,lowest_path_probability_remaining_observed_candidate,160,2,6,0,3,4,1,5,4,0,5,1,1,9.4527e-10,1,6.66666666666667e-05,included_in_main_empirical_distribution
11,2,maximum_candidate_count,unobserved_candidate,lowest_path_probability_unobserved_candidate,156,2,6,0,3,3,2,5,6,1,6,3,3,5.76e-16,0,0,pending_after_B3
