selection_path_id,path_set,source_category,candidate_pool_unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,observed_frequency,empirical_weight,nominal_inclusion_status,selection_rule,risk_envelope_percentile,risk_mean_percentile,risk_band,available_reference_path_count,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,is_observed_candidate,is_unobserved_candidate,selection_population,physical_path_key,damage_mode,theoretical_path_probability,run005_unique_path_id,B3_scenario_count,B3_stage_row_count,D_Hres3h_mean_kg,D_Hres3h_max_kg,D_Hres3h_q95_kg,full_loss_upper_hit_share,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_max_km,failed_lines_W3_mean,failed_lines_W3_max,closed_roads_W3_mean,closed_roads_W3_max,joint_line_road_damage_share,road_disconnection_share,exact_full_DAC_novel_share,binned_DAC_novel_share,A_pattern_novel_share,line_failure_novel_share,road_disconnect_novel_share,line_road_joint_novel_share,structural_novel_share,raw_probability_weighted_D_contribution,raw_probability_weighted_full_loss_contribution,raw_probability_weighted_A0_contribution,probability_renormalized
1,candidate,observed_candidate,1,2,1,0,2,1,2,4,0,3,4,-1,2,2.088326521875e-08,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,5519,36.3659417229986,291.123635960367,36.3659417229986,100.189621748374,1,0,run005_complete_candidate_pool,2|1|0|2|1|2|4|0|3|4|-1|2,persistent_fixed_resistance,2.088326521875e-08,1,20,60,291.001827455473,390.03900390039,390.03900390039,0,0.0176767676767677,0.982323232323232,20.9006063354374,71.1750771569042,7.55,12,2.5,7,0.85,0.3,1,0.95,0.05,1,0.65,1,1,6.07706834189356e-06,0,3.69148627604167e-10,0
2,candidate,observed_candidate,2,2,1,0,2,3,1,2,3,3,4,1,2,6.206390775e-09,1,6.66666666666667e-05,included_in_main_empirical_distribution,all_run005_candidates,NaN,NaN,candidate,5519,36.878839612267,275.747805692285,36.878839612267,153.570111568169,1,0,run005_complete_candidate_pool,2|1|0|2|3|1|2|3|3|4|1|2,persistent_fixed_resistance,6.206390775e-09,2,20,60,153.383520170199,202.656629299294,202.656629299294,0,0.0319444444444444,0.968055555555556,20.5998509058987,77.1907369122188,8.4,11,3.7,6,1,0.35,1,0.95,0.05,1,0.8,1,1,9.51958064621349e-07,0,1.982597053125e-10,0
3,candidate,unobserved_candidate,3,2,1,0,3,1,2,5,4,1,6,1,3,2.592e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,55.4927759888396,749.956076245614,55.4927759888396,513.578602373054,0,1,run005_complete_candidate_pool,2|1|0|3|1|2|5|4|1|6|1|3,persistent_fixed_resistance,2.592e-15,3,20,60,352.235223522352,571.966287537845,527.234541635982,0,0.256565656565657,0.743434343434343,20.2044602677657,64.0457761161991,19.05,23,13.8,16,1,1,1,1,1,1,1,1,1,9.12993699369937e-13,0,6.65018181818182e-16,0
4,candidate,unobserved_candidate,4,2,1,0,3,1,2,5,4,2,6,1,2,1.0368e-13,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,55.2436058969182,1370.28440229782,55.2436058969182,1276.17248433463,0,1,run005_complete_candidate_pool,2|1|0|3|1|2|5|4|2|6|1|2,persistent_fixed_resistance,1.0368e-13,4,20,60,445.162698087991,573.057305730573,517.415377901426,0,0.465025252525253,0.534974747474747,20.1885614056748,84.2206172897483,30.05,32,25.3,29,1,1,1,1,1,1,1,1,1,4.61544685377629e-11,0,4.82138181818182e-14,0
5,candidate,unobserved_candidate,5,2,1,0,3,4,1,5,1,3,6,4,2,2.7e-14,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,55.2436058969182,1074.22085335331,55.2436058969182,1013.63103256282,0,1,run005_complete_candidate_pool,2|1|0|3|4|1|5|1|3|6|4|2,persistent_fixed_resistance,2.7e-14,5,20,60,285.383083762922,314.758748602133,314.758748602133,0,0.413383838383838,0.586616161616162,20.0971305742425,68.48515656,29.5,31,24.75,30,1,1,1,1,1,1,1,1,1,7.70534326159889e-12,0,1.11613636363636e-14,0
6,candidate,unobserved_candidate,6,2,1,0,3,4,2,5,1,1,6,-2,3,5.76e-16,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,42.8919946985263,645.614720569056,42.8919946985263,370.190944580329,0,1,run005_complete_candidate_pool,2|1|0|3|4|2|5|1|1|6|-2|3,persistent_fixed_resistance,5.76e-16,6,20,60,398.180727163625,607.969887897881,454.681831819546,0.05,0.122348484848485,0.877651515151515,21.2612735068391,82.3549174601604,13.1,18,7.85,13,1,0.95,1,1,0.65,1,1,1,1,2.29352098846248e-13,2.88e-17,7.04727272727273e-17,0
7,candidate,unobserved_candidate,7,2,1,0,3,4,2,5,1,1,6,-1,3,1.44e-15,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,51.9667788761672,838.805694867216,51.9667788761672,619.379165631724,0,1,run005_complete_candidate_pool,2|1|0|3|4|2|5|1|1|6|-1|3,persistent_fixed_resistance,1.44e-15,7,20,60,427.924610642882,607.969887897881,587.240542236042,0.05,0.247853535353535,0.752146464646465,20.2818269477876,81.4433816468903,21,25,16.9,24,1,1,1,1,1,1,1,1,1,6.16211439325751e-13,7.2e-17,3.56909090909091e-16,0
8,candidate,unobserved_candidate,8,2,1,0,3,4,2,5,1,1,6,4,3,7.2e-16,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,50.8813148382754,543.414116622344,50.8813148382754,294.479906589286,0,1,run005_complete_candidate_pool,2|1|0|3|4|2|5|1|1|6|4|3,persistent_fixed_resistance,7.2e-16,8,20,60,368.900526416278,582.876469465128,515.23334151597,0,0.101262626262626,0.898737373737374,19.8469938695673,63.1419636315012,12.4,17,6.7,11,1,1,1,1,0.7,1,1,1,1,2.6560837901972e-13,0,7.29090909090909e-17,0
9,candidate,unobserved_candidate,9,2,1,0,3,4,2,5,1,2,6,1,2,1.0368e-13,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,55.2436058969182,1395.6178066511,55.2436058969182,1312.73135844848,0,1,run005_complete_candidate_pool,2|1|0|3|4|2|5|1|2|6|1|2,persistent_fixed_resistance,1.0368e-13,9,20,60,464.337342825192,607.969887897881,582.876469465128,0.05,0.529040404040404,0.470959595959596,20.0943173474609,95.0496234107403,29.6,32,23.8,28,1,1,1,1,1,1,1,1,1,4.81424957041159e-11,5.184e-15,5.48509090909091e-14,0
10,candidate,unobserved_candidate,10,2,1,0,3,4,2,5,1,2,6,4,2,2.88e-14,0,0,pending_after_B3,all_run005_candidates,NaN,NaN,candidate,5519,55.2436058969182,1363.12939796406,55.2436058969182,1269.77418293579,0,1,run005_complete_candidate_pool,2|1|0|3|4|2|5|1|2|6|4|2,persistent_fixed_resistance,2.88e-14,10,20,60,450.849630417587,582.876469465128,511.960286937785,0,0.521969696969697,0.478030303030303,20.4393894233074,87.2416093261511,29.1,31,25.2,30,1,1,1,1,1,1,1,1,1,1.29844693560265e-11,0,1.50327272727273e-14,0
