a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,asset,stage,threshold_mps,observation_count,above_count,above_share,crossed_up_vs_M0_count,crossed_up_vs_M0_share,crossed_down_vs_M0_count,crossed_down_vs_M0_share,local_wind_max_mps
5,4,0,1,20260723,22760798,M0,grid_line,W1,25,64000,47204,0.7375625,0,0,0,0,46.1748242297168
5,4,0,1,20260723,22760798,M0,grid_line,W1,50,64000,0,0,0,0,0,0,46.1748242297168
5,4,0,1,20260723,22760798,M0,road_edge,W1,30,82000,33685,0.410792682926829,0,0,0,0,46.1748242297168
5,4,0,1,20260723,22760798,M0,road_edge,W1,60,82000,0,0,0,0,0,0,46.1748242297168
5,4,0,1,20260723,22760798,M0,grid_line,W2,25,64000,48539,0.758421875,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M0,grid_line,W2,50,64000,25,0.000390625,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M0,road_edge,W2,30,82000,43691,0.532817073170732,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M0,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M0,grid_line,W3,25,64000,38237,0.597453125,0,0,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M0,grid_line,W3,50,64000,144,0.00225,0,0,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M0,road_edge,W3,30,82000,32902,0.401243902439024,0,0,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M0,road_edge,W3,60,82000,0,0,0,0,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M1,grid_line,W1,25,64000,47116,0.7361875,3150,0.04921875,3238,0.05059375,49.0811143534994
5,4,0,1,20260723,22760798,M1,grid_line,W1,50,64000,0,0,0,0,0,0,49.0811143534994
5,4,0,1,20260723,22760798,M1,road_edge,W1,30,82000,31824,0.38809756097561,4466,0.0544634146341463,6327,0.0771585365853659,49.0811143534994
5,4,0,1,20260723,22760798,M1,road_edge,W1,60,82000,0,0,0,0,0,0,49.0811143534994
5,4,0,1,20260723,22760798,M1,grid_line,W2,25,64000,48053,0.750828125,1883,0.029421875,2369,0.037015625,55.214113197033
5,4,0,1,20260723,22760798,M1,grid_line,W2,50,64000,112,0.00175,87,0.001359375,0,0,55.214113197033
5,4,0,1,20260723,22760798,M1,road_edge,W2,30,82000,42092,0.513317073170732,2620,0.0319512195121951,4219,0.0514512195121951,55.214113197033
5,4,0,1,20260723,22760798,M1,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M1,grid_line,W3,25,64000,37916,0.5924375,1671,0.026109375,1992,0.031125,55.4927759888397
5,4,0,1,20260723,22760798,M1,grid_line,W3,50,64000,197,0.003078125,53,0.000828125,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M1,road_edge,W3,30,82000,32331,0.394280487804878,2316,0.0282439024390244,2887,0.0352073170731707,55.4927759888397
5,4,0,1,20260723,22760798,M1,road_edge,W3,60,82000,0,0,0,0,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M2L,grid_line,W1,25,64000,35749,0.558578125,0,0,11455,0.178984375,43.5149152617324
5,4,0,1,20260723,22760798,M2L,grid_line,W1,50,64000,0,0,0,0,0,0,43.5149152617324
5,4,0,1,20260723,22760798,M2L,road_edge,W1,30,82000,7914,0.0965121951219512,0,0,25771,0.314280487804878,43.5149152617324
5,4,0,1,20260723,22760798,M2L,road_edge,W1,60,82000,0,0,0,0,0,0,43.5149152617324
5,4,0,1,20260723,22760798,M2L,grid_line,W2,25,64000,39349,0.614828125,0,0,9190,0.14359375,55.214113197033
5,4,0,1,20260723,22760798,M2L,grid_line,W2,50,64000,25,0.000390625,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M2L,road_edge,W2,30,82000,27640,0.337073170731707,0,0,16051,0.195743902439024,55.214113197033
5,4,0,1,20260723,22760798,M2L,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M2L,grid_line,W3,25,64000,29876,0.4668125,0,0,8361,0.130640625,55.4927759888397
5,4,0,1,20260723,22760798,M2L,grid_line,W3,50,64000,144,0.00225,0,0,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M2L,road_edge,W3,30,82000,21326,0.260073170731707,0,0,11576,0.141170731707317,55.4927759888397
5,4,0,1,20260723,22760798,M2L,road_edge,W3,60,82000,0,0,0,0,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M2H,grid_line,W1,25,64000,58624,0.916,11420,0.1784375,0,0,50.8722630582811
5,4,0,1,20260723,22760798,M2H,grid_line,W1,50,64000,75,0.001171875,75,0.001171875,0,0,50.8722630582811
5,4,0,1,20260723,22760798,M2H,road_edge,W1,30,82000,50002,0.609780487804878,16317,0.198987804878049,0,0,50.8722630582811
5,4,0,1,20260723,22760798,M2H,road_edge,W1,60,82000,0,0,0,0,0,0,50.8722630582811
5,4,0,1,20260723,22760798,M2H,grid_line,W2,25,64000,55871,0.872984375,7332,0.1145625,0,0,55.214113197033
5,4,0,1,20260723,22760798,M2H,grid_line,W2,50,64000,1884,0.0294375,1859,0.029046875,0,0,55.214113197033
5,4,0,1,20260723,22760798,M2H,road_edge,W2,30,82000,54797,0.668256097560976,11106,0.135439024390244,0,0,55.214113197033
5,4,0,1,20260723,22760798,M2H,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
5,4,0,1,20260723,22760798,M2H,grid_line,W3,25,64000,45025,0.703515625,6788,0.1060625,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M2H,grid_line,W3,50,64000,1044,0.0163125,900,0.0140625,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M2H,road_edge,W3,30,82000,42316,0.516048780487805,9414,0.11480487804878,0,0,55.4927759888397
5,4,0,1,20260723,22760798,M2H,road_edge,W3,60,82000,0,0,0,0,0,0,55.4927759888397
2,6,0,1,20260723,20860741,M0,grid_line,W1,25,64000,0,0,0,0,0,0,22.7940684825163
2,6,0,1,20260723,20860741,M0,grid_line,W1,50,64000,0,0,0,0,0,0,22.7940684825163
2,6,0,1,20260723,20860741,M0,road_edge,W1,30,82000,0,0,0,0,0,0,22.7940684825163
2,6,0,1,20260723,20860741,M0,road_edge,W1,60,82000,0,0,0,0,0,0,22.7940684825163
2,6,0,1,20260723,20860741,M0,grid_line,W2,25,64000,181,0.002828125,0,0,0,0,45.9865692331152
2,6,0,1,20260723,20860741,M0,grid_line,W2,50,64000,0,0,0,0,0,0,45.9865692331152
2,6,0,1,20260723,20860741,M0,road_edge,W2,30,82000,82,0.001,0,0,0,0,45.9865692331152
2,6,0,1,20260723,20860741,M0,road_edge,W2,60,82000,0,0,0,0,0,0,45.9865692331152
2,6,0,1,20260723,20860741,M0,grid_line,W3,25,64000,258,0.00403125,0,0,0,0,36.8591512423437
2,6,0,1,20260723,20860741,M0,grid_line,W3,50,64000,0,0,0,0,0,0,36.8591512423437
2,6,0,1,20260723,20860741,M0,road_edge,W3,30,82000,83,0.00101219512195122,0,0,0,0,36.8591512423437
2,6,0,1,20260723,20860741,M0,road_edge,W3,60,82000,0,0,0,0,0,0,36.8591512423437
2,6,0,1,20260723,20860741,M1,grid_line,W1,25,64000,0,0,0,0,0,0,24.1093770500607
2,6,0,1,20260723,20860741,M1,grid_line,W1,50,64000,0,0,0,0,0,0,24.1093770500607
2,6,0,1,20260723,20860741,M1,road_edge,W1,30,82000,0,0,0,0,0,0,24.1093770500607
2,6,0,1,20260723,20860741,M1,road_edge,W1,60,82000,0,0,0,0,0,0,24.1093770500607
2,6,0,1,20260723,20860741,M1,grid_line,W2,25,64000,154,0.00240625,8,0.000125,35,0.000546875,48.0027985592066
2,6,0,1,20260723,20860741,M1,grid_line,W2,50,64000,0,0,0,0,0,0,48.0027985592066
2,6,0,1,20260723,20860741,M1,road_edge,W2,30,82000,98,0.00119512195121951,16,0.000195121951219512,0,0,48.0027985592066
2,6,0,1,20260723,20860741,M1,road_edge,W2,60,82000,0,0,0,0,0,0,48.0027985592066
2,6,0,1,20260723,20860741,M1,grid_line,W3,25,64000,258,0.00403125,49,0.000765625,49,0.000765625,34.8068163939585
2,6,0,1,20260723,20860741,M1,grid_line,W3,50,64000,0,0,0,0,0,0,34.8068163939585
2,6,0,1,20260723,20860741,M1,road_edge,W3,30,82000,68,0.000829268292682927,14,0.000170731707317073,29,0.000353658536585366,34.8068163939585
2,6,0,1,20260723,20860741,M1,road_edge,W3,60,82000,0,0,0,0,0,0,34.8068163939585
2,6,0,1,20260723,20860741,M2L,grid_line,W1,25,64000,0,0,0,0,0,0,20.1178418185772
2,6,0,1,20260723,20860741,M2L,grid_line,W1,50,64000,0,0,0,0,0,0,20.1178418185772
2,6,0,1,20260723,20860741,M2L,road_edge,W1,30,82000,0,0,0,0,0,0,20.1178418185772
2,6,0,1,20260723,20860741,M2L,road_edge,W1,60,82000,0,0,0,0,0,0,20.1178418185772
2,6,0,1,20260723,20860741,M2L,grid_line,W2,25,64000,70,0.00109375,0,0,111,0.001734375,41.3082818868892
2,6,0,1,20260723,20860741,M2L,grid_line,W2,50,64000,0,0,0,0,0,0,41.3082818868892
2,6,0,1,20260723,20860741,M2L,road_edge,W2,30,82000,42,0.00051219512195122,0,0,40,0.00048780487804878,41.3082818868892
2,6,0,1,20260723,20860741,M2L,road_edge,W2,60,82000,0,0,0,0,0,0,41.3082818868892
2,6,0,1,20260723,20860741,M2L,grid_line,W3,25,64000,80,0.00125,0,0,178,0.00278125,32.53155858636
2,6,0,1,20260723,20860741,M2L,grid_line,W3,50,64000,0,0,0,0,0,0,32.53155858636
2,6,0,1,20260723,20860741,M2L,road_edge,W3,30,82000,24,0.000292682926829268,0,0,59,0.000719512195121951,32.53155858636
2,6,0,1,20260723,20860741,M2L,road_edge,W3,60,82000,0,0,0,0,0,0,32.53155858636
2,6,0,1,20260723,20860741,M2H,grid_line,W1,25,64000,14,0.00021875,14,0.00021875,0,0,25.4702951464555
2,6,0,1,20260723,20860741,M2H,grid_line,W1,50,64000,0,0,0,0,0,0,25.4702951464555
2,6,0,1,20260723,20860741,M2H,road_edge,W1,30,82000,0,0,0,0,0,0,25.4702951464555
2,6,0,1,20260723,20860741,M2H,road_edge,W1,60,82000,0,0,0,0,0,0,25.4702951464555
2,6,0,1,20260723,20860741,M2H,grid_line,W2,25,64000,342,0.00534375,161,0.002515625,0,0,50.6648565793412
2,6,0,1,20260723,20860741,M2H,grid_line,W2,50,64000,5,7.8125e-05,5,7.8125e-05,0,0,50.6648565793412
2,6,0,1,20260723,20860741,M2H,road_edge,W2,30,82000,200,0.0024390243902439,118,0.0014390243902439,0,0,50.6648565793412
2,6,0,1,20260723,20860741,M2H,road_edge,W2,60,82000,0,0,0,0,0,0,50.6648565793412
2,6,0,1,20260723,20860741,M2H,grid_line,W3,25,64000,476,0.0074375,218,0.00340625,0,0,41.1867438983273
2,6,0,1,20260723,20860741,M2H,grid_line,W3,50,64000,0,0,0,0,0,0,41.1867438983273
2,6,0,1,20260723,20860741,M2H,road_edge,W3,30,82000,247,0.00301219512195122,164,0.002,0,0,41.1867438983273
2,6,0,1,20260723,20860741,M2H,road_edge,W3,60,82000,0,0,0,0,0,0,41.1867438983273
2,1,0,1,20260723,20360726,M0,grid_line,W1,25,64000,151,0.002359375,0,0,0,0,28.4511532298115
2,1,0,1,20260723,20360726,M0,grid_line,W1,50,64000,0,0,0,0,0,0,28.4511532298115
2,1,0,1,20260723,20360726,M0,road_edge,W1,30,82000,0,0,0,0,0,0,28.4511532298115
2,1,0,1,20260723,20360726,M0,road_edge,W1,60,82000,0,0,0,0,0,0,28.4511532298115
2,1,0,1,20260723,20360726,M0,grid_line,W2,25,64000,468,0.0073125,0,0,0,0,37.0298103400651
2,1,0,1,20260723,20360726,M0,grid_line,W2,50,64000,0,0,0,0,0,0,37.0298103400651
2,1,0,1,20260723,20360726,M0,road_edge,W2,30,82000,203,0.00247560975609756,0,0,0,0,37.0298103400651
2,1,0,1,20260723,20360726,M0,road_edge,W2,60,82000,0,0,0,0,0,0,37.0298103400651
2,1,0,1,20260723,20360726,M0,grid_line,W3,25,64000,916,0.0143125,0,0,0,0,45.4384160069741
2,1,0,1,20260723,20360726,M0,grid_line,W3,50,64000,0,0,0,0,0,0,45.4384160069741
2,1,0,1,20260723,20360726,M0,road_edge,W3,30,82000,535,0.00652439024390244,0,0,0,0,45.4384160069741
2,1,0,1,20260723,20360726,M0,road_edge,W3,60,82000,0,0,0,0,0,0,45.4384160069741
2,1,0,1,20260723,20360726,M1,grid_line,W1,25,64000,129,0.002015625,50,0.00078125,72,0.001125,30.9607909005483
2,1,0,1,20260723,20360726,M1,grid_line,W1,50,64000,0,0,0,0,0,0,30.9607909005483
2,1,0,1,20260723,20360726,M1,road_edge,W1,30,82000,4,4.87804878048781e-05,4,4.87804878048781e-05,0,0,30.9607909005483
2,1,0,1,20260723,20360726,M1,road_edge,W1,60,82000,0,0,0,0,0,0,30.9607909005483
2,1,0,1,20260723,20360726,M1,grid_line,W2,25,64000,522,0.00815625,128,0.002,74,0.00115625,40.6883344050348
2,1,0,1,20260723,20360726,M1,grid_line,W2,50,64000,0,0,0,0,0,0,40.6883344050348
2,1,0,1,20260723,20360726,M1,road_edge,W2,30,82000,223,0.00271951219512195,59,0.000719512195121951,39,0.000475609756097561,40.6883344050348
2,1,0,1,20260723,20360726,M1,road_edge,W2,60,82000,0,0,0,0,0,0,40.6883344050348
2,1,0,1,20260723,20360726,M1,grid_line,W3,25,64000,953,0.014890625,119,0.001859375,82,0.00128125,49.2706813925827
2,1,0,1,20260723,20360726,M1,grid_line,W3,50,64000,0,0,0,0,0,0,49.2706813925827
2,1,0,1,20260723,20360726,M1,road_edge,W3,30,82000,511,0.00623170731707317,71,0.000865853658536585,95,0.00115853658536585,49.2706813925827
2,1,0,1,20260723,20360726,M1,road_edge,W3,60,82000,0,0,0,0,0,0,49.2706813925827
2,1,0,1,20260723,20360726,M2L,grid_line,W1,25,64000,7,0.000109375,0,0,144,0.00225,25.1107344295502
2,1,0,1,20260723,20360726,M2L,grid_line,W1,50,64000,0,0,0,0,0,0,25.1107344295502
2,1,0,1,20260723,20360726,M2L,road_edge,W1,30,82000,0,0,0,0,0,0,25.1107344295502
2,1,0,1,20260723,20360726,M2L,road_edge,W1,60,82000,0,0,0,0,0,0,25.1107344295502
2,1,0,1,20260723,20360726,M2L,grid_line,W2,25,64000,171,0.002671875,0,0,297,0.004640625,32.6821807859684
2,1,0,1,20260723,20360726,M2L,grid_line,W2,50,64000,0,0,0,0,0,0,32.6821807859684
2,1,0,1,20260723,20360726,M2L,road_edge,W2,30,82000,81,0.00098780487804878,0,0,122,0.00148780487804878,32.6821807859684
2,1,0,1,20260723,20360726,M2L,road_edge,W2,60,82000,0,0,0,0,0,0,32.6821807859684
2,1,0,1,20260723,20360726,M2L,grid_line,W3,25,64000,489,0.007640625,0,0,427,0.006671875,40.8158931664378
2,1,0,1,20260723,20360726,M2L,grid_line,W3,50,64000,0,0,0,0,0,0,40.8158931664378
2,1,0,1,20260723,20360726,M2L,road_edge,W3,30,82000,273,0.00332926829268293,0,0,262,0.00319512195121951,40.8158931664378
2,1,0,1,20260723,20360726,M2L,road_edge,W3,60,82000,0,0,0,0,0,0,40.8158931664378
2,1,0,1,20260723,20360726,M2H,grid_line,W1,25,64000,272,0.00425,121,0.001890625,0,0,31.7915720300728
2,1,0,1,20260723,20360726,M2H,grid_line,W1,50,64000,0,0,0,0,0,0,31.7915720300728
2,1,0,1,20260723,20360726,M2H,road_edge,W1,30,82000,50,0.000609756097560976,50,0.000609756097560976,0,0,31.7915720300728
2,1,0,1,20260723,20360726,M2H,road_edge,W1,60,82000,0,0,0,0,0,0,31.7915720300728
2,1,0,1,20260723,20360726,M2H,grid_line,W2,25,64000,809,0.012640625,341,0.005328125,0,0,41.3774398941618
2,1,0,1,20260723,20360726,M2H,grid_line,W2,50,64000,0,0,0,0,0,0,41.3774398941618
2,1,0,1,20260723,20360726,M2H,road_edge,W2,30,82000,449,0.00547560975609756,246,0.003,0,0,41.3774398941618
2,1,0,1,20260723,20360726,M2H,road_edge,W2,60,82000,0,0,0,0,0,0,41.3774398941618
2,1,0,1,20260723,20360726,M2H,grid_line,W3,25,64000,1305,0.020390625,389,0.006078125,0,0,50.0609388475104
2,1,0,1,20260723,20360726,M2H,grid_line,W3,50,64000,2,3.125e-05,2,3.125e-05,0,0,50.0609388475104
2,1,0,1,20260723,20360726,M2H,road_edge,W3,30,82000,921,0.0112317073170732,386,0.00470731707317073,0,0,50.0609388475104
2,1,0,1,20260723,20360726,M2H,road_edge,W3,60,82000,0,0,0,0,0,0,50.0609388475104
4,4,0,1,20260723,22060777,M0,grid_line,W1,25,64000,19848,0.310125,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M0,grid_line,W1,50,64000,21,0.000328125,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M0,road_edge,W1,30,82000,3927,0.047890243902439,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M0,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M0,grid_line,W2,25,64000,30549,0.477328125,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M0,grid_line,W2,50,64000,33,0.000515625,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M0,road_edge,W2,30,82000,20923,0.255158536585366,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M0,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M0,grid_line,W3,25,64000,24176,0.37775,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M0,grid_line,W3,50,64000,31,0.000484375,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M0,road_edge,W3,30,82000,16052,0.195756097560976,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M0,road_edge,W3,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M1,grid_line,W1,25,64000,19910,0.31109375,4561,0.071265625,4499,0.070296875,55.2436058969241
4,4,0,1,20260723,22060777,M1,grid_line,W1,50,64000,21,0.000328125,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M1,road_edge,W1,30,82000,4197,0.0511829268292683,1044,0.0127317073170732,774,0.0094390243902439,55.2436058969241
4,4,0,1,20260723,22060777,M1,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M1,grid_line,W2,25,64000,30013,0.468953125,2552,0.039875,3088,0.04825,55.214113197033
4,4,0,1,20260723,22060777,M1,grid_line,W2,50,64000,64,0.001,31,0.000484375,0,0,55.214113197033
4,4,0,1,20260723,22060777,M1,road_edge,W2,30,82000,20253,0.246987804878049,2146,0.0261707317073171,2816,0.0343414634146341,55.214113197033
4,4,0,1,20260723,22060777,M1,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M1,grid_line,W3,25,64000,23576,0.368375,1956,0.0305625,2556,0.0399375,55.2436058969241
4,4,0,1,20260723,22060777,M1,grid_line,W3,50,64000,41,0.000640625,10,0.00015625,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M1,road_edge,W3,30,82000,15814,0.192853658536585,1826,0.0222682926829268,2064,0.0251707317073171,55.2436058969241
4,4,0,1,20260723,22060777,M1,road_edge,W3,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2L,grid_line,W1,25,64000,4843,0.075671875,0,0,15005,0.234453125,55.2436058969241
4,4,0,1,20260723,22060777,M2L,grid_line,W1,50,64000,21,0.000328125,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2L,road_edge,W1,30,82000,1476,0.018,0,0,2451,0.029890243902439,55.2436058969241
4,4,0,1,20260723,22060777,M2L,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2L,grid_line,W2,25,64000,18812,0.2939375,0,0,11737,0.183390625,55.214113197033
4,4,0,1,20260723,22060777,M2L,grid_line,W2,50,64000,33,0.000515625,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M2L,road_edge,W2,30,82000,10776,0.131414634146341,0,0,10147,0.123743902439024,55.214113197033
4,4,0,1,20260723,22060777,M2L,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M2L,grid_line,W3,25,64000,14881,0.232515625,0,0,9295,0.145234375,55.2436058969241
4,4,0,1,20260723,22060777,M2L,grid_line,W3,50,64000,31,0.000484375,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2L,road_edge,W3,30,82000,7868,0.0959512195121951,0,0,8184,0.0998048780487805,55.2436058969241
4,4,0,1,20260723,22060777,M2L,road_edge,W3,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,grid_line,W1,25,64000,35876,0.5605625,16028,0.2504375,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,grid_line,W1,50,64000,25,0.000390625,4,6.25e-05,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,road_edge,W1,30,82000,10918,0.133146341463415,6991,0.0852560975609756,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,grid_line,W2,25,64000,40396,0.6311875,9847,0.153859375,0,0,55.214113197033
4,4,0,1,20260723,22060777,M2H,grid_line,W2,50,64000,364,0.0056875,331,0.005171875,0,0,55.214113197033
4,4,0,1,20260723,22060777,M2H,road_edge,W2,30,82000,31301,0.381719512195122,10378,0.126560975609756,0,0,55.214113197033
4,4,0,1,20260723,22060777,M2H,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
4,4,0,1,20260723,22060777,M2H,grid_line,W3,25,64000,31910,0.49859375,7734,0.12084375,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,grid_line,W3,50,64000,213,0.003328125,182,0.00284375,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,road_edge,W3,30,82000,24651,0.300621951219512,8599,0.104865853658537,0,0,55.2436058969241
4,4,0,1,20260723,22060777,M2H,road_edge,W3,60,82000,0,0,0,0,0,0,55.2436058969241
6,7,0,1,20260723,23760828,M0,grid_line,W1,25,64000,41206,0.64384375,0,0,0,0,55.2436058969241
6,7,0,1,20260723,23760828,M0,grid_line,W1,50,64000,18,0.00028125,0,0,0,0,55.2436058969241
6,7,0,1,20260723,23760828,M0,road_edge,W1,30,82000,21566,0.263,0,0,0,0,55.2436058969241
6,7,0,1,20260723,23760828,M0,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
6,7,0,1,20260723,23760828,M0,grid_line,W2,25,64000,41327,0.645734375,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M0,grid_line,W2,50,64000,431,0.006734375,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M0,road_edge,W2,30,82000,29862,0.364170731707317,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M0,road_edge,W2,60,82000,0,0,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M0,grid_line,W3,25,64000,38122,0.59565625,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M0,grid_line,W3,50,64000,129,0.002015625,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M0,road_edge,W3,30,82000,27474,0.335048780487805,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M0,road_edge,W3,60,82000,0,0,0,0,0,0,55.4697563798546
6,7,0,1,20260723,23760828,M1,grid_line,W1,25,64000,42066,0.65728125,2990,0.04671875,2130,0.03328125,55.2436058969241
6,7,0,1,20260723,23760828,M1,grid_line,W1,50,64000,18,0.00028125,0,0,0,0,55.2436058969241
6,7,0,1,20260723,23760828,M1,road_edge,W1,30,82000,22065,0.269085365853659,2031,0.0247682926829268,1532,0.0186829268292683,55.2436058969241
6,7,0,1,20260723,23760828,M1,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
6,7,0,1,20260723,23760828,M1,grid_line,W2,25,64000,41696,0.6515,2725,0.042578125,2356,0.0368125,55.4697563798546
6,7,0,1,20260723,23760828,M1,grid_line,W2,50,64000,480,0.0075,49,0.000765625,0,0,55.4697563798546
