a0,loc0,lfw0,metric,mode,step3d_N2000_three_seed_mean,step3d_N2000_seed_std,step3d_N2000_seed_range,mode_three_seed_mean,mode_shift_vs_M0,absolute_mode_shift_vs_M0,shift_over_step3d_seed_std,shift_over_step3d_seed_range
5,4,0,D_mean_kg,M0,342.294774932038,1.3392836053713,2.66031148569397,342.294774932038,0,0,0,0
5,4,0,D_mean_kg,M1,342.294774932038,1.3392836053713,2.66031148569397,340.699615416087,-1.59515951595154,1.59515951595154,1.19105431407808,0.599613813844594
5,4,0,D_mean_kg,M2L,342.294774932038,1.3392836053713,2.66031148569397,243.907345279983,-98.3874296520558,98.3874296520558,73.4627298187369,36.983424753508
5,4,0,D_mean_kg,M2H,342.294774932038,1.3392836053713,2.66031148569397,430.927956432006,88.6331814999677,88.6331814999677,66.1795463966687,33.3168435262561
5,4,0,D_q95_kg,M0,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q95_kg,M1,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q95_kg,M2L,607.969887897881,0,0,583.240142196038,-24.7297457018433,24.7297457018433,NaN,NaN
5,4,0,D_q95_kg,M2H,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M0,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M1,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M2L,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,D_q99_kg,M2H,607.969887897881,0,0,607.969887897881,-3.41060513164848e-13,3.41060513164848e-13,NaN,NaN
5,4,0,full_loss_probability,M0,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.0943333333333333,0,0,0,0
5,4,0,full_loss_probability,M1,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.0958333333333333,0.00149999999999999,0.00149999999999999,0.440731896186949,0.230769230769229
