a0,loc0,lfw0,seed_id,base_seed,mode,fixed_a6_mps,record_count,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count
5,4,0,1,20260723,M0_FIXED,55.5,31,416.78654668986,607.969887897881,607.969887897881,0.0967741935483871,0.353698273053112,0.646301726946888,21.8732619932087,27.9425507793824,19.5483870967742,29,15.258064516129,26,0.0967741935483871,135.831764994681,607.969887897881,0,0
5,4,0,1,20260723,M1_A6_TRIANGULAR,NaN,31,417.138488042353,607.969887897881,607.969887897881,0.0967741935483871,0.356549364613881,0.643450635386119,22.0654225475314,27.9482111854519,19.6774193548387,29,15.6129032258065,29,0.0967741935483871,135.831764994681,607.969887897881,0,0
2,6,0,1,20260723,M0_FIXED,55.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,0,1,20260723,M1_A6_TRIANGULAR,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,0,1,20260723,M0_FIXED,55.5,1,177.563210866541,177.563210866541,177.563210866541,0,0,1,19.1764450272064,19.1764450272064,5,5,0,0,0,177.563210866541,177.563210866541,0,0
2,1,0,1,20260723,M1_A6_TRIANGULAR,NaN,1,177.563210866541,177.563210866541,177.563210866541,0,0,1,19.2427888160168,19.2427888160168,8,8,0,0,0,177.563210866541,177.563210866541,0,0
4,4,0,1,20260723,M0_FIXED,55.5,24,459.420942094209,607.969887897881,607.969887897881,0.125,0.401409932659933,0.598590067340067,21.6539101933502,32.0569469083059,17.7083333333333,30,12.9166666666667,26,0.125,188.746147342007,607.969887897881,0,0
4,4,0,1,20260723,M1_A6_TRIANGULAR,NaN,24,453.920392039204,607.969887897881,607.969887897881,0.166666666666667,0.373211279461279,0.62678872053872,21.5984706695814,31.678689399612,17.5416666666667,30,12.75,26,0.166666666666667,188.746147342007,607.969887897881,0,0
6,7,0,1,20260723,M0_FIXED,55.5,755,374.30052457383,607.969887897881,607.969887897881,0.128476821192053,0.17157669409325,0.82842330590675,21.9463648421106,30.0207985810599,10.2993377483444,26,5.67549668874172,20,0.128476821192053,0,607.969887897881,0,0
6,7,0,1,20260723,M1_A6_TRIANGULAR,NaN,755,375.896590261073,607.969887897881,607.969887897881,0.133774834437086,0.173998260753228,0.826001739246772,21.8523718760999,29.8182501227815,10.3086092715232,25,5.73377483443709,20,0.133774834437086,0,607.969887897881,0,0
5,4,0,2,20260724,M0_FIXED,55.5,33,481.907694901722,607.969887897881,607.969887897881,0.181818181818182,0.442990511172329,0.557009488827671,22.3021611516408,31.6673434063483,22.0909090909091,29,16.3030303030303,29,0.181818181818182,210.839265744756,607.969887897881,0,0
