a0,loc0,lfw0,seed_id,base_seed,mode,fixed_a6_mps,record_count,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count
5,4,0,1,20260723,M0_FIXED,55.5,2000,341.05474183782,607.969887897881,607.969887897881,0.0905,0.142176767676768,0.857823232323233,21.3679207119931,27.0707095053167,10.0335,21,5.4405,16,0.0905,0,607.969887897881,0,0
5,4,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,341.060196928784,607.969887897881,607.969887897881,0.0905,0.14222095959596,0.857779040404041,21.3708992005851,27.0707095053167,10.0355,21,5.446,16,0.0905,0,607.969887897881,0,0
2,6,0,1,20260723,M0_FIXED,55.5,2000,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0
2,6,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,0.86490467228541,0,0,0,0.000236111111111111,0.999763888888889,19.0171303627163,19.0137618887991,0.028,0,0.015,0,0,0,394.403076671303,0,0
2,1,0,1,20260723,M0_FIXED,55.5,2000,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250545335282,19.0137618887991,0.0835,0,0.0275,0,0,0,498.32255952868,0,0
2,1,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,2.86064970133377,0,112.102119302839,0,0.000196969696969697,0.99980303030303,19.0250877054226,19.0137618887991,0.085,0,0.0275,0,0,0,498.32255952868,0,0
4,4,0,1,20260723,M0_FIXED,55.5,2000,160.944821754903,486.866868505032,607.969887897881,0.0155,0.0416300505050505,0.95836994949495,19.905971753735,23.2312280000968,4.5265,16,1.952,10,0.0155,0,607.969887897881,0,0
4,4,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,160.878815154243,483.593813926847,607.969887897881,0.016,0.0412916666666667,0.958708333333333,19.9053064794498,23.2366423227019,4.5245,16,1.95,10,0.016,0,607.969887897881,0,0
6,7,0,1,20260723,M0_FIXED,55.5,2000,257.574121048468,607.969887897881,607.969887897881,0.0565,0.106661616161616,0.893338383838384,20.839743423667,27.4475286337876,7.571,21,3.919,16,0.0565,0,607.969887897881,0,0
6,7,0,1,20260723,M1_A6_TRIANGULAR,NaN,2000,258.176635845403,607.969887897881,607.969887897881,0.0585,0.107575757575758,0.892424242424243,20.804261078998,27.1773250684817,7.5745,21,3.941,16,0.0585,0,607.969887897881,0,0
