a0,loc0,seed_id,input,observed_sha256,step3f_sha256,passed,reference
5,4,1,selected_path_id_sha256,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,1,Step-03F accepted random-input identity
5,4,1,permutation_sha256,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,1,Step-03F accepted random-input identity
5,4,1,line_resistance_u_sha256,ae2e2b6fd002b363398bdc648ad57fa41ac84d6d04c663416361181b5f9d422c,ae2e2b6fd002b363398bdc648ad57fa41ac84d6d04c663416361181b5f9d422c,1,Step-03F accepted random-input identity
5,4,1,road_resistance_u_sha256,9ab0c5054a904b31af2e5826b909603389ef2cc9916b3d6f601fd7273dda59e5,9ab0c5054a904b31af2e5826b909603389ef2cc9916b3d6f601fd7273dda59e5,1,Step-03F accepted random-input identity
2,6,1,selected_path_id_sha256,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,1,Step-03F accepted random-input identity
2,6,1,permutation_sha256,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,1,Step-03F accepted random-input identity
2,6,1,line_resistance_u_sha256,9f79b129912981d1c61c6fbcd93007fb7991f71b887a8f9382b5e1b7d1332357,9f79b129912981d1c61c6fbcd93007fb7991f71b887a8f9382b5e1b7d1332357,1,Step-03F accepted random-input identity
2,6,1,road_resistance_u_sha256,1e525c192b1880996548970cbf97cffbc063fc64f6f8b39c6d7056246b4bc4e9,1e525c192b1880996548970cbf97cffbc063fc64f6f8b39c6d7056246b4bc4e9,1,Step-03F accepted random-input identity
2,1,1,selected_path_id_sha256,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,1,Step-03F accepted random-input identity
2,1,1,permutation_sha256,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,1,Step-03F accepted random-input identity
