a0,loc0,lfw0,seed_id,base_seed,mode,asset,stage,threshold_mps,observation_count,above_count,above_share,crossed_up_vs_M0_count,crossed_up_vs_M0_share,crossed_down_vs_M0_count,crossed_down_vs_M0_share,local_wind_max_mps
5,4,0,1,20260723,M0_FIXED,grid_line,W1,25,64000,47204,0.7375625,0,0,0,0,46.1748242297168
5,4,0,1,20260723,M0_FIXED,grid_line,W1,50,64000,0,0,0,0,0,0,46.1748242297168
5,4,0,1,20260723,M0_FIXED,road_edge,W1,30,82000,33685,0.410792682926829,0,0,0,0,46.1748242297168
5,4,0,1,20260723,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,46.1748242297168
5,4,0,1,20260723,M0_FIXED,grid_line,W2,25,64000,48539,0.758421875,0,0,0,0,55.214113197033
5,4,0,1,20260723,M0_FIXED,grid_line,W2,50,64000,25,0.000390625,0,0,0,0,55.214113197033
5,4,0,1,20260723,M0_FIXED,road_edge,W2,30,82000,43691,0.532817073170732,0,0,0,0,55.214113197033
5,4,0,1,20260723,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,55.214113197033
5,4,0,1,20260723,M0_FIXED,grid_line,W3,25,64000,38237,0.597453125,0,0,0,0,55.4927759888397
5,4,0,1,20260723,M0_FIXED,grid_line,W3,50,64000,144,0.00225,0,0,0,0,55.4927759888397
5,4,0,1,20260723,M0_FIXED,road_edge,W3,30,82000,32902,0.401243902439024,0,0,0,0,55.4927759888397
5,4,0,1,20260723,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,55.4927759888397
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,47662,0.74471875,2429,0.037953125,1971,0.030796875,48.8906751320126
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,0,0,0,0,0,0,48.8906751320126
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,32529,0.39669512195122,3157,0.0385,4313,0.0525975609756098,48.8906751320126
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,48.8906751320126
