a0,loc0,lfw0,seed_id,base_seed,mode,stage,metric,M0_mean,M1_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,paired_difference_min,paired_difference_max,nonzero_difference_share
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,341.05474183782,342.523115947958,1.46837411013829,30.089872623626,-87.2814554182691,0,100.646428279192,-607.969887897881,508.141723263235,0.4355
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0.0905,0.0905,0,0.022,0,0,0,-1,1,0.022
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.142176767676768,0.145065656565657,0.00288888888888889,0.0296212121212121,-0.0959595959595959,0,0.118686868686869,-0.419191919191919,0.5,0.3455
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.857823232323233,0.854934343434344,-0.00288888888888889,0.0296212121212121,-0.121212121212121,0,0.095959595959596,-0.5,0.419191919191919,0.3455
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,21.3679207119931,21.4818128599242,0.113892147931162,0.960602350588075,-2.35925481154614,0,3.0730151310332,-11.6876394096984,22.5840918121712,0.856
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,D_W1,79.3361154297247,79.791888279737,0.455772850012275,12.2974115593378,-43.9134822573166,0,46.9137822873196,-202.656629299294,202.656629299294,0.2735
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,A0_W1,0.0401022727272728,0.0410265151515152,0.000924242424242424,0.0126969696969697,0,0,0,-0.5,0.5,0.0815
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,C_W1,19.9977537622923,20.1401428920464,0.142389129754136,0.580827601207296,-1.3808498583911,0,2.17600840966855,-9.16853410954868,17.981112118366,0.611
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,failed_W1,3.759,3.844,0.085,0.823,-2,0,3,-7,11,0.457
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W1,closed_W1,0.9455,1.036,0.0905,0.4335,-1,0,2,-6,7,0.254
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,D_W2,122.38414750566,123.194637645583,0.810490139923084,10.6812044840848,-34.9125821673076,0,43.6407277091345,-202.656629299294,183.018301830183,0.246
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,A0_W2,0.16107196969697,0.163556818181818,0.00248484848484848,0.0349621212121212,-0.0984848484848484,0,0.181818181818182,-0.628787878787879,0.590909090909091,0.242
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,C_W2,21.773124838179,21.8431318184356,0.0700069802566295,1.32832972053869,-3.65007891548148,0,4.03329762564957,-30.2873216799224,27.4676973234507,0.7955
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,failed_W2,8.071,8.094,0.023,1.173,-3,0,3,-10,11,0.5635
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W2,closed_W2,3.987,4.067,0.08,0.82,-2,0,3,-7,8,0.4275
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,D_W3,139.334478902436,139.536590022639,0.202111120202929,8.97335188064261,-27.2754548182091,0,31.6395275891225,-202.656629299294,177.563210866541,0.2205
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,A0_W3,0.225356060606061,0.230613636363636,0.00525757575757576,0.0446287878787879,-0.196969696969697,0,0.242424242424242,-0.765151515151515,0.636363636363636,0.3155
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,C_W3,22.3445148837272,22.3783856202757,0.0338707365485141,1.76442894770069,-4.7021541082294,0,5.55373965256779,-30.2892110304424,27.4676973234507,0.856
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,failed_W3,10.0335,10.0705,0.037,1.245,-3,0,3,-9,11,0.591
5,4,0,1,20260723,M1_STAGEWISE_RANDOM,W3,closed_W3,5.4405,5.58,0.1395,0.9915,-3,0,3,-9,8,0.495
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,0.86490467228541,0.973188227913701,0.10828355562829,0.196656029239288,0,0,0,-67.0976188527944,136.377274091045,0.003
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0,0,0,0,0,0,0,0,0,0
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.000236111111111111,9.21717171717172e-05,-0.000143939393939394,0.000143939393939394,0,0,0,-0.287878787878788,0,0.0005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.999763888888889,0.999907828282828,0.000143939393939394,0.000143939393939394,0,0,0,0,0.287878787878788,0.0005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,19.0171303627163,19.0199418153583,0.00281145264202583,0.00282822494883552,0,0,0,-0.0167723068096883,4.36332292143976,0.005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W1,D_W1,0,0,0,0,0,0,0,0,0,0
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W1,A0_W1,0,0,0,0,0,0,0,0,0,0
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W1,C_W1,19.013761888799,19.013761888799,0,0,0,0,0,0,0,0
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W1,failed_W1,0,0,0,0,0,0,0,0,0,0
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W1,closed_W1,0,0,0,0,0,0,0,0,0,0
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,D_W2,0.309440034912582,0.326759948722145,0.0173199138095628,0.05086872323596,0,0,0,-33.5488094263972,68.1886370455227,0.001
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,A0_W2,0.000276515151515152,6.06060606060606e-05,-0.000215909090909091,0.000215909090909091,0,0,0,-0.431818181818182,0,0.0005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,C_W2,19.0187281293053,19.0218348141697,0.00310668486440481,0.00310668486440481,0,0,0,0,5.33704869355623,0.0025
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,failed_W2,0.017,0.016,-0.001,0.004,0,0,0,-2,2,0.0025
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W2,closed_W2,0.0105,0.0075,-0.003,0.004,0,0,0,-7,1,0.001
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,D_W3,0.555464637372828,0.646428279191555,0.0909636418187273,0.145787306003328,0,0,0,-33.5488094263972,106.91978288738,0.003
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,A0_W3,0.000431818181818182,0.000215909090909091,-0.000215909090909091,0.000215909090909091,0,0,0,-0.431818181818182,0,0.0005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,C_W3,19.020510075157,19.0246222557764,0.00411218061945171,0.00417761104711588,0,0,0,-0.0654304276641682,5.33704869355623,0.005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,failed_W3,0.028,0.03,0.002,0.008,0,0,0,-2,3,0.005
2,6,0,1,20260723,M1_STAGEWISE_RANDOM,W3,closed_W3,0.015,0.012,-0.003,0.004,0,0,0,-7,1,0.001
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,2.86064970133377,3.23773286419551,0.377083162861741,0.589286201347407,0,0,0,-128.740146741947,202.656629299294,0.0105
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0,0,0,0,0,0,0,0,0,0
2,1,0,1,20260723,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.000196969696969697,0.000311868686868687,0.00011489898989899,0.00011489898989899,0,0,0,0,0.118686868686869,0.003
