a0,loc0,lfw0,seed_id,base_seed,N,resistance_seed,wind_seed,separate_seed_pass,wind_reproducibility_pass,stagewise_q_pass,same_level_redraw_pass,wind_bounds_pass,selected_path_id_sha256,permutation_sha256,line_resistance_u_sha256,road_resistance_u_sha256,q_W1_sha256,q_W2_sha256,q_W3_sha256
5,4,0,1,20260723,2000,22760798,342761198,1,1,1,1,1,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,ae2e2b6fd002b363398bdc648ad57fa41ac84d6d04c663416361181b5f9d422c,9ab0c5054a904b31af2e5826b909603389ef2cc9916b3d6f601fd7273dda59e5,38f2ae2bb79337af8e1c1cddf6314508b45ba09d6bfd2e6095e00dcd6a54c84d,7c48406b6f9a5a6ce707bc6d30bf7c8e7a86021561fcfc29fce368d18c3e6e1b,cfbdda1de6626b5fe7e3f26f5e158d738042a30af0b05dd79775c52b6e1627f6
2,6,0,1,20260723,2000,20860741,340860837,1,1,1,1,1,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,9f79b129912981d1c61c6fbcd93007fb7991f71b887a8f9382b5e1b7d1332357,1e525c192b1880996548970cbf97cffbc063fc64f6f8b39c6d7056246b4bc4e9,ed58728f5f7bae47ebd4a232dccd3aef339d90ea7fafe52ff2342662155b478d,d49c49ddb3c1356ded080360ff03fbcb6ae7d3cb21ab72cbc7db45666ed64137,763af328f978a18d9e4cd5945911ab684da0c675009f833fbad83bd499fbde27
2,1,0,1,20260723,2000,20360726,340360742,1,1,1,1,1,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,54809bb70c6da9943650e10d0e602dba01d26b13a78738483fdffbfa64a848eb,0ef90488cc0773898aa410c5f9e94366340e997da1689b056975a1a3c154c711,ad407d40d13bf379e6454aaa1e583ac4fc3242b35cecfd131d608e38ed1ecf0d,1c79b2e144e9a6e9210fab76407bc57e88044c8ced13eb1a37bcc43d1d3f5d54,0ce72d0ca7ab3402ba0197e69f6a463c6c98112ca8430e42fc41fd3ef34f7f6a
4,4,0,1,20260723,2000,22060777,342061065,1,1,1,1,1,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,5b1cee65427c9f37a273f598faf35940e1fe1bb09b125c4e5e4fa5caaef1529a,0f6e805b2150fd0433a4a15c30b220e3253afeb1e3328381e99972dc93c6e52d,b4ac1b8b9e75268ae45633435e9e52b04b444deb09e02dc6edc5f84ff80cc609,47b23336c0f2f9ec3c2297015c1c5edff3512fbe3782677a285dc92d1f6a9d37,bfb21cfccc9a48b90d4bc97391c19acba897cc882b9aa0c0a9beba6cd2d601aa
6,7,0,1,20260723,2000,23760828,343761388,1,1,1,1,1,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,d2cf0e54250ccc06c8489fc4ec228f3c37a117bf2dc7f785e8b1a2998e7faeeb,f3f40ca42afe62d151bab5610bf2f880ccb3afe4bec7b131414a3f2bfdf71848,083d71770e2bcecad0d258f6ac0e918bf650b30c17923abe25b3bdaefdee91d8,cb07cf80226ceb9882fbf48593854025f1140505636b0e57bb250feba0432eca,14c82ddb767fe5a5720ae9a5c78467171c6a05f6eb1e8e89bed41153576e0ef1
5,4,0,2,20260724,2000,22760799,342761199,1,1,1,1,1,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,eb827007a165dfd17326c62670398d73d0e0da79530ecd13e23ed72d49c10a6b,5fe84eb5afcda9970e980cc275a5349a821bf9aa69d23ec66a3337b00c784d25,5385896b03c27c57668f3da58c1a3763856370bc9ddeec93eeccf52bd2b456d2,34e1703dd64f7cf4ddc802d65438cc4216c63c413e65191cbfec09f61346f1f9,f3b3e8bcd7accedffbd7de8e234430907b117af1a6b61505cdf516a33b18cc85
2,6,0,2,20260724,2000,20860742,340860838,1,1,1,1,1,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,939e6397aaca44902bec18d218d93aae981d1824821f4215e6633dcd8093438c,42cf766abfc4a2bf581c4b479137e26edf1ee67f92c3e3c736e8ee07db5608cb,8caa35a330f1c6643d77e6e48ae3acca23f0e22f38811866ea2a9cd010db18c2,57eb88d994f376c7d8497f5c5aa00d09f7a9f6098bdaa3454455d475c7b221a3,ee7334c1f1451b5544e93e5154b1fde9e6f096936bcb18d20c54abd3a8d56d51
2,1,0,2,20260724,2000,20360727,340360743,1,1,1,1,1,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,f446ab867ace6648214e56673c38c2fe1534de8f8bbe422eb80305480a32de3f,ab1639b6279bba43bc20c5df99fe060c809802c88befe9947b2d79fd8c15cc3e,ffc5fd1a9f1e4031c3bebc213cb476510165b0c39bb21dd3f63cdd8385c83fc7,fd6eb6aacf52e2c20410d707c67d94e68f594d4fb1a289b2c737c55140842fc9,24782fa8c406f816deef0a92d859383d9129f0e876962df37edb502585b357ec
4,4,0,2,20260724,2000,22060778,342061066,1,1,1,1,1,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,56617cb2b87c0bebc7b7806b31029ea80f7d2256826aa83b752adff0942129d5,05149608cd63c176b655574b5a1cd1c2c98f7b3ed004816f4713fddfb3c9fd22,24f83042bef74df2910fd92b81e585185cf23febdcb8232051acf50e2b275755,3288d16a6680089bd2127a628a6ef17fc1bdac4ac41a44050e059f946959eb7f,7d259065faa9ff881eef61842e6c4759cdcba5f286e70c003cd08455f09a6252
6,7,0,2,20260724,2000,23760829,343761389,1,1,1,1,1,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,739d424699fc113279983b8ab621877c3b42f3fdc83e6f2b983ac1c3a32f7d3f,80992fa57c9c93fa9da4f4c84e8d940225b36729409e4c5598a676364e7aaddd,92e461071ed6feb4a53c984c38000df93aee4d305e0d48e430ccdf01c73e77b1,535e99ceece6c3454d5d4d4601b4bb499f715b05760bed709f7e54e10b84b839,c45063a6192e47096a60995e15f4807609d1961d0e1bfb9e8b2f8f2677fd2b35
5,4,0,3,20260725,2000,22760800,342761200,1,1,1,1,1,c8b9903019ef661fada32121f52df22931ba32540b38c707e8f517602cc35275,c8b9903019ef661fada32121f52df22931ba32540b38c707e8f517602cc35275,0241c57762e6c12d10e24d1e92f2e26d25354779643d72bf5d5f14877e008846,9f8dd4f581f6e129054b15c06b5540bc807d98e2dfb94c0601cb7f3752cfe665,bc2b3992973a883934d63e479d6a38f82b9725b0c81db1179d9c4ae04e05b7fd,6de7efe84e5763a27e758793d17d01e26887b2c24ef04ec2b01a0f5b51388a78,c9be64ad25af4791b9d5bd966c4c0ff39d5bc2f3b7e9941bc2401d613f29455e
2,6,0,3,20260725,2000,20860743,340860839,1,1,1,1,1,33213df3a68f8da5b231dbfbff630db75cfdb02f6393e99a782ca765d994319d,33213df3a68f8da5b231dbfbff630db75cfdb02f6393e99a782ca765d994319d,f601140945f382cbd9220c0429029492e49cff8bb2cf80e628380d5f444880f2,5561396e82e7ec433b33fffa316627073c3ba7190f72f01af42dcc7e7cd5924f,8a3e64c8d4b21398d11979eb0fe4a9b2b89fa253d27a648edb5a0f33f727c790,4a0ed14d6247aba761051482745995c019381fea563b4484fa70f9d11d372a2c,a4aadc3d94dba9b9f7a4e0a8f7f03e5a92fa711051b0a860a999d01b997f2db0
2,1,0,3,20260725,2000,20360728,340360744,1,1,1,1,1,bc96d4107ce6aab6534ad575e29663e80b026323682e46117091102c4fe82a04,bc96d4107ce6aab6534ad575e29663e80b026323682e46117091102c4fe82a04,e143f952c93c3832b0ee54c6dd41f1befd8a729c953567d348e217fb2ffb6d46,5540667a9549e8b3658e5f75ad0b87c1d4de742fcea31cc814d652b4b83a3120,fe4474b94530ca13d892b6eca7a226a1ff6ef31822e8f1b4c43226a44bdf57c6,630cc19cea44737979ae95e46135fc61ea81445178ad95c655d22a38d532806c,f4b049d8867444e2763bd632a71d44de6804596540dcf9817b4f5aed56d86b97
4,4,0,3,20260725,2000,22060779,342061067,1,1,1,1,1,e81214ff53d93439b424505edbc92b92d77c6b3905ef671509883f1604c4ae24,e81214ff53d93439b424505edbc92b92d77c6b3905ef671509883f1604c4ae24,254c96e18dac5ab3fd5a48d4edc90692ae3a9dcb4e5bc63fe580f84aca794eed,1f1f507e9743bad2acbeff2d04d7d9e91a4594f71c3f7f72809e7a30e0b48df8,15eddb57026619c4c16a6a910a4d83906fbda0094300520056f0596420d7582f,8dff8a6777cf269d9d1e04d1030a1ce7581a8fea4065e999f0b21b307d262a82,cef894e3ee4748632d39655d057aa5d70f95ef56d7813f3c6482253e6a81dee1
6,7,0,3,20260725,2000,23760830,343761390,1,1,1,1,1,343bbdc5e036ad28c036d8966e83203678808af245e3dd8a354a21776c7c5b8d,343bbdc5e036ad28c036d8966e83203678808af245e3dd8a354a21776c7c5b8d,d49b0fc4a911e118af56efbe347ff6ecf66f30f51e1264a8a7eb09ea65364d7a,4ad4e5bcfb6cefe45e4816362b0c9e115b8856c59e551adb4bcaf548fdfd35bd,89abcaaaeb69f567817d9fff11e0d268cf673e7adb5ca835fc18c9edf65ea094,ceac484c7f2befea5dad34d67b600d326b011c4a82d9d5b4b8937860287d3b23,d2aef5d47db2cf76073dbd9cff3baf56a06ab7842b21569ae88035826f54b694
