a0,loc0,lfw0,seed_id,base_seed,N,metric,fixed_value,random_value,random_minus_fixed,relative_difference,fixed_reference,formal_random_mode
2,1,0,1,20260723,15000,D_mean_kg,3.00462773550082,3.09807344370801,0.0934457082071876,0.0311005942942918,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,D_q95_kg,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,D_q99_kg,115.375173881024,125.19433761558,9.81916373455573,0.0851063829787277,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,full_loss_probability,0.000133333333333333,6.66666666666667e-05,-6.66666666666663e-05,-0.499999999999999,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,D_upper_bound_hit_share,0.000133333333333333,6.66666666666667e-05,-6.66666666666663e-05,-0.499999999999999,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,A0_pair_share,0.000377946127946128,0.00044006734006734,6.21212121212121e-05,0.164365256124721,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,reachable_pair_share,0.999622053872054,0.999559932659933,-6.21212121214576e-05,-6.21446994699947e-05,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,C_reachable_mean_km,19.0254471389076,19.0249403463613,-0.00050679254632513,-2.66376155380193e-05,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,-3.90798504668055e-14,-2.05534552790562e-15,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,W3_failed_lines_mean,0.0804,0.0862,0.0058,0.0721393034825871,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,W3_failed_lines_q95,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,W3_closed_roads_mean,0.0279333333333333,0.0292666666666667,0.00133333333333337,0.047732696897376,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,1,20260723,15000,W3_closed_roads_q95,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,D_mean_kg,3.01384683922938,3.02748456663848,0.0136377274091033,0.00452502337928704,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,D_q95_kg,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,D_q99_kg,120.01200120012,118.64822845921,-1.36377274091045,-0.0113636363636363,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,full_loss_probability,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,D_upper_bound_hit_share,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,A0_pair_share,0.000337037037037037,0.000422053872053872,8.5016835016835e-05,0.252247752247752,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,reachable_pair_share,0.999662962962963,0.999577946127946,-8.50168350168268e-05,-8.50454984996544e-05,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,C_reachable_mean_km,19.0261194998882,19.0264485995052,0.000329099617022877,1.72972537581723e-05,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,C_reachable_q95_km,19.0137618887991,19.0137618887991,-3.90798504668055e-14,-2.05534552790562e-15,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,W3_failed_lines_mean,0.0808,0.0808,0,0,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,W3_failed_lines_q95,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,W3_closed_roads_mean,0.0269333333333333,0.0294666666666667,0.00253333333333337,0.0940594059405954,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,2,20260724,15000,W3_closed_roads_q95,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,3,20260725,15000,D_mean_kg,2.92636536380911,3.04214057769413,0.115775213885024,0.0395628021424928,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,3,20260725,15000,D_q95_kg,0,0,0,NaN,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,3,20260725,15000,D_q99_kg,104.737746501923,117.284455718299,12.5467092163761,0.119791666666666,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,3,20260725,15000,full_loss_probability,0.0002,6.66666666666667e-05,-0.000133333333333333,-0.666666666666667,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,3,20260725,15000,D_upper_bound_hit_share,0.0002,6.66666666666667e-05,-0.000133333333333333,-0.666666666666667,Step-03D fixed_representative run-001,stagewise_random_triangular
2,1,0,3,20260725,15000,A0_pair_share,0.00040976430976431,0.000553872053872054,0.000144107744107744,0.351684470008216,Step-03D fixed_representative run-001,stagewise_random_triangular
