dataset_role,initial_state_id,a0,loc0,lfw0,record_count,weight_sum,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_rate,A0_share,reachable_C_mean_km,W3_failed_line_count_mean,W3_closed_road_count_mean,observed_candidate_records,unobserved_candidate_records,path_order_internal_ok,D_domain_ok,wind_range_ok,D_mean_delta_vs_nominal,D_q95_delta_vs_nominal,D_q99_delta_vs_nominal,full_loss_rate_delta_vs_nominal,A0_share_delta_vs_nominal,reachable_C_mean_delta_vs_nominal,failed_line_mean_delta_vs_nominal,closed_road_mean_delta_vs_nominal
nominal,1,2,1,0,15000,0.999999999999968,3.09807344370801,0,125.205247797508,0,0.00092020202020202,19.0323021859102,0.0862,0.0292666666666667,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,2,2,2,0,15000,0.999999999999968,3.15366082062752,0,121.921283037395,0,0.000846464646464646,19.0324874081666,0.0828666666666667,0.0252,9,0,1,1,1,0,0,0,0,0,0,0,0
nominal,3,2,3,0,15000,0.999999999999968,2.7717680858995,0,93.8275645746393,0,0.000669191919191919,19.0300393161969,0.0702,0.0214666666666667,2,0,1,1,1,0,0,0,0,0,0,0,0
nominal,4,2,4,0,15000,0.999999999999968,2.79378846975607,0,94.383983852931,0,0.000862626262626263,19.0361276459331,0.0838666666666667,0.0274,8,0,1,1,1,0,0,0,0,0,0,0,0
nominal,5,2,5,0,15000,0.999999999999968,1.75353899026266,0,45.8227640945913,0,0.000671717171717172,19.0256426970793,0.0570666666666667,0.0179333333333333,2,0,1,1,1,0,0,0,0,0,0,0,0
nominal,6,2,6,0,15000,0.999999999999968,1.54488176090336,0,22.9277473201869,0,0.000499494949494949,19.0257801754078,0.0477333333333333,0.0147333333333333,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,7,2,7,0,15000,0.999999999999968,1.03757648492122,0,0,0,0.000506060606060606,19.0207145552372,0.0408,0.014,7,0,1,1,1,0,0,0,0,0,0,0,0
nominal,8,3,1,0,15000,0.999999999999968,40.857158443117,291.356408368109,407.522570438863,0,0.00909696969696971,19.2025067093408,0.940933333333333,0.283466666666667,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,9,3,2,0,15000,0.999999999999968,42.6367364009128,307.667130349399,405.313258598587,0,0.0105949494949495,19.2284583167445,1.01846666666667,0.32,8,0,1,1,1,0,0,0,0,0,0,0,0
nominal,10,3,3,0,15000,0.999999999999968,39.6671667166716,273.300057278455,405.313258598587,0,0.0103510101010101,19.1945559400363,0.950666666666667,0.297133333333333,7,0,1,1,1,0,0,0,0,0,0,0,0
nominal,11,3,4,0,15000,0.999999999999968,35.183481984562,243.842566074789,405.313258598587,0,0.00889141414141415,19.2078513343052,0.891733333333333,0.271666666666667,4,0,1,1,1,0,0,0,0,0,0,0,0
nominal,12,3,5,0,15000,0.999999999999968,27.9841802362054,218.803698551673,405.313258598587,0,0.00898787878787879,19.1625558845569,0.753,0.238333333333333,11,0,1,1,1,0,0,0,0,0,0,0,0
nominal,13,3,6,0,15000,0.999999999999968,19.6142159670512,138.327469110547,384.043858931348,0,0.00600555555555556,19.1203302753836,0.5536,0.164266666666667,4,0,1,1,1,0,0,0,0,0,0,0,0
nominal,14,3,7,0,15000,0.999999999999968,12.8517033521534,87.2814554182691,332.215039685787,0,0.00476919191919192,19.0908476821895,0.391733333333333,0.119333333333333,4,0,1,1,1,0,0,0,0,0,0,0,0
nominal,15,4,1,0,15000,0.999999999999968,186.632135940865,532.689632599624,607.969887897881,0,0.0694974747474747,20.2365296607064,4.84853333333333,2.08366666666667,8,0,1,1,1,0,0,0,0,0,0,0,0
nominal,16,4,2,0,15000,0.999999999999968,189.477529571137,532.689632599624,607.969887897881,0,0.0758590909090906,20.2927977247723,5.0098,2.2074,12,0,1,1,1,0,0,0,0,0,0,0,0
nominal,17,4,3,0,15000,0.999999999999968,183.639854894579,532.144123503259,607.969887897881,0,0.0750707070707069,20.2457646134569,5.0078,2.1756,8,0,1,1,1,0,0,0,0,0,0,0,0
nominal,18,4,4,0,15000,0.999999999999968,162.475920319304,497.804325887134,607.969887897881,0,0.0725949494949492,20.1654016646448,4.58113333333333,2.0038,11,0,1,1,1,0,0,0,0,0,0,0,0
nominal,19,4,5,0,15000,0.999999999999968,131.763103583085,427.951886097701,607.969887897881,0,0.0616732323232323,19.9836266722182,3.90793333333333,1.6728,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,20,4,6,0,15000,0.999999999999968,97.5246615570646,405.313258598587,547.418378201456,0,0.0477338383838384,19.8115158331484,3.1036,1.2888,8,0,1,1,1,0,0,0,0,0,0,0,0
nominal,21,4,7,0,15000,0.999999999999968,67.1123475983963,364.945585467638,463.955486457737,0,0.0334833333333334,19.5713193497488,2.2098,0.885666666666667,9,0,1,1,1,0,0,0,0,0,0,0,0
nominal,22,5,1,0,15000,0.999999999999968,377.621780359852,607.969887897881,607.969887897881,0,0.244093939393935,21.2843692107134,10.8763333333333,6.15173333333333,11,0,1,1,1,0,0,0,0,0,0,0,0
nominal,23,5,2,0,15000,0.999999999999968,386.263662729908,607.969887897881,607.969887897881,0,0.261154545454541,21.4352419665024,11.2768,6.4576,10,0,1,1,1,0,0,0,0,0,0,0,0
nominal,24,5,3,0,15000,0.999999999999968,369.3420251116,607.969887897881,607.969887897881,0,0.254530303030299,21.3406745815786,10.9815333333333,6.25633333333333,14,0,1,1,1,0,0,0,0,0,0,0,0
nominal,25,5,4,0,15000,0.999999999999968,343.288928892888,607.969887897881,607.969887897881,0,0.238806060606057,21.2383715439663,10.3122666666667,5.76833333333333,8,0,1,1,1,0,0,0,0,0,0,0,0
nominal,26,5,5,0,15000,0.999999999999968,293.83123766922,607.969887897881,607.969887897881,0,0.204295454545452,20.9355317317873,8.8976,4.83426666666667,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,27,5,6,0,15000,0.999999999999968,234.271936284537,591.086381365409,607.969887897881,0,0.157738383838382,20.5740441689264,7.24613333333333,3.7218,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,28,5,7,0,15000,0.999999999999968,171.819763794561,532.689632599624,607.969887897881,0,0.114530808080807,20.1648517076486,5.493,2.6674,5,0,1,1,1,0,0,0,0,0,0,0,0
nominal,29,6,1,0,15000,0.999999999999968,462.13779559774,607.969887897881,607.969887897881,0,0.365887373737367,21.2561201085341,14.299,9.0014,10,0,1,1,1,0,0,0,0,0,0,0,0
nominal,30,6,2,0,15000,0.999999999999968,470.772004473174,607.969887897881,607.969887897881,0,0.38807373737373,21.3964207525152,14.9122,9.46893333333333,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,31,6,3,0,15000,0.999999999999968,465.028321013919,607.969887897881,607.969887897881,0,0.398006060606053,21.2789293457815,14.8682666666667,9.53546666666667,6,0,1,1,1,0,0,0,0,0,0,0,0
nominal,32,6,4,0,15000,0.999999999999968,433.063197228814,607.969887897881,607.969887897881,0,0.359228787878781,21.1254518876598,13.6416666666667,8.50733333333333,9,0,1,1,1,0,0,0,0,0,0,0,0
nominal,33,6,5,0,15000,0.999999999999968,391.76439462128,607.969887897881,607.969887897881,0,0.307917676767672,21.1326052725067,12.1565333333333,7.3076,10,0,1,1,1,0,0,0,0,0,0,0,0
nominal,34,6,6,0,15000,0.999999999999968,329.421087563301,607.969887897881,607.969887897881,0,0.239662626262623,20.7942534507407,9.917,5.67553333333333,11,0,1,1,1,0,0,0,0,0,0,0,0
