complexity_label,initial_state_id,a0,loc0,lfw0,nominal_D_mean_kg,R,rho,distance_mode,full_status,cg_status,full_objective,cg_objective,objective_abs_error,full_T1,full_T2,full_T3,full_T4,cg_T1,cg_T2,cg_T3,cg_T4,TerminalLOH_max_abs_error,full_lambda,cg_lambda,full_max_constraint_violation,cg_stopping_scan_max_violation,cg_independent_scan_max_violation,full_distance_build_time_sec,full_distance_matrix_bytes,full_modeling_time_sec,full_gurobi_solve_time_sec,full_total_time_sec,cg_distance_context_time_sec,cg_modeling_time_sec,cg_gurobi_solve_time_sec,cg_separation_time_sec,cg_independent_scan_time_sec,cg_total_time_sec,cg_iterations,cg_final_active_constraints,cg_active_ratio_R2,distance_scale_max_abs_error,status_ok,objective_ok,TerminalLOH_ok,independent_scan_ok,distance_scale_ok,case_pass
simple,7,2,7,0,1.03757648492122,100,0,DAC_maskedC,OPTIMAL,OPTIMAL,252.433346571027,252.433346571027,0,19.6383274691105,39.5494094864032,8.18263644546273,54.5509096364182,19.6383274691105,39.5494094864032,8.18263644546273,54.5509096364182,0,1145.43739950638,1145.43739950638,0,0,0,0.0867998,80000,0.1238496,0.0395019,0.1633515,0.0099401,0.1474615,0.0417431,0.0307641,0.0184921,0.2949806,2,199,0.0199,1.13686837721616e-13,1,1,1,1,1,1
simple,7,2,7,0,1.03757648492122,100,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,275.342094561154,275.342094561154,0,19.6383274691105,39.5494094864032,8.18263644546273,54.5509096364182,19.6383274691105,39.5494094864032,8.18263644546273,54.5509096364182,0,1145.43739950638,1145.43739950638,0,1.13686837721616e-13,1.13686837721616e-13,0.0867998,80000,0.0554957,0.0215222,0.0770179,0.0059239,0.0575945,0.0479975,0.0174654,0.0098687,0.1604472,2,199,0.0199,1.13686837721616e-13,1,1,1,1,1,1
simple,7,2,7,0,1.03757648492122,250,0,DAC_maskedC,OPTIMAL,OPTIMAL,645.457994977948,645.457994977948,0,80.1898371655347,49.3685732209585,32.1850366854867,19.6383274691105,80.1898371655347,49.3685732209585,32.1850366854867,19.6383274691105,0,408645.628886363,408645.628886363,0,0,0,0.363119,500000,0.3256249,0.1466582,0.4722831,0.045635,0.2105947,0.1146153,0.0772907,0.0474806,0.539084,2,499,0.007984,0,1,1,1,1,1,1
simple,7,2,7,0,1.03757648492122,250,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,8818.37057270522,8818.37057270522,0,80.1898371655347,49.3685732209585,32.1850366854867,19.6383274691105,80.1898371655347,49.3685732209585,32.1850366854867,19.6383274691105,1.4210854715202e-14,408645.628886363,408645.628886363,0,0,0,0.363119,500000,0.268222,0.1044391,0.3726611,0.0352412,0.1817058,0.0917565,0.0872054,0.0387804,0.4442015,2,499,0.007984,0,1,1,1,1,1,1
simple,7,2,7,0,1.03757648492122,500,0,DAC_maskedC,OPTIMAL,OPTIMAL,632.305305715473,632.305305715473,0,65.4610915637018,51.5506096064152,44.7317459018629,82.0991190028094,65.4610915637018,51.5506096064152,44.7317459018629,82.0991190028094,0,514100.250163188,514100.250163188,0,0,0,0.7780102,2000000,0.4854633,0.2571413,0.7426046,0.115247,0.2833777,0.2245342,0.2899398,0.1701878,1.1077217,2,999,0.003996,0,1,1,1,1,1,1
simple,7,2,7,0,1.03757648492122,500,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,10914.3103089792,10914.3103089792,0,65.4610915637018,51.5506096064152,44.7317459018629,82.0991190028093,65.4610915637018,51.5506096064152,44.7317459018629,82.0991190028094,1.4210854715202e-14,514100.250163188,514100.250163188,0,0,0,0.7780102,2000000,0.7382829,0.4010598,1.1393427,0.1340607,0.2575446,0.2415465,0.2991585,0.1957256,1.138095,2,999,0.003996,0,1,1,1,1,1,1
simple,7,2,7,0,1.03757648492122,1000,0,DAC_maskedC,OPTIMAL,OPTIMAL,885.49902316988,885.499023169881,2.27373675443232e-13,65.4610915637018,50.7323459618689,45.5500095464092,87.2814554182691,65.4610915637018,50.7323459618689,45.5500095464092,87.2814554182691,1.4210854715202e-14,839913.916501337,839913.916501337,0,0,0,4.4792688,8000000,2.3124609,1.3872236,3.6996845,0.5469579,0.5623959,0.5069507,0.9895129,0.6538792,3.2666639,2,1999,0.001999,0,1,1,1,1,1,1
simple,7,2,7,0,1.03757648492122,1000,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,15283.237445966,15283.237445966,0,65.4610915637018,50.7323459618689,61.4545863568702,93.8275645746393,65.4610915637018,50.7323459618689,61.4545863568701,93.8275645746393,1.4210854715202e-14,719877.696101487,719877.696101487,1.20508047984913e-11,1.22781784739345e-11,1.22781784739345e-11,4.4792688,8000000,2.0241604,1.3830781,3.4072385,0.5825595,0.5216338,0.557639,1.6607539,0.7347249,4.1096013,3,2993,0.002993,0,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,100,0,DAC_maskedC,OPTIMAL,OPTIMAL,16999.5959275406,16999.5959275406,0,240,160,80,120,240,160,80,120,0,3914528.21038614,3914528.21038614,0,0,0,0.0355596,80000,0.0603981,0.0360827,0.0964808,0.0039264,0.0294172,0.0568311,0.0093851,0.0068389,0.1091816,2,199,0.0199,2.27373675443232e-13,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,100,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,57006.5059226991,57006.5059226991,0,240,160,80,120,240,160,80,120,0,1680546.31165315,1680546.31165315,0,0,0,0.0355596,80000,0.0581704,0.1410698,0.1992402,0.0044797,0.0390104,0.0685746,0.0089797,0.0059237,0.1296537,2,199,0.0199,2.27373675443232e-13,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,250,0,DAC_maskedC,OPTIMAL,OPTIMAL,16804.1110595103,16804.1110595103,0,240,160,80,120,240,160,80,120,0,3925920.55716063,3925920.55716063,0,0,0,0.1651977,500000,0.1812018,0.1079665,0.2891683,0.0261539,0.0940742,0.1826589,0.0895714,0.0367105,0.4367687,3,505,0.00808,0,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,250,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,60691.112249064,60691.112249064,7.27595761418343e-12,240,110.820813127157,80,120,240,110.820813127157,80,120,9.9475983006414e-14,1738032.13712757,1738032.13712757,5.82076609134674e-11,5.82076609134674e-11,5.82076609134674e-11,0.1651977,500000,0.1997397,2.7147063,2.914446,0.0270469,0.0962261,0.2294226,0.087277,0.0369409,0.4868531,3,533,0.008528,0,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,500,0,DAC_maskedC,OPTIMAL,OPTIMAL,22795.659954523,22795.659954523,0,240,160,80,120,240,160,80,120,0,3925920.55716063,3925920.55716063,0,0,0,0.6722482,2000000,0.6842606,0.5095742,1.1938348,0.1627908,0.2565816,0.4444265,0.3754538,0.2131453,1.4587301,3,1001,0.004004,0,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,500,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,68160.7771669485,68160.7771669485,0,240,123.024302430243,80,120,240,123.024302430243,80,120,1.4210854715202e-14,1864423.91291858,1864423.91291858,1.16415321826935e-10,1.16415321826935e-10,1.16415321826935e-10,0.6722482,2000000,0.7494219,9.0768808,9.8263027,0.1056102,0.2126673,0.9192181,0.4679713,0.1513237,1.8782364,4,1051,0.004204,0,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,1000,0,DAC_maskedC,OPTIMAL,OPTIMAL,18983.0744916202,18983.0744916202,0,240,160,80,120,240,160,80,120,0,5627794.16530946,5627794.16530946,4.54747350886464e-13,0,0,3.0892535,8000000,2.5801405,1.708679,4.2888195,0.5392687,0.5743349,0.9641553,1.673396,0.730867,4.491278,3,2007,0.002007,0,1,1,1,1,1,1
medium,18,4,4,0,162.475920319304,1000,0.02,DAC_maskedC,OPTIMAL,OPTIMAL,67252.9050257328,67252.9050257328,1.45519152283669e-11,240,123.024302430243,80,120,240,123.024302430243,80,120,2.8421709430404e-14,1864947.09372001,1864947.09372001,1.16415321826935e-10,5.82076609134674e-11,5.82076609134674e-11,3.0892535,8000000,2.9198136,43.666248,46.5860616,0.4614561,0.4221966,2.2314679,2.0861701,0.6985149,5.9160157,4,2131,0.002131,0,1,1,1,1,1,1
complex,30,6,2,0,470.772004473174,100,0,DAC_maskedC,OPTIMAL,OPTIMAL,205847.037146538,205847.037146538,0,240,160,80,120,240,160,80,120,0,8958203.9720875,8958203.9720875,0,0,0,0.0390942,80000,0.0736488,0.0370484,0.1106972,0.0047346,0.0336455,0.0760796,0.0091112,0.0065202,0.1322679,2,199,0.0199,2.27373675443232e-13,1,1,1,1,1,1
