complexity_label,initial_state_id,a0,loc0,lfw0,R,rho,iteration,active_constraints_before,active_constraints_after,objective_value,solve_status,modeling_time_sec,solve_time_sec,separation_time_sec,max_violation,violated_r_count,constraints_added,converged
simple,7,2,7,0,100,0,1,100,199,252.433346571027,OPTIMAL,0.0223378,0.0226688,0.0213645,859.078049623756,99,99,0
simple,7,2,7,0,100,0,2,199,199,252.433346571027,OPTIMAL,0.0079137,0.0190743,0.0093996,0,0,0,1
simple,7,2,7,0,100,0.02,1,100,199,252.433346571027,OPTIMAL,0.003786,0.0221446,0.0086857,859.078049623756,99,99,0
simple,7,2,7,0,100,0.02,2,199,199,275.342094561154,OPTIMAL,0.0072106,0.0258529,0.0087797,1.13686837721616e-13,0,0,1
simple,7,2,7,0,250,0,1,250,499,645.457994977948,OPTIMAL,0.0132414,0.0515461,0.0424103,45936.7545879684,249,249,0
simple,7,2,7,0,250,0,2,499,499,645.457994977948,OPTIMAL,0.0203234,0.0630692,0.0348804,0,0,0,1
simple,7,2,7,0,250,0.02,1,250,499,645.457994977948,OPTIMAL,0.0063418,0.0526715,0.0611702,45936.7545879684,249,249,0
simple,7,2,7,0,250,0.02,2,499,499,8818.37057270522,OPTIMAL,0.0088191,0.039085,0.0260352,0,0,0,1
simple,7,2,7,0,500,0,1,500,999,632.305305715473,OPTIMAL,0.0155528,0.0999243,0.1351871,45936.7545879684,499,499,0
simple,7,2,7,0,500,0,2,999,999,632.305305715473,OPTIMAL,0.0249769,0.1246099,0.1547527,0,0,0,1
simple,7,2,7,0,500,0.02,1,500,999,632.305305715473,OPTIMAL,0.0084695,0.0856427,0.1503154,45936.7545879684,499,499,0
simple,7,2,7,0,500,0.02,2,999,999,10914.3103089792,OPTIMAL,0.0268949,0.1559038,0.1488431,0,0,0,1
simple,7,2,7,0,1000,0,1,1000,1999,885.49902316988,OPTIMAL,0.0236332,0.2984484,0.4484776,313518.081773511,999,999,0
simple,7,2,7,0,1000,0,2,1999,1999,885.499023169881,OPTIMAL,0.0284682,0.2085023,0.5410353,0,0,0,1
simple,7,2,7,0,1000,0.02,1,1000,1999,885.49902316988,OPTIMAL,0.0139995,0.1756724,0.582699,313518.081773511,999,999,0
simple,7,2,7,0,1000,0.02,2,1999,2993,4821.01845397181,OPTIMAL,0.0328557,0.2016524,0.562909,33845.671201293,994,994,0
simple,7,2,7,0,1000,0.02,3,2993,2993,15283.237445966,OPTIMAL,0.0390163,0.1803142,0.5151459,1.22781784739345e-11,0,0,1
medium,18,4,4,0,100,0,1,100,199,16999.5959275406,OPTIMAL,0.0015118,0.028908,0.0041069,497744.095596281,99,99,0
medium,18,4,4,0,100,0,2,199,199,16999.5959275406,OPTIMAL,0.0019862,0.0279231,0.0052782,0,0,0,1
medium,18,4,4,0,100,0.02,1,100,199,16999.5959275406,OPTIMAL,0.0015938,0.0342245,0.0044606,497744.095596281,99,99,0
medium,18,4,4,0,100,0.02,2,199,199,57006.5059226991,OPTIMAL,0.0025986,0.0343501,0.0045191,0,0,0,1
medium,18,4,4,0,250,0,1,250,499,16804.1110595103,OPTIMAL,0.0050852,0.0530574,0.0279871,608678.236947988,249,249,0
medium,18,4,4,0,250,0,2,499,505,16804.1110595103,OPTIMAL,0.0066837,0.0590074,0.0317557,158629.969740344,6,6,0
medium,18,4,4,0,250,0,3,505,505,16804.1110595103,OPTIMAL,0.0083589,0.0705941,0.0298286,0,0,0,1
medium,18,4,4,0,250,0.02,1,250,499,16804.1110595103,OPTIMAL,0.0031982,0.058078,0.0296254,608678.236947988,249,249,0
medium,18,4,4,0,250,0.02,2,499,533,52406.0476652821,OPTIMAL,0.0104809,0.0806222,0.0272393,196104.013899254,34,34,0
medium,18,4,4,0,250,0.02,3,533,533,60691.112249064,OPTIMAL,0.0083131,0.0907224,0.0304123,5.82076609134674e-11,0,0,1
medium,18,4,4,0,500,0,1,500,999,22795.659954523,OPTIMAL,0.0093265,0.1284996,0.1248543,618346.653236283,499,499,0
medium,18,4,4,0,500,0,2,999,1001,22795.659954523,OPTIMAL,0.0343521,0.1709119,0.1199938,27742.0154380264,2,2,0
medium,18,4,4,0,500,0,3,1001,1001,22795.659954523,OPTIMAL,0.0369633,0.145015,0.1306057,0,0,0,1
medium,18,4,4,0,500,0.02,1,500,999,22795.659954523,OPTIMAL,0.0069276,0.118096,0.1130155,618346.653236283,499,499,0
medium,18,4,4,0,500,0.02,2,999,1050,63375.4081384799,OPTIMAL,0.0239253,0.2245206,0.1199996,123625.114771283,51,51,0
medium,18,4,4,0,500,0.02,3,1050,1051,68158.9901623663,OPTIMAL,0.0165881,0.3255307,0.1106325,893.502291121345,1,1,0
medium,18,4,4,0,500,0.02,4,1051,1051,68160.7771669485,OPTIMAL,0.0144179,0.2510708,0.1243237,1.16415321826935e-10,0,0,1
medium,18,4,4,0,1000,0,1,1000,1999,18983.0744916202,OPTIMAL,0.0163602,0.2953171,0.5662367,618346.653236283,999,999,0
medium,18,4,4,0,1000,0,2,1999,2007,18983.0744916202,OPTIMAL,0.0445088,0.3560696,0.570084,122473.654687511,8,8,0
medium,18,4,4,0,1000,0,3,2007,2007,18983.0744916202,OPTIMAL,0.0351312,0.3127686,0.5370753,0,0,0,1
medium,18,4,4,0,1000,0.02,1,1000,1999,18983.0744916202,OPTIMAL,0.013254,0.2545258,0.4724274,618346.653236283,999,999,0
medium,18,4,4,0,1000,0.02,2,1999,2126,61331.1528226074,OPTIMAL,0.0512727,0.7177704,0.5647172,129685.749106992,127,127,0
medium,18,4,4,0,1000,0.02,3,2126,2131,67245.6221170728,OPTIMAL,0.0429807,0.573481,0.5340271,2070.24727640865,5,5,0
medium,18,4,4,0,1000,0.02,4,2131,2131,67252.9050257328,OPTIMAL,0.0306873,0.6856907,0.5149984,5.82076609134674e-11,0,0,1
complex,30,6,2,0,100,0,1,100,199,205847.037146538,OPTIMAL,0.0019448,0.0424557,0.0048257,763565.167613862,99,99,0
complex,30,6,2,0,100,0,2,199,199,205847.037146538,OPTIMAL,0.0022653,0.0336239,0.0042855,0,0,0,1
complex,30,6,2,0,100,0.02,1,100,199,205847.037146538,OPTIMAL,0.0018284,0.0428369,0.0044772,763565.167613862,99,99,0
complex,30,6,2,0,100,0.02,2,199,223,293734.037851172,OPTIMAL,0.0025009,0.0480492,0.0045674,252123.331375553,24,24,0
complex,30,6,2,0,100,0.02,3,223,223,308800.660172383,OPTIMAL,0.0039752,0.0512117,0.0049741,0,0,0,1
complex,30,6,2,0,250,0,1,250,499,210285.057782554,OPTIMAL,0.0044357,0.0624365,0.0318945,875686.250354651,249,249,0
complex,30,6,2,0,250,0,2,499,499,210285.057782554,OPTIMAL,0.0157575,0.0771334,0.028556,0,0,0,1
complex,30,6,2,0,250,0.02,1,250,499,210285.057782554,OPTIMAL,0.0091168,0.0987689,0.0283556,875686.250354651,249,249,0
complex,30,6,2,0,250,0.02,2,499,517,340400.335527828,OPTIMAL,0.0060737,0.1317793,0.0289909,231736.493836404,18,18,0
complex,30,6,2,0,250,0.02,3,517,517,347045.217752117,OPTIMAL,0.0064806,0.1530484,0.0360718,1.16415321826935e-10,0,0,1
complex,30,6,2,0,500,0,1,500,999,194847.539093835,OPTIMAL,0.0074125,0.1650195,0.1109523,875686.250354651,499,499,0
complex,30,6,2,0,500,0,2,999,999,194847.539093835,OPTIMAL,0.0147052,0.2011216,0.1032809,0,0,0,1
complex,30,6,2,0,500,0.02,1,500,999,194847.539093835,OPTIMAL,0.0077282,0.1392822,0.108762,875686.250354651,499,499,0
complex,30,6,2,0,500,0.02,2,999,1086,322989.566585181,OPTIMAL,0.0254479,0.4097774,0.1289553,240914.035935567,87,87,0
complex,30,6,2,0,500,0.02,3,1086,1086,331079.834562187,OPTIMAL,0.0339202,0.4003579,0.1136399,1.16415321826935e-10,0,0,1
complex,30,6,2,0,1000,0,1,1000,1999,190357.646482832,OPTIMAL,0.012998,0.3288056,0.5397046,920305.904537064,999,999,0
complex,30,6,2,0,1000,0,2,1999,2013,190357.646482832,OPTIMAL,0.0679093,0.466607,0.5490677,116349.00030186,14,14,0
complex,30,6,2,0,1000,0,3,2013,2013,190357.646482832,OPTIMAL,0.0802898,0.4207562,0.5343579,0,0,0,1
complex,30,6,2,0,1000,0.02,1,1000,1999,190357.646482832,OPTIMAL,0.0153612,0.3470771,0.5408059,920305.904537064,999,999,0
complex,30,6,2,0,1000,0.02,2,1999,2197,321047.285220734,OPTIMAL,0.0267528,1.0696729,0.5690908,203771.533801433,198,198,0
