complexity_label,initial_state_id,a0,loc0,lfw0,R,rho,full_reference_gate,full_status,cg_status,cg_exitflag,cg_T1,cg_T2,cg_T3,cg_T4,cg_objective,cg_lambda,cg_iterations,initial_active_constraints,cg_final_active_constraints,cg_active_ratio_R2,cg_modeling_time_sec,cg_gurobi_time_sec,cg_separation_time_sec,cg_independent_scan_time_sec,cg_total_time_sec,cg_observed_peak_memused_mb,full_observed_peak_memused_mb,full_T1,full_T2,full_T3,full_T4,full_objective,full_modeling_time_sec,full_gurobi_time_sec,full_total_time_sec,full_distance_matrix_bytes,full_distance_build_time_sec,full_max_constraint_violation,full_vs_cg_objective_abs_error,full_vs_cg_TerminalLOH_max_abs_error,cg_independent_scan_max_violation,R1000_regression_objective_abs_error,R1000_regression_TerminalLOH_max_abs_error,target_pass,R1000_regression_pass,full_direct_comparison_pass,case_pass,estimated_full_variables,estimated_full_constraints,estimated_full_nonzeros,estimated_full_peak_memory_mb,available_memory_mb,full_reference_safe_by_estimate,full_reference_still_available,active_ratio_duplicate_check,cg_stopping_scan_max_violation,cg_independent_violated_r_count
simple,7,2,7,0,1000,0,FULL_R2_REFERENCE_ATTEMPTED,NOT_RUN,OPTIMAL,1,65.4610915637018,50.7323459618689,45.5500095464092,87.2814554182691,885.49902316988,839913.916501336,2,1000,1999,0.001999,0.5099164,0.495965,1.1239206,0.6403636,3.3660048,1943.66796875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.6843418860808e-13,1.4210854715202e-14,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.001999,0,0
simple,7,2,7,0,1000,0.02,FULL_R2_REFERENCE_ATTEMPTED,NOT_RUN,OPTIMAL,1,65.4610915637018,50.7323459618689,61.4545863568701,93.8275645746393,15283.237445966,719877.696101487,3,1000,2993,0.002993,0.5637961,0.7033316,1.5093261,0.6108009,3.9265853,1949.99609375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.22781784739345e-11,4.00177668780088e-11,3.5527136788005e-14,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.002993,1.22781784739345e-11,0
simple,7,2,7,0,2000,0,FULL_R2_REFERENCE_ATTEMPTED,OPTIMAL,OPTIMAL,1,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,767.392773688212,952492.888528894,2,2000,3999,0.00099975,0.9007475,0.8131674,4.6628824,2.569937,11.4452986,1982.50390625,2080.484375,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,767.392773688212,7.0868446,5.6070571,12.6939017,32000000,12.5576979,2.5465851649642e-11,1.13686837721616e-13,1.4210854715202e-14,2.5465851649642e-11,NaN,NaN,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.00099975,2.5465851649642e-11,0
simple,7,2,7,0,2000,0.02,FULL_R2_REFERENCE_ATTEMPTED,OPTIMAL,OPTIMAL,1,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,16840.813159309,803661.659218398,3,2000,5989,0.00149725,0.9963666,1.3112158,7.6913761,3.1682367,15.8743485,2080.484375,2082.16796875,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,16840.813159309,6.8843915,7.4774595,14.361851,32000000,12.5576979,2.5465851649642e-11,0,1.4210854715202e-14,2.5465851649642e-11,NaN,NaN,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.00149725,2.5465851649642e-11,0
medium,18,4,4,0,1000,0,FULL_R2_REFERENCE_ATTEMPTED,NOT_RUN,OPTIMAL,1,240,160,80,120,18983.0744916202,5627794.16530946,3,1000,2007,0.002007,0.5193012,1.1823463,1.9991148,0.8803497,5.2029402,2084.0234375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.36557456851006e-11,0,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.002007,0,0
medium,18,4,4,0,1000,0.02,FULL_R2_REFERENCE_ATTEMPTED,NOT_RUN,OPTIMAL,1,240,123.024302430243,80,120,67252.9050257328,1864947.09372001,4,1000,2131,0.002131,0.5267786,2.5046207,2.3845664,0.6841645,6.7029996,2091.6796875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.82076609134674e-11,1.45519152283669e-11,1.4210854715202e-14,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.002131,5.82076609134674e-11,0
medium,18,4,4,0,2000,0,FULL_R2_REFERENCE_ATTEMPTED,OPTIMAL,OPTIMAL,1,240,160,80,120,19751.6220658457,7756972.28001401,3,2000,4001,0.00100025,0.979288,2.123506,7.0992749,3.1607632,15.9141347,2124.21484375,2115.71484375,240,160,80,120,19751.6220658457,12.1374532,9.8393878,21.976841,32000000,11.9865097,3.18323145620525e-12,0,0,0,NaN,NaN,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.00100025,0,0
medium,18,4,4,0,2000,0.02,FULL_R2_REFERENCE_ATTEMPTED,OPTIMAL,OPTIMAL,1,204.234292192948,112.088995684526,69.8001816169686,119.777352987907,77239.3357246591,2157236.7337517,4,2000,4174,0.0010435,1.6030542,7.6116695,10.644347,3.326813,25.9306339,2115.71484375,2112.6328125,204.234292192948,112.088995684526,69.8001816169576,119.777352987909,77239.3357246591,11.6201235,296.1250231,307.7451466,32000000,11.9865097,2.27373675443232e-13,1.45519152283669e-11,1.09992015495664e-11,5.82076609134674e-11,NaN,NaN,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.0010435,5.82076609134674e-11,0
complex,30,6,2,0,1000,0,FULL_R2_REFERENCE_ATTEMPTED,NOT_RUN,OPTIMAL,1,240,160,80,120,190357.646482832,34298702.1676023,3,1000,2013,0.002013,0.4688557,1.2704228,1.6389344,0.7022977,4.5430964,2108.609375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1.74622982740402e-10,0,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.002013,0,0
complex,30,6,2,0,1000,0.02,FULL_R2_REFERENCE_ATTEMPTED,NOT_RUN,OPTIMAL,1,240,160,80,120,330907.110410959,4720409.25511323,4,1000,2199,0.002199,0.6113008,3.9960272,2.4407145,0.68939,8.3465288,2139.2109375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.16415321826935e-10,2.3283064365387e-10,0,1,1,1,1,334005,4076000,13262000,1304.51930236816,12076.984375,1,1,0.002199,1.16415321826935e-10,0
