complexity_label,initial_state_id,a0,loc0,lfw0,R,rho,total_objective,terminal_cost,lambda_rho_cost,alpha_mean_cost,robust_dual_loss,mean_service_cost,mean_shortage_penalty,mean_scenario_loss,other_objective_cost,objective_reconstruction_abs_error,T1,T2,T3,T4,T_total,lambda,lower_bound_site1,lower_bound_site2,lower_bound_site3,lower_bound_site4,upper_bound_site1,upper_bound_site2,upper_bound_site3,upper_bound_site4,upper_bound_count,capacity_margin_min_kg,max_independent_violation,iterations,final_active_constraints,step3n_objective_abs_error,step3n_TerminalLOH_max_abs_error,objective_change_from_previous,T_max_change_from_previous,objective_nondecreasing
medium,18,4,4,0,2000,0,19751.6220658457,1200,0,18551.6220658457,18551.6220658457,1042.58025257345,17509.0418132722,18551.6220658457,0,0,240,160,80,120,600,7756972.28001401,0,0,0,0,1,1,1,1,4,0,0,3,4001,1.81898940354586e-11,0,NaN,NaN,1
medium,18,4,4,0,2000,0.001,25004.3768054658,1200,4309.28631862982,19495.090486836,23804.3768054658,1068.14714806904,18059.900347684,19495.090486836,3.63797880709171e-12,0,240,160,80,120,600,4309286.31862982,0,0,0,0,1,1,1,1,4,0,1.16415321826935e-10,3,4050,NaN,NaN,5252.75473962013,0,1
medium,18,4,4,0,2000,0.005,39327.5725669197,1200,15591.8468756032,22535.7256913165,38127.5725669197,1129.4877115975,20201.2420899276,22535.7256913165,3.63797880709171e-12,0,240,160,80,120,600,3118369.37512064,0,0,0,0,1,1,1,1,4,0,5.82076609134674e-11,4,4102,NaN,NaN,14323.1957614539,0,1
medium,18,4,4,0,2000,0.01,53623.9338852193,1143.5345162231,26386.3282363606,26094.0711326356,52480.3993689962,1127.22728212101,23541.9707683134,26094.0711326356,-1.09139364212751e-11,0,225.995083345213,145.772174766339,80,120,571.767258111552,2638632.82363606,0,0,0,0,0,0,1,1,2,0,1.16415321826935e-10,4,4124,NaN,NaN,14296.3613182996,14.2278252336614,1
medium,18,4,4,0,2000,0.02,77239.3357246591,1011.8016449647,43144.734675034,33082.7994046604,76227.5340796944,1088.44253566049,31263.8294987535,33082.7994046604,-5.0931703299284e-11,0,204.234292192948,112.088995684526,69.8001816169686,119.777352987907,505.900822482349,2157236.7337517,0,0,0,0,0,0,0,0,0,0.222647012093063,5.82076609134674e-11,4,4174,4.36557456851006e-11,4.68958205601666e-13,23615.4018394398,33.6831790818131,1
complex,30,6,2,0,2000,0,186610.352916509,1200,0,185410.352916509,185410.352916509,3132.66369304073,182277.689223467,185410.352916509,0,0,240,160,80,120,600,34577853.6055292,0,0,0,0,1,1,1,1,4,0,0,3,4038,5.23868948221207e-10,0,NaN,NaN,1
complex,30,6,2,0,2000,0.001,203003.19544214,1200,12878.6919821512,188924.503459989,201803.19544214,3125.11498547324,184099.431322891,188924.503459989,5.82076609134674e-11,0,240,160,80,120,600,12878691.9821512,0,0,0,0,1,1,1,1,4,0,0,4,4148,NaN,NaN,16392.8425256319,0,1
complex,30,6,2,0,2000,0.005,240565.46168062,1200,38520.1945508226,200845.267129797,239365.46168062,3152.6767967407,190986.875429025,200845.267129797,-5.82076609134674e-11,0,240,160,80,120,600,7704038.91016451,0,0,0,0,1,1,1,1,4,0,1.16415321826935e-10,4,4277,NaN,NaN,37562.2662384794,0,1
complex,30,6,2,0,2000,0.01,275051.169702192,1200,63397.5950032821,210453.57469891,273851.169702193,3137.24333591366,197184.190292418,210453.57469891,-1.16415321826935e-10,0,240,160,80,120,600,6339759.50032821,0,0,0,0,1,1,1,1,4,0,1.16415321826935e-10,4,4410,NaN,NaN,34485.7080215726,0,1
complex,30,6,2,0,2000,0.02,330021.692887522,1200,98758.8635803979,230062.829307124,328821.692887522,3182.66853324506,211014.914802587,230062.829307124,-5.82076609134674e-11,0,240,160,80,120,600,4937943.17901989,0,0,0,0,1,1,1,1,4,0,1.16415321826935e-10,4,4568,8.73114913702011e-10,0,54970.5231853297,0,1
