complexity_label,initial_state_id,pair_category,source_scenario_index,destination_scenario_index,transport_cost,baseline_loss_source,baseline_loss_destination,absolute_loss_difference,probability_mass_transferred,baseline_T1,baseline_T2,baseline_T3,baseline_T4,shifted_T1,shifted_T2,shifted_T3,shifted_T4,TerminalLOH_max_abs_change,TerminalLOH_total_change,baseline_objective,shifted_objective,objective_change,baseline_worst_loss,shifted_worst_loss,worst_loss_change,source_to_destination_active_constraint,source_to_destination_constraint_slack,max_independent_violation
simple,7,near,1783,1297,0.191614642400663,0,84.6063627341755,84.6063627341755,0.00025,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,0,0,4967.38064444712,4967.4017960378,0.0211515906830755,264811.765354087,264811.765354087,0,0,-40152.5588093394,2.5465851649642e-11
simple,7,middle,1902,1513,0.853508905647019,0,727.926670888978,727.926670888978,0.00025,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,0,0,4967.38064444712,4967.56262611484,0.181981667721629,264811.765354087,264811.765354087,0,0,-178500.436997398,2.5465851649642e-11
simple,7,far,1583,508,2.59629924750707,0,264811.765354087,264811.765354087,0.00025,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,111.283855658293,50.7323459618689,66.5521097564302,93.8275645746393,22.9113820472956,48.8431538317401,4967.38064444712,5010.02085970619,42.640215259079,264811.765354087,167911.279692665,-96900.485661422,1,-377285.68620325,0
simple,7,small_distance_large_loss,1363,224,0.218756832539726,0,45936.7545879684,45936.7545879684,0.00025,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,0,0,4967.38064444712,4978.86483309411,11.4841886469912,264811.765354087,264811.765354087,0,1,0,2.5465851649642e-11
medium,18,near,1732,327,1.67401349927978e-05,61.3697733409705,61.4093199091208,0.0395465681502998,0.00025,254.918535994251,153.833565174699,92.7365463819109,150,254.918535994251,153.833565174699,92.7365463819109,150,2.8421709430404e-14,0,40102.4047888813,40102.4047987679,9.88663668977097e-06,820593.853831067,820593.853831067,0,0,-13.9304921132504,0
medium,18,middle,304,1819,0.998890423656282,1813.70063531287,203196.446777069,201382.746141757,0.00025,254.918535994251,153.833565174699,92.7365463819109,150,254.9185359943,153.833565174699,92.7365463819109,150,4.93685092806118e-11,4.9453774408903e-11,40102.4047888813,40158.4281981682,56.0234092869214,820593.853831067,820593.853831067,0,0,-609504.052653846,0
medium,18,far,1058,476,3.15869721939676,0,578991.24946499,578991.24946499,0.00025,254.918535994251,153.833565174699,92.7365463819109,150,254.918535994252,153.833565174699,92.7365463819109,150,9.9475983006414e-13,1.02318153949454e-12,40102.4047888813,40272.2775682809,169.8727793996,820593.853831067,820593.853831067,0,0,-1956516.43889922,4.54747350886464e-13
medium,18,small_distance_large_loss,1631,1121,0.0455863679856335,2638.53402873112,94634.9194277664,91996.3853990353,0.00025,254.918535994251,153.833565174699,92.7365463819109,150,254.918535994251,153.833565174699,92.7365463819109,150,2.8421709430404e-14,0,40102.4047888813,40111.9155145173,9.51072563599155,820593.853831067,820593.853831067,0,1,0,0
complex,30,near,625,1784,3.10054751123371e-05,0,0,0,0.00025,300,200,100,150,300,200,100,150,0,0,227017.760047415,227017.760047415,0,920305.904537064,920305.904537064,0,0,-74.7789507532489,1.16415321826935e-10
complex,30,middle,909,1338,0.999852054524738,1569.89221749162,1933.62959894808,363.737381456461,0.00025,300,200,100,150,300,200,100,150,0,0,227017.760047415,227017.850981761,0.0909343453531619,920305.904537064,920305.904537064,0,0,-2411077.70239477,1.16415321826935e-10
complex,30,far,42,599,2.93349095822241,0,754929.200685153,754929.200685153,0.00025,300,200,100,150,300,200,100,150,0,0,227017.760047415,227222.802416157,205.042368741328,920305.904537064,920305.904537064,0,0,-6254818.89741833,1.16415321826935e-10
complex,30,small_distance_large_loss,649,975,0.12219021674293,261603.879726755,892211.789394935,630607.90966818,0.00025,300,200,100,150,300,200,100,150,0,0,227017.760047415,227084.786077576,67.026030160574,920305.904537064,920305.904537064,0,0,-26573.0975622408,1.16415321826935e-10
