T_library_id,source_type,source_labels,initial_state_id,scenario_index,path_id,rho,distance_label,T1,T2,T3,T4,source_record_count
1,CAPACITY_FRACTION,fraction_0;simple_T_total_rank_1;simple_T_total_rank_501;simple_T_total_rank_1001;simple_T_total_rank_1500;simple_T1_rank_1;simple_T2_rank_1;simple_T3_rank_1;simple_T4_rank_1;medium_T_total_rank_1;medium_T_total_rank_501;medium_T1_rank_1;medium_T3_rank_1;medium_T4_rank_1;complex_T_total_rank_1;complex_T1_rank_1;complex_T2_rank_1;complex_T3_rank_1,0,0,0,NaN,not_applicable,0,0,0,0,18
2,CAPACITY_FRACTION,fraction_0.25,0,0,0,NaN,not_applicable,75,50,25,37.5,1
3,CAPACITY_FRACTION,fraction_0.5,0,0,0,NaN,not_applicable,150,100,50,75,1
4,CAPACITY_FRACTION,fraction_0.75,0,0,0,NaN,not_applicable,225,150,75,112.5,1
5,CAPACITY_FRACTION,fraction_1;medium_old_D_A_maskedC_rho_0;medium_new_Ctilde_k1p0_rho_0;complex_old_D_A_maskedC_rho_0;complex_old_D_A_maskedC_rho_0.02;complex_new_Ctilde_k1p0_rho_0;complex_new_Ctilde_k1p0_rho_0.02,0,0,0,NaN,not_applicable,300,200,100,150,7
6,STEP03Q_WDRO,simple_old_D_A_maskedC_rho_0;simple_new_Ctilde_k1p0_rho_0,7,0,0,0,old_D_A_maskedC,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,2
7,STEP03Q_WDRO,simple_old_D_A_maskedC_rho_0.02,7,0,0,0.02,old_D_A_maskedC,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,1
8,STEP03Q_WDRO,simple_new_Ctilde_k1p0_rho_0.02,7,0,0,0.02,new_Ctilde_k1p0,69.6815647739457,50.7323459618689,66.5521097564302,93.8275645746393,1
9,STEP03Q_WDRO,medium_old_D_A_maskedC_rho_0.02,18,0,0,0.02,old_D_A_maskedC,204.234292192948,112.088995684526,69.8001816169577,119.777352987909,1
10,STEP03Q_WDRO,medium_new_Ctilde_k1p0_rho_0.02,18,0,0,0.02,new_Ctilde_k1p0,218.040459872169,123.90146941348,86.1752370538934,140.333190017697,1
11,T_SINGLE_REPRESENTATIVE,simple_T_total_rank_2000;simple_T3_rank_2000,7,508,508,NaN,not_applicable,108.010801113904,50.7323459618689,86.1904371917447,93.8275645746393,2
12,T_SINGLE_REPRESENTATIVE,simple_T1_rank_2000,7,1157,1157,NaN,not_applicable,111.283855658293,32.730545818348,84.5539098999511,93.8275645746393,1
13,T_SINGLE_REPRESENTATIVE,simple_T2_rank_2000,7,424,424,NaN,not_applicable,39.2766549382211,50.7323460064403,66.5521097118588,87.2814554182691,1
14,T_SINGLE_REPRESENTATIVE,simple_T4_rank_2000,7,755,755,NaN,not_applicable,19.6383274691105,50.7323459618689,44.7317459744778,115.647928356592,1
15,T_SINGLE_REPRESENTATIVE,medium_T_total_rank_1001,18,1671,1671,NaN,not_applicable,2.54939564268707e-09,0,0,93.8275645720899,1
16,T_SINGLE_REPRESENTATIVE,medium_T_total_rank_1500,18,981,981,NaN,not_applicable,111.28385566181,127.103619449338,16.3652728909255,16.3652728909255,1
17,T_SINGLE_REPRESENTATIVE,medium_T_total_rank_2000,18,1904,1904,NaN,not_applicable,281.482693800236,85.7458472356856,100,140.741346861959,1
