complexity_label,initial_state_id,selection_basis,scenario_r,path_id_r,scenario_s,path_id_s,d_new,d_T,d_loss_profile,T_r1,T_r2,T_r3,T_r4,T_s1,T_s2,T_s3,T_s4,T_mix1,T_mix2,T_mix3,T_mix4,mix_objective_value,mix_max_independent_violation,mix_T_distance_from_r,mix_T_distance_from_s
simple,7,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple,7,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple,7,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple,7,STEP03Q_NEAR_PERTURBATION,1036,1036,1297,1297,0.0500672947508859,0.0563692732905414,67643.1279491585,0,0,0,0,0,1.01764568984063e-09,0,33.8215639735616,0,0,0,33.8215639745793,109.946309316246,0,0.0563692732909655,2.96813446493907e-12
medium,18,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,855,855,1343,1343,0,2.62900812231237e-15,0,6.54610915637018,25.3661730255053,33.2760548336442,46.9137822873196,6.54610915637018,25.366173025506,33.2760548336435,46.9137822873196,6.54610915637018,25.3661729809345,33.2760548782151,46.9137822873196,899.719997517577,0,1.67140850789356e-10,1.67143479797479e-10
medium,18,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,1343,1343,1400,1400,0,2.62900812231237e-15,0,6.54610915637018,25.366173025506,33.2760548336435,46.9137822873196,6.54610915637018,25.3661730255053,33.2760548336442,46.9137822873196,6.54610915637018,25.3661729809345,33.2760548782151,46.9137822873196,899.719997517577,0,1.67143479797479e-10,1.67140850789356e-10
medium,18,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,144,144,1018,1018,0,1.67421632113474e-15,0,9.81916373455527,25.3661730255063,33.2760548336432,46.9137822873196,9.81916373455527,25.3661730255059,33.2760548336437,46.9137822873196,9.81916373455527,25.3661729809345,33.2760548782151,46.9137822873196,947.138046725233,0,1.67144427187793e-10,1.67142752971472e-10
medium,18,STEP03Q_NEAR_PERTURBATION,1281,1281,1242,1242,0.0172532953153765,0.251843366065766,93630.3308941778,194.201238305649,50.7323459973697,66.5521097209294,93.8275645746393,128.740146741947,92.1910373922726,92.736546275185,45.8227640945913,187.655129149279,50.7323459618689,79.6443280691705,93.8275645746393,49978.1575674815,2.27373675443232e-12,0.0381856368786206,0.213657729275897
complex,30,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,177,177,1529,1529,0.051638268910969,0.450474592913837,608431.678956187,256.93478438753,39.2766549382211,76.9167825873496,149.999999999995,139.104819572866,29.4574912036658,24.5479093363882,24.5479093363831,256.93478438753,39.2766549382211,76.9167825873496,150,478579.764611427,2.91038304567337e-11,8.5265128291212e-15,0.450474592913845
complex,30,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,375,375,836,836,0.0516525009912451,0.381856367454927,598064.040333346,114.556910236478,19.6383274691105,14.7287456018329,24.5479093363832,281.482693723918,29.4574912036658,44.1862368054987,118.648228459204,281.482693723918,29.4574912036658,44.1862368054987,118.64822845921,571760.082170298,0,0.381856367454936,8.55019758697987e-15
complex,30,LOWEST_1PCT_STRESS_PAIR_NO_FORMAL_FALSE_NEAR,375,375,649,649,0.0486087508032855,0.374103319422851,608240.673309832,114.556910236478,19.6383274691105,14.7287456018329,24.5479093363832,198.019801980198,200,24.5479093363882,57.2784551182341,198.019801980198,200,24.5479093363882,57.2784551182391,566683.908714541,0,0.37410331942286,8.37256190303985e-15
complex,30,STEP03Q_NEAR_PERTURBATION,1823,1823,919,919,0.118337536039377,0.551949513059491,807106.042468015,300,87.3823746600151,99.9999999410814,76.9167825873496,99.8281646346453,19.6383274691105,14.7287456018329,24.5479093363832,300,87.3823746010965,100,76.9167825873496,496574.260028431,5.82076609134674e-11,2.20944773587917e-10,0.55194951313314
