complexity_label,initial_state_id,scenario_index,path_id,site_id,T_representative,T_min,T_max,range_width,multiple_optimum_flag
simple,7,1,1,1,0,0,5e-09,5e-09,0
simple,7,1,1,2,0,0,5e-09,5e-09,0
simple,7,1,1,3,0,0,5e-09,5e-09,0
simple,7,1,1,4,0,0,5e-09,5e-09,0
simple,7,2,2,1,0,0,5e-09,5e-09,0
simple,7,2,2,2,0,0,5e-09,5e-09,0
simple,7,2,2,3,0,0,5e-09,5e-09,0
simple,7,2,2,4,0,0,5e-09,5e-09,0
simple,7,3,3,1,0,0,5e-09,5e-09,0
simple,7,3,3,2,0,0,5e-09,5e-09,0
simple,7,3,3,3,0,0,5e-09,5e-09,0
simple,7,3,3,4,0,0,5e-09,5e-09,0
simple,7,4,4,1,0,0,5e-09,5e-09,0
simple,7,4,4,2,0,0,5e-09,5e-09,0
simple,7,4,4,3,0,0,5e-09,5e-09,0
simple,7,4,4,4,0,0,5e-09,5e-09,0
simple,7,5,5,1,0,0,5e-09,5e-09,0
simple,7,5,5,2,0,0,5e-09,5e-09,0
simple,7,5,5,3,0,0,5e-09,5e-09,0
simple,7,5,5,4,0,0,5e-09,5e-09,0
simple,7,6,6,1,0,0,5e-09,5e-09,0
simple,7,6,6,2,0,0,5e-09,5e-09,0
simple,7,6,6,3,0,0,5e-09,5e-09,0
simple,7,6,6,4,0,0,5e-09,5e-09,0
simple,7,7,7,1,0,0,5e-09,5e-09,0
simple,7,7,7,2,0,0,5e-09,5e-09,0
simple,7,7,7,3,0,0,5e-09,5e-09,0
simple,7,7,7,4,0,0,5e-09,5e-09,0
simple,7,8,8,1,0,0,5e-09,5e-09,0
simple,7,8,8,2,0,0,5e-09,5e-09,0
simple,7,8,8,3,0,0,5e-09,5e-09,0
simple,7,8,8,4,0,0,5e-09,5e-09,0
simple,7,9,9,1,0,0,5e-09,5e-09,0
simple,7,9,9,2,0,0,5e-09,5e-09,0
simple,7,9,9,3,0,0,5e-09,5e-09,0
simple,7,9,9,4,0,0,5e-09,5e-09,0
simple,7,10,10,1,0,0,5e-09,5e-09,0
simple,7,10,10,2,0,0,5e-09,5e-09,0
simple,7,10,10,3,0,0,5e-09,5e-09,0
simple,7,10,10,4,0,0,5e-09,5e-09,0
simple,7,11,11,1,0,0,5e-09,5e-09,0
simple,7,11,11,2,0,0,5e-09,5e-09,0
simple,7,11,11,3,0,0,5e-09,5e-09,0
simple,7,11,11,4,0,0,5e-09,5e-09,0
simple,7,12,12,1,0,0,5e-09,5e-09,0
simple,7,12,12,2,0,0,5e-09,5e-09,0
simple,7,12,12,3,0,0,5e-09,5e-09,0
simple,7,12,12,4,0,0,5e-09,5e-09,0
simple,7,13,13,1,0,0,5e-09,5e-09,0
simple,7,13,13,2,0,0,5e-09,5e-09,0
simple,7,13,13,3,0,0,5e-09,5e-09,0
simple,7,13,13,4,0,0,5e-09,5e-09,0
simple,7,14,14,1,0,0,5e-09,5e-09,0
simple,7,14,14,2,0,0,5e-09,5e-09,0
simple,7,14,14,3,0,0,5e-09,5e-09,0
simple,7,14,14,4,0,0,5e-09,5e-09,0
simple,7,15,15,1,0,0,5e-09,5e-09,0
simple,7,15,15,2,0,0,5e-09,5e-09,0
simple,7,15,15,3,0,0,5e-09,5e-09,0
simple,7,15,15,4,0,0,5e-09,5e-09,0
simple,7,16,16,1,0,0,5e-09,5e-09,0
simple,7,16,16,2,0,0,5e-09,5e-09,0
simple,7,16,16,3,0,0,5e-09,5e-09,0
simple,7,16,16,4,0,0,5e-09,5e-09,0
simple,7,17,17,1,0,0,5e-09,5e-09,0
simple,7,17,17,2,0,0,5e-09,5e-09,0
simple,7,17,17,3,0,0,5e-09,5e-09,0
simple,7,17,17,4,0,0,5e-09,5e-09,0
simple,7,18,18,1,0,0,5e-09,5e-09,0
simple,7,18,18,2,0,0,5e-09,5e-09,0
simple,7,18,18,3,0,0,5e-09,5e-09,0
simple,7,18,18,4,0,0,5e-09,5e-09,0
simple,7,19,19,1,0,0,5e-09,5e-09,0
simple,7,19,19,2,0,0,5e-09,5e-09,0
simple,7,19,19,3,0,0,5e-09,5e-09,0
simple,7,19,19,4,0,0,5e-09,5e-09,0
simple,7,20,20,1,0,0,5e-09,5e-09,0
simple,7,20,20,2,0,0,5e-09,5e-09,0
simple,7,20,20,3,0,0,5e-09,5e-09,0
simple,7,20,20,4,0,0,5e-09,5e-09,0
simple,7,21,21,1,0,0,5e-09,5e-09,0
simple,7,21,21,2,0,0,5e-09,5e-09,0
simple,7,21,21,3,0,0,5e-09,5e-09,0
simple,7,21,21,4,0,0,5e-09,5e-09,0
simple,7,22,22,1,0,0,5e-09,5e-09,0
simple,7,22,22,2,0,0,5e-09,5e-09,0
simple,7,22,22,3,0,0,5e-09,5e-09,0
simple,7,22,22,4,0,0,5e-09,5e-09,0
simple,7,23,23,1,0,0,5e-09,5e-09,0
simple,7,23,23,2,0,0,5e-09,5e-09,0
simple,7,23,23,3,0,0,5e-09,5e-09,0
simple,7,23,23,4,0,0,5e-09,5e-09,0
simple,7,24,24,1,0,0,5e-09,5e-09,0
simple,7,24,24,2,0,0,5e-09,5e-09,0
simple,7,24,24,3,0,0,5e-09,5e-09,0
simple,7,24,24,4,0,0,5e-09,5e-09,0
simple,7,25,25,1,0,0,5e-09,5e-09,0
simple,7,25,25,2,0,0,5e-09,5e-09,0
simple,7,25,25,3,0,0,5e-09,5e-09,0
simple,7,25,25,4,0,0,5e-09,5e-09,0
simple,7,26,26,1,0,0,5e-09,5e-09,0
simple,7,26,26,2,0,0,5e-09,5e-09,0
simple,7,26,26,3,0,0,5e-09,5e-09,0
simple,7,26,26,4,0,0,5e-09,5e-09,0
simple,7,27,27,1,0,0,5e-09,5e-09,0
simple,7,27,27,2,0,0,5e-09,5e-09,0
simple,7,27,27,3,0,0,5e-09,5e-09,0
simple,7,27,27,4,0,0,5e-09,5e-09,0
simple,7,28,28,1,0,0,5e-09,5e-09,0
simple,7,28,28,2,0,0,5e-09,5e-09,0
simple,7,28,28,3,0,0,5e-09,5e-09,0
simple,7,28,28,4,0,0,5e-09,5e-09,0
simple,7,29,29,1,0,0,5e-09,5e-09,0
simple,7,29,29,2,0,0,5e-09,5e-09,0
simple,7,29,29,3,0,0,5e-09,5e-09,0
simple,7,29,29,4,0,0,5e-09,5e-09,0
simple,7,30,30,1,0,0,5e-09,5e-09,0
simple,7,30,30,2,0,0,5e-09,5e-09,0
simple,7,30,30,3,0,0,5e-09,5e-09,0
simple,7,30,30,4,0,0,5e-09,5e-09,0
simple,7,31,31,1,0,0,5e-09,5e-09,0
simple,7,31,31,2,0,0,5e-09,5e-09,0
simple,7,31,31,3,0,0,5e-09,5e-09,0
simple,7,31,31,4,0,0,5e-09,5e-09,0
simple,7,32,32,1,0,0,5e-09,5e-09,0
simple,7,32,32,2,0,0,5e-09,5e-09,0
simple,7,32,32,3,0,0,5e-09,5e-09,0
simple,7,32,32,4,0,0,5e-09,5e-09,0
simple,7,33,33,1,0,0,5e-09,5e-09,0
simple,7,33,33,2,0,0,5e-09,5e-09,0
simple,7,33,33,3,0,0,5e-09,5e-09,0
simple,7,33,33,4,0,0,5e-09,5e-09,0
simple,7,34,34,1,0,0,5e-09,5e-09,0
simple,7,34,34,2,0,0,5e-09,5e-09,0
simple,7,34,34,3,0,0,5e-09,5e-09,0
simple,7,34,34,4,0,0,5e-09,5e-09,0
simple,7,35,35,1,19.6383274724586,19.6383274648651,19.6383274741106,9.24554655057364e-09,0
simple,7,35,35,2,39.5494094864032,39.5494092884825,39.5494094914033,2.02920801939399e-07,0
simple,7,35,35,3,8.18263644546273,8.182636443283,8.18263664337753,2.00094524061001e-07,0
simple,7,35,35,4,54.5509096330701,54.5509096330702,54.5509096414183,8.3481026535992e-09,0
simple,7,36,36,1,0,0,5e-09,5e-09,0
simple,7,36,36,2,0,0,5e-09,5e-09,0
simple,7,36,36,3,0,0,5e-09,5e-09,0
simple,7,36,36,4,0,0,5e-09,5e-09,0
simple,7,37,37,1,0,0,5e-09,5e-09,0
simple,7,37,37,2,0,0,5e-09,5e-09,0
simple,7,37,37,3,0,0,5e-09,5e-09,0
simple,7,37,37,4,0,0,5e-09,5e-09,0
simple,7,38,38,1,0,0,5e-09,5e-09,0
simple,7,38,38,2,0,0,5e-09,5e-09,0
simple,7,38,38,3,0,0,5e-09,5e-09,0
simple,7,38,38,4,0,0,5e-09,5e-09,0
