distribution_scope,state_i,state_j,repeat_count,sample_count_per_state,median_energy_distance,minimum_energy_distance,maximum_energy_distance,IQR_energy_distance,seed_rule
bulk,1,1,10,1000,0,0,0,0,20260300 + repeat*100 + state
tail95,1,1,10,750,0,0,0,0,20260300 + repeat*100 + state
bulk,1,2,10,1000,0.000213447247837305,0.000102405990442644,0.000725862949287531,0.000182735188571446,20260300 + repeat*100 + state
tail95,1,2,10,750,0.00342205561726239,0.00342205561726239,0.00342205561726239,0,20260300 + repeat*100 + state
bulk,1,3,10,1000,0.000313345365422046,3.25532211571389e-05,0.000821067260454666,0.00042994822393334,20260300 + repeat*100 + state
tail95,1,3,10,750,0.0143221598591259,0.0143221598591259,0.0143221598591259,0,20260300 + repeat*100 + state
bulk,1,4,10,1000,0.000136172951625185,7.30589397283932e-05,0.000702632898263708,0.00037959791836166,20260300 + repeat*100 + state
tail95,1,4,10,750,0.00754183812743348,0.00754183812743348,0.00754183812743348,0,20260300 + repeat*100 + state
bulk,1,5,10,1000,0.000288415616502502,4.94409843309618e-05,0.000491180091397703,0.000330341329362705,20260300 + repeat*100 + state
tail95,1,5,10,750,0.0737614033293861,0.0737614033293861,0.0737614033293861,0,20260300 + repeat*100 + state
bulk,1,6,10,1000,0.000280968183426218,8.55644107013165e-05,0.00180496225454504,0.000734424015278541,20260300 + repeat*100 + state
tail95,1,6,10,750,0.156233043813766,0.156233043813766,0.156233043813766,0,20260300 + repeat*100 + state
bulk,1,7,10,1000,0.000578753693356335,0.000117815168826085,0.00259131886236505,0.000427789654908174,20260300 + repeat*100 + state
tail95,1,7,10,750,0.269385624618415,0.269385624618415,0.269385624618415,0,20260300 + repeat*100 + state
bulk,1,8,10,1000,0.334734959737916,0.252391608485892,0.399524320296098,0.0663174580632769,20260300 + repeat*100 + state
tail95,1,8,10,750,4.94741075870523,4.94741075870523,4.94741075870523,0,20260300 + repeat*100 + state
bulk,1,9,10,1000,0.333735994328641,0.251398999169155,0.37760872368675,0.0429612626060065,20260300 + repeat*100 + state
tail95,1,9,10,750,4.84980132961075,4.84980132961075,4.84980132961075,0,20260300 + repeat*100 + state
bulk,1,10,10,1000,0.293947012067003,0.231735630399552,0.371345949856058,0.0433609767904233,20260300 + repeat*100 + state
tail95,1,10,10,750,4.68352853935309,4.68352853935309,4.68352853935309,0,20260300 + repeat*100 + state
bulk,1,11,10,1000,0.252546392428341,0.202957749971321,0.312929068846181,0.0356284115439836,20260300 + repeat*100 + state
tail95,1,11,10,750,4.50673737332386,4.50673737332386,4.50673737332386,0,20260300 + repeat*100 + state
bulk,1,12,10,1000,0.168189444537639,0.129223192280076,0.211590875088449,0.0370470336449275,20260300 + repeat*100 + state
tail95,1,12,10,750,4.10984631649799,4.10984631649799,4.10984631649799,0,20260300 + repeat*100 + state
bulk,1,13,10,1000,0.0899770688884242,0.054315623551904,0.107400194137397,0.00916905086551811,20260300 + repeat*100 + state
tail95,1,13,10,750,3.49990070800525,3.49990070800525,3.49990070800525,0,20260300 + repeat*100 + state
bulk,1,14,10,1000,0.0403140643235581,0.034364128861891,0.0519224337112777,0.00995874462853738,20260300 + repeat*100 + state
tail95,1,14,10,750,2.73847767726974,2.73847767726974,2.73847767726974,0,20260300 + repeat*100 + state
bulk,1,15,10,1000,3.22194574892374,3.02263922428404,3.35301886611141,0.149462546633366,20260300 + repeat*100 + state
tail95,1,15,10,750,8.96344769682327,8.96344769682327,8.96344769682327,0,20260300 + repeat*100 + state
bulk,1,16,10,1000,3.35852202643995,3.17386904744036,3.69551041211441,0.256608863992297,20260300 + repeat*100 + state
tail95,1,16,10,750,8.96511930414865,8.96511930414865,8.96511930414865,0,20260300 + repeat*100 + state
bulk,1,17,10,1000,3.17050140019129,2.95121490994954,3.4021580127908,0.0805091891480232,20260300 + repeat*100 + state
tail95,1,17,10,750,8.64349731120595,8.64349731120595,8.64349731120595,0,20260300 + repeat*100 + state
bulk,1,18,10,1000,2.73371939134261,2.41953071499824,2.85680764757126,0.0312175035836031,20260300 + repeat*100 + state
tail95,1,18,10,750,8.04038656485912,8.04038656485912,8.04038656485912,0,20260300 + repeat*100 + state
bulk,1,19,10,1000,2.02951525499112,1.82028178523777,2.31198379936082,0.140629385095472,20260300 + repeat*100 + state
tail95,1,19,10,750,6.77109441569124,6.77109441569124,6.77109441569124,0,20260300 + repeat*100 + state
bulk,1,20,10,1000,1.32479021535601,1.217050077168,1.43776728818617,0.0994827711188471,20260300 + repeat*100 + state
tail95,1,20,10,750,5.31140283477098,5.31140283477098,5.31140283477098,0,20260300 + repeat*100 + state
bulk,1,21,10,1000,0.750992654037915,0.666091916020392,0.8511728704274,0.0912184305286234,20260300 + repeat*100 + state
tail95,1,21,10,750,4.67153244329368,4.67153244329368,4.67153244329368,0,20260300 + repeat*100 + state
bulk,1,22,10,1000,6.95853279837053,6.58587788523183,7.30861310838133,0.303343945235195,20260300 + repeat*100 + state
tail95,1,22,10,750,12.054567782096,12.054567782096,12.054567782096,0,20260300 + repeat*100 + state
