initial_state_id,state_complete,positive_demand_count_R100,positive_demand_count_R500,mean_demand_R100_kg,mean_demand_R500_kg,max_demand_R100_kg,max_demand_R500_kg,max_site_T_difference_R500_kg,max_site_T_difference_fraction_R500,total_T_difference_R500_kg,aggregate_capacity_hits_R500,period_capacity_hits_R500,aggregate_relative_regret_R500,period_relative_regret_R500,max_relative_regret_R500,close_diagnostic_R500,aggregate_max_R100_R500_site_fraction,period_max_R100_R500_site_fraction,aggregate_total_T_R500,period_total_T_R500,aggregate_objective_R500,period_objective_R500,aggregate_shortage_loss_R500,period_shortage_loss_R500,recommended_attention_state,recommended_control_state,recommendation_eligible,failure_message
1,1,4,14,12.6121703079399,5.28925619834711,414.85966778496,414.85966778496,2.35387175081145,0.0235387175081145,3.81856367454918,0,1,0.00835015867456453,0.00853034133496694,0.00853034133496694,1,9.473903143468e-17,2.1316282072803e-16,405.313258598587,409.131822273136,912.986056214822,875.046057512858,68.7341461418869,22.9113820472956,0,0,1,
2,1,0,9,0,2.0849357663039,0,322.395875951231,1.4210854715202e-14,1.4210854715202e-16,0,0,0,-5.2000872972217e-16,1.73336243240724e-16,1.73336243240724e-16,1,0.665521097564302,0.665521097564302,322.395875951231,322.395875951231,655.874591465165,655.874591465165,0,0,0,0,1,
3,1,3,7,4.76502195674113,1.98892616534381,405.313258598587,405.313258598587,1.4210854715202e-14,7.105427357601e-17,0,0,0,-2.75372041399425e-16,1.1014881655977e-15,1.1014881655977e-15,1,0.218203638545673,0.218203638545673,405.313258598587,405.313258598587,825.696299042315,825.696299042314,0,0,0,0,1,
4,1,2,6,1.47287456018329,1.72162670812536,103.646728309195,384.583912936748,1.4210854715202e-14,9.473903143468e-17,0,1,1,0,4.16262754826355e-16,4.16262754826355e-16,1,0.836347271090745,0.836347271090745,384.583912936748,384.583912936748,819.339489806438,819.339489806438,39.2766549382211,39.2766549382211,0,0,1,
5,1,1,9,4.15677931429507,3.71164389166189,415.677931429507,423.587813326787,55.1114202329324,0.283664730109375,5.6843418860808e-14,1,0,0.29372979962256,0.00354943534854168,0.29372979962256,0,0.534598914436898,0.283664730109375,415.677931429506,415.677931429507,991.455931480508,915.441843629162,130.922183127404,58.9149824073316,0,0,1,
6,1,1,5,0.482775550282301,1.48705779668876,48.2775550282301,384.583912936748,34.9125821673077,0.316395275891225,5.6843418860808e-14,0,0,9.57269589783479e-06,6.15057267347403e-06,9.57269589783479e-06,0,0.747347462018929,0.527325459818709,374.764749202193,374.764749202193,866.989214453156,866.983882005783,109.101819272836,109.101819272836,0,0,1,
7,1,1,5,1.21921283037395,1.28303739464856,121.921283037395,243.842566074789,7.105427357601e-15,3.5527136788005e-17,0,0,0,-1.79797380622919e-16,-3.59594761245838e-16,-1.79797380622919e-16,1,0.365491094564002,0.365491094564002,243.842566074789,243.842566074789,632.305305715473,632.305305715473,135.286255898317,135.286255898317,0,1,1,
8,1,27,127,50.669612415787,39.6590568147724,420.04200420042,607.969887897881,18.5473092763822,0.0927365463819108,0,0,0,4.60340147128107e-05,2.38669395296136e-05,4.60340147128107e-05,1,0.485503095764122,0.531871368955077,607.969887897881,607.969887897881,2820.96804094843,2820.16893248943,1370.31885006682,1370.31885006682,0,0,1,
9,1,23,136,35.0025911682077,43.5250797807053,607.969887897881,607.969887897881,85.9176826773586,0.711889370755257,1.63652728909267,1,1,0.0752290796491022,0.00213708971179583,0.0752290796491022,0,0.836347271090745,0.263712734909854,609.606415186973,607.969887897881,4455.56903980009,3832.39927875756,2961.02337506478,2344.59809617325,0,0,1,
10,1,29,141,52.1724899762704,52.7436380001636,532.689632599624,607.969887897881,18.5173062760823,0.0777350462318959,0,1,0,0.0199687858101095,6.65541612980524e-05,0.0199687858101095,0,0.330842175126604,0.269117820872996,607.969887897881,607.969887897881,4414.42074001435,3784.9988524456,2871.67989526225,2239.86034967133,0,0,1,
11,1,22,122,25.7207538935712,36.9156915691569,405.313258598587,607.969887897881,77.4622916837138,0.387311458418569,82.9473856476557,1,1,0.0474526793060418,0.0832349723839866,0.0832349723839866,0,0.42004200420042,0.374482902835738,489.837165534735,572.784551182391,3094.25371802484,2627.21650250614,1825.51346043695,1251.51787906063,0,0,1,
12,1,20,93,24.2178763330879,25.6749311294766,405.313258598587,532.689632599624,4.2632564145606e-14,2.1316282072803e-16,0,1,1,4.09568787755515e-15,5.87278092390704e-15,5.87278092390704e-15,1,0.632790551782451,0.632790551782451,532.689632599624,532.689632599624,1776.49221124894,1664.81061880893,562.965387447836,451.681531789543,0,0,1,
13,1,14,66,16.0188746147342,18.5789488039713,405.313258598587,416.496195074053,3.27305457818512,0.0163652728909256,0,0,0,1.59830956545429e-05,1.24315600888123e-06,1.59830956545429e-05,1,0.567329460218749,0.567329460218749,405.313258598587,405.313258598587,1675.08087255857,1381.71765971993,746.256443826201,451.681531789543,0,0,1,
14,1,10,48,9.98008891798271,10.7312549436762,369.855167334915,405.313258598587,10.9101819272836,0.06000600060006,0,0,0,0.0370049799866694,0.000148369956177888,0.0370049799866694,0,0.281846366454827,0.267299457218449,405.313258598587,405.313258598587,1393.43969471869,1373.14791924431,517.142623353244,497.504295884134,0,0,1,
15,1,57,316,148.86124976134,171.10874723836,607.969887897881,607.969887897881,0.833265144696057,0.00833265144696,1.13686837721616e-13,2,2,1.07601437984588e-07,0.00021180636315319,0.00021180636315319,1,0.125767122166763,0.166230259389576,607.969887897881,607.969887897881,19929.1428859532,14994.1766431032,17563.8709325478,12618.8964350981,0,0,1,
16,1,77,341,187.333278782424,169.34129776614,607.969887897881,607.969887897881,46.4241878733327,0.232120939366663,72.7654583640182,3,1,0.011656394188757,0.00905585587100212,0.011656394188757,0,0.225377083162862,0.090009000900089,733.649728609225,660.884270245206,19078.7089651363,16032.4300929163,16471.3416796225,13576.6303903118,0,0,1,
17,1,62,336,174.527452745275,185.827128167362,607.969887897881,607.969887897881,15.1583340152197,0.151583340152197,23.8564765567465,4,2,0.00501804847598772,0.00264169055446686,0.00501804847598772,0,0.634358890434498,0.590868177726864,750,726.143523443253,23208.732176989,17539.3552134649,20496.6478466028,14848.5339443035,0,0,0,
18,1,67,321,145.511823909664,152.434879851622,607.969887897881,607.969887897881,38.8020620243843,0.194010310121921,56.7588577039523,4,2,0.0134077891054512,0.00806560361418729,0.0134077891054512,0,0.421760357853967,0.51995199519952,750,693.241142296048,20880.7030210435,13733.9590983265,18387.4696560565,11306.6852139759,0,0,0,
19,1,46,260,103.20486594114,118.734964405531,607.969887897881,607.969887897881,97.7170444317159,0.48858522215858,138.25655292802,4,2,0.021180070697749,0.0225567277316484,0.0225567277316484,0,0.639309385484003,0.163652728909255,750,611.74344707198,17053.1516143742,11969.4554843691,14806.8079535226,9960.20511142023,0,0,0,
20,1,54,236,115.637018247279,99.6279627962796,575.23934211603,607.969887897881,53.3589722608625,0.533589722608625,15.8047622944113,1,1,0.0319023946422964,0.00480749335076119,0.0319023946422964,0,0.426860867904972,0.244115320622972,623.774650192292,607.969887897881,8689.38786696014,7419.38160852651,6770.91891007282,5527.09816436189,0,0,1,
21,1,26,179,46.5619289201647,65.8102173853749,607.969887897881,607.969887897881,39.2766549382212,0.261844366254808,1.09101819272837,0,0,0.0256633005351649,0.00275545208977131,0.0256633005351649,0,0.530507596214167,0.518233641545973,599.241742356054,598.150724163325,6907.93589090527,5405.66501109429,5258.70768895071,3768.37683768377,0,0,1,
22,1,92,467,389.408940894089,389.995363172681,607.969887897881,607.969887897881,17.6281264490085,0.176281264490085,17.6281264490085,4,3,0.00540251965669313,0.000539740177620906,0.00540251965669313,0,0,0.349405395084963,750,732.371873550991,80757.012317732,54015.9086368571,76420.8002618444,49613.0976734037,0,0,0,
23,1,94,460,399.599050814172,384.717562665357,607.969887897881,607.969887897881,13.6936420914819,0.0684682104574097,13.6936420914819,4,3,0.00435231740238159,0.000439375443247362,0.00435231740238159,1,0,0.138954804571367,750,736.306357908518,83505.4783357413,55972.5619063322,79165.9984180236,51561.9125548919,0,0,0,
24,1,93,467,389.294383983853,366.187164170963,607.969887897881,607.969887897881,10.7642582440064,0.107642582440064,21.4726018056353,4,2,0.00939114030371152,0.000688154108490242,0.00939114030371152,0,0,0.170826173526444,750,728.527398194365,79072.4661932857,52232.9900482154,74827.3900117285,47963.9418487303,0,0,0,
25,1,91,459,329.681149933175,339.010446499195,607.969887897881,607.969887897881,0,0,0,4,4,-4.76739886088676e-15,-5.9934775758542e-15,-4.76739886088676e-15,1,0.400499140823173,0.487221449417668,750,750,67152.3705831743,43703.2542118541,63165.7802143851,39632.4196055969,0,0,0,
26,1,84,440,301.047377465019,315.85303984944,607.969887897881,607.969887897881,0,0,0,4,4,-5.21717566278415e-15,-5.50539436893369e-15,-5.21717566278415e-15,1,0.214466901235578,0.476311267490385,750,750,66941.5768328623,43612.9703301451,63177.2740910455,39759.2777459564,0,0,0,
27,1,73,386,239.726699942721,237.958704961405,607.969887897881,607.969887897881,0,0,0,4,4,-4.75398535962445e-15,-4.69738395299743e-15,-4.69738395299743e-15,1,0.127185445817309,0.380847175626654,750,750,41323.4035702776,27106.4191307931,38194.5067233996,23928.587404195,0,0,0,
28,1,68,334,171.333496986062,170.953277145896,607.969887897881,607.969887897881,52.1670348853067,0.260835174426533,62.9312931293131,4,2,0.0203514812542608,0.00557882594975644,0.0203514812542608,0,0.721790360854267,0.21992199219922,750,687.068706870687,29757.6179052193,22206.344026681,27063.4863486349,19631.7813599542,0,0,0,
29,1,96,486,426.757221176663,451.910100100919,607.969887897881,607.969887897881,10.5924228786515,0.0529621143932576,10.5924228786515,4,3,0.00100328384620312,0.000209962191992732,0.00100328384620312,1,0,0.230832174126503,750,739.407577121348,146001.677486006,98646.0426593697,141279.060633336,93687.0414314159,0,0,0,
30,1,98,493,480.489867168535,474.014674194692,607.969887897881,607.969887897881,0,0,0,4,4,4.07223815346988e-14,3.48903200810138e-14,4.07223815346988e-14,1,0,0.0202315686114071,750,750,165807.804246638,115530.052716573,160882.830101192,110325.794397622,0,0,0,
31,1,96,488,467.724954313613,452.845102692087,607.969887897881,607.969887897881,0,0,0,4,4,2.30082646755737e-14,9.20979502190899e-15,2.30082646755737e-14,1,0,0,750,750,160646.033941411,109023.289700663,155837.340097646,103936.355453727,0,0,0,
32,1,97,482,423.27687314186,435.938684777569,607.969887897881,607.969887897881,0,0,0,4,4,2.31853823254977e-14,7.60655396870344e-15,2.31853823254977e-14,1,0.153956304721381,0.447672039931266,750,750,141845.09858154,97566.8718976053,137257.142077844,92697.4606551565,0,0,0,
33,1,92,471,394.465810217385,388.623407795325,607.969887897881,607.969887897881,0,0,0,4,4,4.2344101434715e-15,3.05239273041994e-15,4.2344101434715e-15,1,0,0.283794288519761,750,750,113407.342762129,76278.0756661798,109162.174399258,71814.4287155989,0,0,0,
34,1,90,454,337.203720372037,333.529716608024,607.969887897881,607.969887897881,6.58702233859751,0.0329351116929875,6.58702233859754,4,3,0.000170612959872484,0.000227497898681771,0.000227497898681771,1,0.261694351253307,0.31876824046041,750,743.412977661402,78586.3043934524,54488.8003283395,74844.2353326242,50593.0611242942,0,0,0,
35,1,83,407,263.099037176445,275.414996045059,607.969887897881,607.969887897881,34.4079862531709,0.172039931265854,34.4079862531709,4,3,0.00518004676715719,0.00210103739048523,0.00518004676715719,0,0.0439203011210212,0.193580721708534,750,715.592013746829,47860.3845559115,32616.7694398839,44336.9446035513,29099.1517333552,0,0,0,
