initial_state_id,R,site_id,positive_demand_scenario_count,mean_total_demand_kg,max_total_demand_kg,scenario_weight,T_aggregate_kg,T_period_kg,period_minus_aggregate_kg,site_absolute_difference_kg,site_difference_fraction_of_capacity,aggregate_total_T_kg,period_total_T_kg,period_minus_aggregate_total_kg,total_absolute_difference_kg,total_difference_fraction_of_total_capacity,aggregate_at_capacity,period_at_capacity,aggregate_objective,period_objective,aggregate_TerminalLOH_cost,period_TerminalLOH_cost,aggregate_mean_service_cost,period_mean_service_cost,aggregate_mean_shortage_loss,period_mean_shortage_loss,aggregate_mean_operating_loss,period_mean_operating_loss,aggregate_regret_of_period_T,period_regret_of_aggregate_T,aggregate_relative_regret,period_relative_regret,replay_complete,failure_message,case_pass
7,2000,1,14,1.02705725117966,405.313258598587,0.0005,66.2793552082481,66.2793552082481,0,0,0,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,767.392773688211,767.392773688213,498.049804980498,498.049804980498,5.86207516381402,5.86207516381402,263.4808935439,263.4808935439,269.342968707714,269.342968707714,5.6843418860808e-13,-7.95807864051312e-13,7.40734351557802e-16,-1.03702809218092e-15,1,,1
7,2000,2,14,1.02705725117966,405.313258598587,0.0005,50.7323459618689,50.7323459618689,0,0,0,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,767.392773688211,767.392773688213,498.049804980498,498.049804980498,5.86207516381402,5.86207516381402,263.4808935439,263.4808935439,269.342968707714,269.342968707714,5.6843418860808e-13,-7.95807864051312e-13,7.40734351557802e-16,-1.03702809218092e-15,1,,1
7,2000,3,14,1.02705725117966,405.313258598587,0.0005,44.7317459018629,44.7317459018629,7.105427357601e-15,7.105427357601e-15,7.105427357601e-17,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,767.392773688211,767.392773688213,498.049804980498,498.049804980498,5.86207516381402,5.86207516381402,263.4808935439,263.4808935439,269.342968707714,269.342968707714,5.6843418860808e-13,-7.95807864051312e-13,7.40734351557802e-16,-1.03702809218092e-15,1,,1
7,2000,4,14,1.02705725117966,405.313258598587,0.0005,87.2814554182691,87.2814554182691,1.4210854715202e-14,1.4210854715202e-14,9.473903143468e-17,249.024902490249,249.024902490249,2.8421709430404e-14,2.8421709430404e-14,3.7895612573872e-17,0,0,767.392773688211,767.392773688213,498.049804980498,498.049804980498,5.86207516381402,5.86207516381402,263.4808935439,263.4808935439,269.342968707714,269.342968707714,5.6843418860808e-13,-7.95807864051312e-13,7.40734351557802e-16,-1.03702809218092e-15,1,,1
9,2000,1,525,44.5680931729537,607.969887897881,0.0005,300,274.936584567548,-25.0634154324524,25.0634154324524,0.0835447181081745,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,1,0,4121.06631456181,3415.42660854786,1333.13422251316,1215.93977579576,273.500648904348,276.537265068102,2514.43144314431,1922.94956768404,2787.93209204866,2199.48683275214,75.8474238414574,108.42666313011,0.0184048054682959,0.0317461551827079,1,,1
9,2000,2,525,44.5680931729537,607.969887897881,0.0005,128.194637645583,124.118320923001,-4.07631672258132,4.07631672258132,0.0203815836129066,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,0,0,4121.06631456181,3415.42660854786,1333.13422251316,1215.93977579576,273.500648904348,276.537265068102,2514.43144314431,1922.94956768404,2787.93209204866,2199.48683275214,75.8474238414574,108.42666313011,0.0184048054682959,0.0317461551827079,1,,1
9,2000,3,525,44.5680931729537,607.969887897881,0.0005,88.3724736109975,58.9149824073316,-29.4574912036658,29.4574912036658,0.294574912036658,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,0,0,4121.06631456181,3415.42660854786,1333.13422251316,1215.93977579576,273.500648904348,276.537265068102,2514.43144314431,1922.94956768404,2787.93209204866,2199.48683275214,75.8474238414574,108.42666313011,0.0184048054682959,0.0317461551827079,1,,1
9,2000,4,525,44.5680931729537,607.969887897881,0.0005,150,150,0,0,0,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,1,1,4121.06631456181,3415.42660854786,1333.13422251316,1215.93977579576,273.500648904348,276.537265068102,2514.43144314431,1922.94956768404,2787.93209204866,2199.48683275214,75.8474238414574,108.42666313011,0.0184048054682959,0.0317461551827079,1,,1
11,2000,1,440,34.5543190682705,607.969887897881,0.0005,300,289.665330169381,-10.3346698306195,10.3346698306195,0.0344488994353983,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,1,0,3382.93646008637,2788.63368182997,1205.51509696424,1145.56910236478,209.407288987461,210.284937864681,1968.01407413469,1432.77964160052,2177.42136312215,1643.0645794652,20.1951662187421,19.4572885474172,0.00596971490804366,0.00697735549641962,1,,1
11,2000,2,440,34.5543190682705,607.969887897881,0.0005,107.465291983744,89.4634918037258,-18.001800180018,18.001800180018,0.09000900090009,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,0,0,3382.93646008637,2788.63368182997,1205.51509696424,1145.56910236478,209.407288987461,210.284937864681,1968.01407413469,1432.77964160052,2177.42136312215,1643.0645794652,20.1951662187421,19.4572885474172,0.00596971490804366,0.00697735549641962,1,,1
11,2000,3,440,34.5543190682705,607.969887897881,0.0005,54.5509096364181,62.7335460818809,8.18263644546278,8.18263644546278,0.0818263644546278,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,0,0,3382.93646008637,2788.63368182997,1205.51509696424,1145.56910236478,209.407288987461,210.284937864681,1968.01407413469,1432.77964160052,2177.42136312215,1643.0645794652,20.1951662187421,19.4572885474172,0.00596971490804366,0.00697735549641962,1,,1
11,2000,4,440,34.5543190682705,607.969887897881,0.0005,140.741346861959,130.922183127404,-9.8191637345553,9.8191637345553,0.065461091563702,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,0,0,3382.93646008637,2788.63368182997,1205.51509696424,1145.56910236478,209.407288987461,210.284937864681,1968.01407413469,1432.77964160052,2177.42136312215,1643.0645794652,20.1951662187421,19.4572885474172,0.00596971490804366,0.00697735549641962,1,,1
19,2000,1,1121,126.928647410195,607.969887897881,0.0005,300,272.769549682241,-27.2304503177591,27.2304503177591,0.0907681677258635,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,1,0,15055.0007452819,11318.3209631076,1486.7659493222,1304.31224940676,834.489603258663,849.10813273374,12733.7451927011,9164.90058096719,13568.2347959598,10014.0087137009,244.146947067886,80.815385665248,0.016216999998781,0.0071402274178889,1,,1
19,2000,2,1121,126.928647410195,607.969887897881,0.0005,193.382974661103,139.377574121048,-54.005400540054,54.005400540054,0.27002700270027,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,0,0,15055.0007452819,11318.3209631076,1486.7659493222,1304.31224940676,834.489603258663,849.10813273374,12733.7451927011,9164.90058096719,13568.2347959598,10014.0087137009,244.146947067886,80.815385665248,0.016216999998781,0.0071402274178889,1,,1
19,2000,3,1121,126.928647410195,607.969887897881,0.0005,100,90.00900090009,-9.99099909990998,9.99099909990998,0.0999099909990998,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,1,0,15055.0007452819,11318.3209631076,1486.7659493222,1304.31224940676,834.489603258663,849.10813273374,12733.7451927011,9164.90058096719,13568.2347959598,10014.0087137009,244.146947067886,80.815385665248,0.016216999998781,0.0071402274178889,1,,1
19,2000,4,1121,126.928647410195,607.969887897881,0.0005,150,150,0,0,0,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,1,1,15055.0007452819,11318.3209631076,1486.7659493222,1304.31224940676,834.489603258663,849.10813273374,12733.7451927011,9164.90058096719,13568.2347959598,10014.0087137009,244.146947067886,80.815385665248,0.016216999998781,0.0071402274178889,1,,1
