scope,initial_state_id,T_id,T_label,distance_metric,zero_distance_pair_count,max_absolute_loss_difference,max_relative_loss_difference
STATE,7,1,ZERO,aggregate,28,0,0
STATE,7,1,ZERO,period,28,0,0
STATE,7,2,HALF_CAPACITY,aggregate,28,0,0
STATE,7,2,HALF_CAPACITY,period,28,0,0
STATE,7,3,FULL_CAPACITY,aggregate,28,0,0
STATE,7,3,FULL_CAPACITY,period,28,0,0
STATE,7,4,STEP03YF_PERIOD_R2000,aggregate,28,0,0
STATE,7,4,STEP03YF_PERIOD_R2000,period,28,0,0
STATE,9,1,ZERO,aggregate,49,0,0
STATE,9,1,ZERO,period,49,0,0
STATE,9,2,HALF_CAPACITY,aggregate,49,0,0
STATE,9,2,HALF_CAPACITY,period,49,0,0
STATE,9,3,FULL_CAPACITY,aggregate,49,0,0
STATE,9,3,FULL_CAPACITY,period,49,0,0
STATE,9,4,STEP03YF_PERIOD_R2000,aggregate,49,0,0
STATE,9,4,STEP03YF_PERIOD_R2000,period,49,0,0
STATE,11,1,ZERO,aggregate,43,0,0
STATE,11,1,ZERO,period,43,0,0
STATE,11,2,HALF_CAPACITY,aggregate,43,0,0
STATE,11,2,HALF_CAPACITY,period,43,0,0
STATE,11,3,FULL_CAPACITY,aggregate,43,0,0
STATE,11,3,FULL_CAPACITY,period,43,0,0
STATE,11,4,STEP03YF_PERIOD_R2000,aggregate,43,0,0
STATE,11,4,STEP03YF_PERIOD_R2000,period,43,0,0
STATE,19,1,ZERO,aggregate,31,0,0
STATE,19,1,ZERO,period,31,0,0
STATE,19,2,HALF_CAPACITY,aggregate,31,0,0
STATE,19,2,HALF_CAPACITY,period,31,0,0
STATE,19,3,FULL_CAPACITY,aggregate,31,0,0
STATE,19,3,FULL_CAPACITY,period,31,0,0
STATE,19,4,STEP03YF_PERIOD_R2000,aggregate,31,0,0
STATE,19,4,STEP03YF_PERIOD_R2000,period,31,0,0
POOLED,0,1,ZERO,aggregate,151,0,0
POOLED,0,1,ZERO,period,151,0,0
POOLED,0,2,HALF_CAPACITY,aggregate,151,0,0
POOLED,0,2,HALF_CAPACITY,period,151,0,0
POOLED,0,3,FULL_CAPACITY,aggregate,151,0,0
POOLED,0,3,FULL_CAPACITY,period,151,0,0
POOLED,0,4,STEP03YF_PERIOD_R2000,aggregate,151,0,0
POOLED,0,4,STEP03YF_PERIOD_R2000,period,151,0,0
