component_scope,initial_state_id,scale_value,scale_source,single_period_D_physical_upper_kg,three_period_D_physical_upper_kg,maximum_nominal_finite_C_km,maximum_nominal_same_coordinate_C_difference_km,physical_or_local_normalized_maximum_current,physical_or_local_normalized_maximum_matched,current_to_matched_scale_ratio,observed_minimum,observed_maximum,weight,observed_maximum_weighted_contribution,theoretical_maximum_weighted_contribution,scale_assessment,implied_single_period_D_scale
D_PERIOD_CURRENT,7,423.587813326787,state nominal R15000 aggregate-D L1 diameter,202.656629299294,607.969887897881,NaN,NaN,0.478428847391015,1.43528654217304,0.333333333333333,0,0.318952564927343,0.6,0.191371538956406,0.287057308434609,MISMATCH_EXTRA_ONE_THIRD,141.195937775596
CTILDE_PERIOD_SELECTED,7,357.152644741608,global topology/model path-value bound,NaN,NaN,129.024752116107,117.808534620188,1,1,1,0,0.171787579093577,0.4,0.0687150316374308,0.4,MATCHED_BUT_CONSERVATIVE,NaN
TOTAL_PERIOD_SELECTED,7,NaN,0.6 D plus 0.4 Ctilde,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.224266796600104,1,0.224266796600104,0.687057308434609,TOTAL_NOT_REQUIRED_IN_UNIT_INTERVAL,NaN
D_PERIOD_CURRENT,9,607.969887897881,state nominal R15000 aggregate-D L1 diameter,202.656629299294,607.969887897881,NaN,NaN,0.333333333332785,0.999999999998355,0.333333333333333,0,0.333333333332785,0.6,0.199999999999671,0.199999999999671,MISMATCH_EXTRA_ONE_THIRD,202.656629299294
CTILDE_PERIOD_SELECTED,9,357.152644741608,global topology/model path-value bound,NaN,NaN,129.024752116107,117.808534620188,1,1,1,0,0.632856581771599,0.4,0.25314263270864,0.4,MATCHED_BUT_CONSERVATIVE,NaN
TOTAL_PERIOD_SELECTED,9,NaN,0.6 D plus 0.4 Ctilde,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.452465615846342,1,0.452465615846342,0.599999999999671,TOTAL_NOT_REQUIRED_IN_UNIT_INTERVAL,NaN
D_PERIOD_CURRENT,11,607.969887897881,state nominal R15000 aggregate-D L1 diameter,202.656629299294,607.969887897881,NaN,NaN,0.333333333332785,0.999999999998355,0.333333333333333,0,0.333333333332785,0.6,0.199999999999671,0.199999999999671,MISMATCH_EXTRA_ONE_THIRD,202.656629299294
CTILDE_PERIOD_SELECTED,11,357.152644741608,global topology/model path-value bound,NaN,NaN,129.024752116107,117.808534620188,1,1,1,0,0.519116464424347,0.4,0.207646585769739,0.4,MATCHED_BUT_CONSERVATIVE,NaN
TOTAL_PERIOD_SELECTED,11,NaN,0.6 D plus 0.4 Ctilde,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.345504240427839,1,0.345504240427839,0.599999999999671,TOTAL_NOT_REQUIRED_IN_UNIT_INTERVAL,NaN
D_PERIOD_CURRENT,19,607.969887897881,state nominal R15000 aggregate-D L1 diameter,202.656629299294,607.969887897881,NaN,NaN,0.333333333332785,0.999999999998355,0.333333333333333,0,0.333333333332785,0.6,0.199999999999671,0.199999999999671,MISMATCH_EXTRA_ONE_THIRD,202.656629299294
CTILDE_PERIOD_SELECTED,19,357.152644741608,global topology/model path-value bound,NaN,NaN,129.024752116107,117.808534620188,1,1,1,0,0.884828248812529,0.4,0.353931299525012,0.4,MATCHED_BUT_CONSERVATIVE,NaN
TOTAL_PERIOD_SELECTED,19,NaN,0.6 D plus 0.4 Ctilde,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.553931299524683,1,0.553931299524683,0.599999999999671,TOTAL_NOT_REQUIRED_IN_UNIT_INTERVAL,NaN
CTILDE_NOMINAL_FINITE_LOCAL,0,357.152644741608,global topology/model path-value bound,NaN,NaN,129.024752116107,117.808534620188,0.32985485717296,1,NaN,0,0.32985485717296,0.4,0.131941942869184,0.4,MATCHED_BUT_CONSERVATIVE,NaN
