initial_state_id,T_label,eta,parent_id,child_id,nominal_conditional_probability,worst_conditional_probability,probability_shift
7,ZERO,0.001,s7:n2:a=4|loc=8|lfw=0>a=4|loc=7|lfw=1,s7:n3:a=4|loc=8|lfw=0>a=4|loc=7|lfw=1>a=4|loc=8|lfw=2,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=3|loc=8|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=3|loc=8|lfw=1>a=2|loc=7|lfw=2>a=2|loc=7|lfw=2,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=3|loc=7|lfw=1>a=3|loc=6|lfw=2,s7:n3:a=3|loc=7|lfw=1>a=3|loc=6|lfw=2>a=3|loc=6|lfw=3,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=3|loc=4|lfw=0>a=2|loc=6|lfw=0,s7:n3:a=3|loc=4|lfw=0>a=2|loc=6|lfw=0>a=2|loc=5|lfw=1,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=2>a=2|loc=8|lfw=3,s7:n3:a=2|loc=9|lfw=2>a=2|loc=8|lfw=3>a=2|loc=9|lfw=2,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=2>a=2|loc=7|lfw=3,s7:n3:a=2|loc=9|lfw=2>a=2|loc=7|lfw=3>a=1|loc=7|lfw=3,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=1>a=4|loc=10|lfw=2,s7:n3:a=2|loc=9|lfw=1>a=4|loc=10|lfw=2>a=3|loc=10|lfw=3,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=1>a=2|loc=9|lfw=1,s7:n3:a=2|loc=9|lfw=1>a=2|loc=9|lfw=1>a=1|loc=10|lfw=2,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=1>a=2|loc=8|lfw=2,s7:n3:a=2|loc=9|lfw=1>a=2|loc=8|lfw=2>a=2|loc=9|lfw=2,0.5,0.5,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=1>a=2|loc=8|lfw=2,s7:n3:a=2|loc=9|lfw=1>a=2|loc=8|lfw=2>a=1|loc=7|lfw=3,0.5,0.5,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=1>a=2|loc=8|lfw=1,s7:n3:a=2|loc=9|lfw=1>a=2|loc=8|lfw=1>a=2|loc=9|lfw=2,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=9|lfw=1>a=2|loc=7|lfw=2>a=2|loc=7|lfw=3,1.0,1.0,0.0
7,ZERO,0.001,s7:n2:a=2|loc=9|lfw=1>a=2|loc=10|lfw=2,s7:n3:a=2|loc=9|lfw=1>a=2|loc=10|lfw=2>a=2|loc=10|lfw=1,0.2,0.2,0.0
