initial_state_id,original_path_records,unique_full_paths,duplicate_path_records,duplicated_leaf_nodes,maximum_duplicate_frequency,empirical_probability_mass,observed_unique_theoretical_probability_mass
1,15000,5525,9475,2267,94,1.0,0.7885203730420223
2,15000,5648,9352,2327,102,1.0000000000000002,0.7708706126329037
3,15000,5807,9193,2300,87,1.0,0.7706694739969708
4,15000,5856,9144,2280,86,1.0,0.76524129598734
5,15000,5782,9218,2272,77,1.0000000000000002,0.7680386128481272
6,15000,5562,9438,2224,89,1.0,0.7768156333832892
7,15000,5266,9734,2177,106,1.0,0.7892712024009112
8,15000,7828,7172,2489,42,1.0000000000000002,0.6405734246474093
9,15000,8098,6902,2454,33,1.0,0.6265541064535154
10,15000,8114,6886,2492,40,1.0000000000000002,0.6159102231313912
11,15000,8146,6854,2454,37,1.0000000000000002,0.6122286444752425
12,15000,8161,6839,2512,35,1.0,0.6204603692976833
13,15000,8019,6981,2481,45,1.0000000000000002,0.630778277107914
14,15000,7731,7269,2403,43,1.0,0.648347208655059
15,15000,8037,6963,2319,50,1.0,0.6091438895716825
16,15000,8407,6593,2314,50,1.0000000000000002,0.5967552698739532
17,15000,8440,6560,2277,50,1.0,0.5920367329735302
18,15000,8503,6497,2298,59,1.0000000000000002,0.5887886837011065
19,15000,8464,6536,2287,55,1.0000000000000002,0.5943086561456573
20,15000,8236,6764,2326,62,1.0000000000000002,0.6079147011278522
21,15000,8026,6974,2290,76,1.0,0.6242965336445587
22,15000,7092,7908,2242,65,1.0,0.6815597551676803
23,15000,7226,7774,2316,71,1.0,0.6673452069431373
24,15000,7490,7510,2264,66,1.0,0.6653978871586717
25,15000,7332,7668,2270,68,1.0000000000000002,0.6611967211243572
26,15000,7300,7700,2314,60,1.0000000000000002,0.6621089577106191
27,15000,7158,7842,2270,71,1.0,0.6703377082946986
28,15000,6862,8138,2223,101,1.0,0.6871809910455431
29,15000,7369,7631,2467,54,1.0000000000000002,0.6716053631526014
30,15000,7512,7488,2487,49,1.0,0.6555288894622389
31,15000,7698,7302,2423,61,1.0000000000000002,0.6512678998836967
32,15000,7803,7197,2445,51,1.0,0.6492580382898078
33,15000,7657,7343,2454,50,1.0000000000000002,0.655134538577586
34,15000,7589,7411,2445,46,1.0000000000000002,0.6655992322188695
35,15000,7140,7860,2457,55,1.0000000000000002,0.6829707046821223
