initial_state_id,parent_node_id,parent_stage,sample_support_count,effective_sample_size,parent_probability_mass,child_count,single_child,descendant_unique_leaf_count,descendant_leaf_probability_mass,support_bin
1,s1:n1:a=1|loc=-2|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
1,s1:n1:a=3|loc=-1|lfw=0,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
1,s1:n1:a=3|loc=2|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
1,s1:n1:a=4|loc=-2|lfw=0,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
1,s1:n1:a=4|loc=4|lfw=0,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
2,s2:n1:a=1|loc=0|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
2,s2:n1:a=1|loc=5|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
2,s2:n1:a=3|loc=1|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
2,s2:n1:a=3|loc=2|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
2,s2:n1:a=3|loc=3|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
2,s2:n1:a=4|loc=-1|lfw=1,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
2,s2:n1:a=4|loc=5|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
3,s3:n1:a=1|loc=0|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
3,s3:n1:a=3|loc=0|lfw=0,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
3,s3:n1:a=3|loc=2|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
3,s3:n1:a=3|loc=4|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
3,s3:n1:a=3|loc=6|lfw=0,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
3,s3:n1:a=4|loc=4|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
4,s4:n1:a=3|loc=3|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
4,s4:n1:a=3|loc=4|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
4,s4:n1:a=3|loc=5|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
4,s4:n1:a=4|loc=1|lfw=0,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
4,s4:n1:a=4|loc=1|lfw=1,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
4,s4:n1:a=4|loc=2|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
4,s4:n1:a=4|loc=6|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
5,s5:n1:a=3|loc=3|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
5,s5:n1:a=3|loc=5|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
5,s5:n1:a=3|loc=6|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
5,s5:n1:a=3|loc=7|lfw=2,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
5,s5:n1:a=3|loc=8|lfw=0,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
5,s5:n1:a=4|loc=2|lfw=1,1,1,1.0,6.666666666666667e-05,1,1,1,6.666666666666667e-05,1
