file,line,function_or_scope,variable_or_formula,evidence_snippet,meaning
terminalLoh_wdro\src\run_stage2a2_W3_path_sampling_convergence_h2.m,34,run_stage2a2_W3_path_sampling_convergence_h2,mainSeed = 20260706;,mainSeed = 20260706;,fixed main-sample seed
terminalLoh_wdro\src\run_stage2a2_W3_path_sampling_convergence_h2.m,384,run_stage2a2_W3_path_sampling_convergence_h2,"aPath=sample_chain(PA,a0,rand(rowsPerInitial,W));","aPath=sample_chain(PA,a0,rand(rowsPerInitial,W));",ordinary Monte Carlo intensity chain
terminalLoh_wdro\src\run_stage2a2_W3_path_sampling_convergence_h2.m,214,run_stage2a2_W3_path_sampling_convergence_h2,"locPath=sample_chain(PLoc,loc0-locStates(1)+1,","locPath=sample_chain(PLoc,loc0-locStates(1)+1,rand(maxN,W));",ordinary Monte Carlo location chain
terminalLoh_wdro\src\run_stage2a2_W3_path_sampling_convergence_h2.m,387,run_stage2a2_W3_path_sampling_convergence_h2,"lfwPath=sample_chain(PLfw,lfwInitial+1,rand(rowsPerInitial,W));","lfwPath=sample_chain(PLfw,lfwInitial+1,rand(rowsPerInitial,W));",ordinary Monte Carlo lfw chain
terminalLoh_wdro\src\run_stage2a2_W3_path_sampling_convergence_h2.m,388,run_stage2a2_W3_path_sampling_convergence_h2,"probability=path_probability(PA,PLoc,PLfw,a0,","probability=path_probability(PA,PLoc,PLfw,a0, ...",stored theoretical path probability
terminalLoh_wdro\src\run_stage2a2_W3_path_sampling_convergence_h2.m,628,run_stage2a2_W3_path_sampling_convergence_h2,function probability=path_probability,"function probability=path_probability(PA,PLoc,PLfw,a0,loc0,lfw0, ...",three-stage probability product function
terminalLoh_wdro\docs\FORMAL_TWO_STAGE_THREE_PERIOD_MODEL.md,87,FORMAL_TWO_STAGE_THREE_PERIOD_MODEL,equal empirical scenario weight `1/R`,- equal empirical scenario weight `1/R`;,formal SAA empirical weighting
terminalLoh_wdro\config\lookahead_intensity_postlandfall_W3.csv,1,transition configuration,prob,"columns=['from_a', 'to_a', 'prob'] rows=22",explicit component conditional transition probabilities
terminalLoh_wdro\config\lookahead_location_postlandfall_W3.csv,1,transition configuration,prob,"columns=['from_loc_id', 'to_loc_id', 'prob'] rows=79",explicit component conditional transition probabilities
terminalLoh_wdro\config\lookahead_lfw_postlandfall_W3.csv,1,transition configuration,prob,"columns=['from_lfw', 'to_lfw', 'prob'] rows=12",explicit component conditional transition probabilities
