initial_state_id,node_id,stage,parent_id,native_state,prefix_key,sample_support_count,nominal_probability_mass
19,s19:root,0,,a=4|loc=5|lfw=0,a=4|loc=5|lfw=0,15000,1.0
19,s19:n1:a=4|loc=4|lfw=1,1,s19:root,a=4|loc=4|lfw=1,a=4|loc=4|lfw=1,1859,0.12393333333333334
19,s19:n2:a=4|loc=4|lfw=1>a=4|loc=3|lfw=2,2,s19:n1:a=4|loc=4|lfw=1,a=4|loc=3|lfw=2,a=4|loc=4|lfw=1>a=4|loc=3|lfw=2,237,0.0158
19,s19:n3:a=4|loc=4|lfw=1>a=4|loc=3|lfw=2>a=5|loc=5|lfw=3,3,s19:n2:a=4|loc=4|lfw=1>a=4|loc=3|lfw=2,a=5|loc=5|lfw=3,a=4|loc=4|lfw=1>a=4|loc=3|lfw=2>a=5|loc=5|lfw=3,4,0.0002666666666666667
19,s19:n1:a=4|loc=4|lfw=2,1,s19:root,a=4|loc=4|lfw=2,a=4|loc=4|lfw=2,51,0.0034
19,s19:n2:a=4|loc=4|lfw=2>a=4|loc=5|lfw=3,2,s19:n1:a=4|loc=4|lfw=2,a=4|loc=5|lfw=3,a=4|loc=4|lfw=2>a=4|loc=5|lfw=3,7,0.00046666666666666666
19,s19:n3:a=4|loc=4|lfw=2>a=4|loc=5|lfw=3>a=4|loc=4|lfw=3,3,s19:n2:a=4|loc=4|lfw=2>a=4|loc=5|lfw=3,a=4|loc=4|lfw=3,a=4|loc=4|lfw=2>a=4|loc=5|lfw=3>a=4|loc=4|lfw=3,2,0.00013333333333333334
19,s19:n1:a=4|loc=5|lfw=1,1,s19:root,a=4|loc=5|lfw=1,a=4|loc=5|lfw=1,1495,0.09966666666666667
19,s19:n2:a=4|loc=5|lfw=1>a=5|loc=5|lfw=1,2,s19:n1:a=4|loc=5|lfw=1,a=5|loc=5|lfw=1,a=4|loc=5|lfw=1>a=5|loc=5|lfw=1,1,6.666666666666667e-05
19,s19:n3:a=4|loc=5|lfw=1>a=5|loc=5|lfw=1>a=5|loc=7|lfw=2,3,s19:n2:a=4|loc=5|lfw=1>a=5|loc=5|lfw=1,a=5|loc=7|lfw=2,a=4|loc=5|lfw=1>a=5|loc=5|lfw=1>a=5|loc=7|lfw=2,1,6.666666666666667e-05
19,s19:n1:a=4|loc=4|lfw=0,1,s19:root,a=4|loc=4|lfw=0,a=4|loc=4|lfw=0,565,0.03766666666666667
19,s19:n2:a=4|loc=4|lfw=0>a=3|loc=5|lfw=1,2,s19:n1:a=4|loc=4|lfw=0,a=3|loc=5|lfw=1,a=4|loc=4|lfw=0>a=3|loc=5|lfw=1,20,0.0013333333333333333
19,s19:n3:a=4|loc=4|lfw=0>a=3|loc=5|lfw=1>a=3|loc=4|lfw=2,3,s19:n2:a=4|loc=4|lfw=0>a=3|loc=5|lfw=1,a=3|loc=4|lfw=2,a=4|loc=4|lfw=0>a=3|loc=5|lfw=1>a=3|loc=4|lfw=2,5,0.0003333333333333333
19,s19:n1:a=5|loc=5|lfw=1,1,s19:root,a=5|loc=5|lfw=1,a=5|loc=5|lfw=1,121,0.008066666666666666
19,s19:n2:a=5|loc=5|lfw=1>a=5|loc=6|lfw=2,2,s19:n1:a=5|loc=5|lfw=1,a=5|loc=6|lfw=2,a=5|loc=5|lfw=1>a=5|loc=6|lfw=2,25,0.0016666666666666668
19,s19:n3:a=5|loc=5|lfw=1>a=5|loc=6|lfw=2>a=5|loc=4|lfw=1,3,s19:n2:a=5|loc=5|lfw=1>a=5|loc=6|lfw=2,a=5|loc=4|lfw=1,a=5|loc=5|lfw=1>a=5|loc=6|lfw=2>a=5|loc=4|lfw=1,1,6.666666666666667e-05
19,s19:n2:a=4|loc=4|lfw=1>a=4|loc=5|lfw=0,2,s19:n1:a=4|loc=4|lfw=1,a=4|loc=5|lfw=0,a=4|loc=4|lfw=1>a=4|loc=5|lfw=0,17,0.0011333333333333334
19,s19:n3:a=4|loc=4|lfw=1>a=4|loc=5|lfw=0>a=4|loc=3|lfw=0,3,s19:n2:a=4|loc=4|lfw=1>a=4|loc=5|lfw=0,a=4|loc=3|lfw=0,a=4|loc=4|lfw=1>a=4|loc=5|lfw=0>a=4|loc=3|lfw=0,1,6.666666666666667e-05
19,s19:n1:a=3|loc=6|lfw=1,1,s19:root,a=3|loc=6|lfw=1,a=3|loc=6|lfw=1,587,0.03913333333333333
19,s19:n2:a=3|loc=6|lfw=1>a=2|loc=8|lfw=2,2,s19:n1:a=3|loc=6|lfw=1,a=2|loc=8|lfw=2,a=3|loc=6|lfw=1>a=2|loc=8|lfw=2,14,0.0009333333333333333
