initial_state_id,parent_id,child_id,parent_stage,child_stage,parent_native_state,child_native_state,parent_support_count,child_support_count,nominal_conditional_probability,theoretical_transition_probability
7,s7:root,s7:n1:a=1|loc=6|lfw=1,0,1,a=2|loc=7|lfw=0,a=1|loc=6|lfw=1,15000,329,0.021933333333333332,0.02343
7,s7:n1:a=1|loc=6|lfw=1,s7:n2:a=1|loc=6|lfw=1>a=1|loc=9|lfw=0,1,2,a=1|loc=6|lfw=1,a=1|loc=9|lfw=0,329,1,0.00303951367781155,0.0025000000000000005
7,s7:n2:a=1|loc=6|lfw=1>a=1|loc=9|lfw=0,s7:n3:a=1|loc=6|lfw=1>a=1|loc=9|lfw=0>a=1|loc=8|lfw=1,2,3,a=1|loc=9|lfw=0,a=1|loc=8|lfw=1,1,1,1.0,0.20121951219512174
7,s7:root,s7:n1:a=2|loc=8|lfw=1,0,1,a=2|loc=7|lfw=0,a=2|loc=8|lfw=1,15000,2630,0.17533333333333334,0.17661000000000002
7,s7:n1:a=2|loc=8|lfw=1,s7:n2:a=2|loc=8|lfw=1>a=2|loc=6|lfw=2,1,2,a=2|loc=8|lfw=1,a=2|loc=6|lfw=2,2630,165,0.06273764258555133,0.06639473684210537
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=6|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=6|lfw=2>a=1|loc=9|lfw=3,2,3,a=2|loc=6|lfw=2,a=1|loc=9|lfw=3,165,1,0.006060606060606061,0.005325
7,s7:root,s7:n1:a=2|loc=6|lfw=1,0,1,a=2|loc=7|lfw=0,a=2|loc=6|lfw=1,15000,2065,0.13766666666666666,0.138765
7,s7:n1:a=2|loc=6|lfw=1,s7:n2:a=2|loc=6|lfw=1>a=2|loc=7|lfw=1,1,2,a=2|loc=6|lfw=1,a=2|loc=7|lfw=1,2065,88,0.04261501210653753,0.042386400000000005
7,s7:n2:a=2|loc=6|lfw=1>a=2|loc=7|lfw=1,s7:n3:a=2|loc=6|lfw=1>a=2|loc=7|lfw=1>a=1|loc=7|lfw=2,2,3,a=2|loc=7|lfw=1,a=1|loc=7|lfw=2,88,3,0.03409090909090909,0.019169999999999996
7,s7:root,s7:n1:a=1|loc=5|lfw=0,0,1,a=2|loc=7|lfw=0,a=1|loc=5|lfw=0,15000,42,0.0028,0.003266
7,s7:n1:a=1|loc=5|lfw=0,s7:n2:a=1|loc=5|lfw=0>a=1|loc=5|lfw=1,1,2,a=1|loc=5|lfw=0,a=1|loc=5|lfw=1,42,8,0.19047619047619047,0.135
