initial_state_id,parent_stage,parent_node_count,theoretical_positive_child_count,observed_unique_native_child_count,theoretical_positive_unobserved_child_count,mean_coverage_share,probability_mass_weighted_coverage_share
1,0,1,84,71,13,0.8452380952380952,0.8452380952380952
1,1,71,5265,1113,4152,0.296038313212609,0.5848089477513235
1,2,1113,66002,5525,60477,0.1270401745603902,0.32222667989418274
2,0,1,84,71,13,0.8452380952380952,0.8452380952380952
2,1,71,5730,1145,4585,0.2774522132796781,0.5477399338624342
2,2,1145,70890,5648,65242,0.12005048693422056,0.31101643320106137
3,0,1,84,73,11,0.8690476190476191,0.8690476190476191
3,1,73,6090,1192,4898,0.2814117199391172,0.5588394576719583
3,2,1192,74085,5807,68278,0.1142062992702674,0.30525561309524113
4,0,1,84,73,11,0.8690476190476191,0.8690476190476191
4,1,73,6279,1196,5083,0.27469015003261577,0.5616211507936514
4,2,1196,75712,5856,69856,0.11513827507034029,0.30073222354497675
5,0,1,84,73,11,0.8690476190476191,0.8690476190476191
5,1,73,6075,1178,4897,0.2746847140682757,0.5542214814814822
5,2,1178,72049,5782,66267,0.11571519524617997,0.3090760013227549
6,0,1,84,71,13,0.8452380952380952,0.8452380952380952
6,1,71,5655,1141,4514,0.27725743348982784,0.5578124550264556
6,2,1141,70990,5562,65428,0.1188275044168997,0.30812037830688127
7,0,1,84,69,15,0.8214285714285714,0.8214285714285714
7,1,69,5139,1057,4082,0.29215306533241314,0.560926415343916
7,2,1057,62636,5266,57370,0.12914181971537694,0.32975308179012663
8,0,1,105,93,12,0.8857142857142857,0.8857142857142857
8,1,93,7492,1835,5657,0.23892003754906982,0.5016390575396832
8,2,1835,141914,7828,134086,0.06529677926271932,0.1876200268959467
9,0,1,105,90,15,0.8571428571428571,0.8571428571428571
9,1,90,7768,1862,5906,0.23377888007054676,0.4884100780423286
9,2,1862,149949,8098,141851,0.06195750146340909,0.18403475044092024
10,0,1,105,92,13,0.8761904761904762,0.8761904761904762
10,1,92,8280,1890,6390,0.22258993271221533,0.48729669973545037
10,2,1890,155102,8114,146988,0.06046697845804988,0.17785234920635226
11,0,1,105,95,10,0.9047619047619048,0.9047619047619048
11,1,95,8638,1926,6712,0.22289473684210528,0.48758797619047684
11,2,1926,157505,8146,149359,0.05893991714604383,0.1793781571869521
12,0,1,105,90,15,0.8571428571428571,0.8571428571428571
12,1,90,8091,1895,6196,0.22998126102292768,0.48048254629629683
12,2,1895,155565,8161,147404,0.06108304016417473,0.1791165701058233
13,0,1,105,92,13,0.8761904761904762,0.8761904761904762
13,1,92,7942,1848,6094,0.23521437198067632,0.4739156216931222
13,2,1848,145850,8019,137831,0.0652541786916787,0.18714116865079705
14,0,1,105,94,11,0.8952380952380953,0.8952380952380953
14,1,94,7633,1774,5859,0.23361427727119213,0.5005842242063498
14,2,1774,134039,7731,126308,0.06950928088258979,0.20204951917989758
15,0,1,105,94,11,0.8952380952380953,0.8952380952380953
15,1,94,8385,1850,6535,0.1940812858831476,0.4978617217813061
15,2,1850,164846,8037,156809,0.04839528457028457,0.19112323831570077
16,0,1,105,97,8,0.9238095238095239,0.9238095238095239
16,1,97,9186,1980,7206,0.18737031582392408,0.4986590185185192
16,2,1980,182086,8407,173679,0.04539375901875902,0.17778504012346064
17,0,1,105,93,12,0.8857142857142857,0.8857142857142857
17,1,93,9282,1980,7302,0.18851339819081755,0.48530900793650883
17,2,1980,187585,8440,179145,0.043764618740313184,0.17668470017637075
18,0,1,105,94,11,0.8952380952380953,0.8952380952380953
18,1,94,9471,2036,7435,0.18866514690982777,0.49999859788359863
18,2,2036,194315,8503,185812,0.042666852800386686,0.1698680469576757
19,0,1,105,97,8,0.9238095238095239,0.9238095238095239
19,1,97,9534,2018,7516,0.18517904870997656,0.4808256657848333
19,2,2018,189794,8464,181330,0.0437323939045941,0.17638275992063893
20,0,1,105,91,14,0.8666666666666667,0.8666666666666667
20,1,91,8742,1900,6842,0.19246816675388104,0.4929500820105829
20,2,1900,175192,8236,166956,0.04652977582846004,0.18425239351852263
21,0,1,105,96,9,0.9142857142857143,0.9142857142857143
21,1,96,8502,1888,6614,0.19632898616622574,0.5004966421957681
21,2,1888,166583,8026,158557,0.049224857566025466,0.19825709104938682
22,0,1,84,74,10,0.8809523809523809,0.8809523809523809
22,1,74,6593,1519,5074,0.21849626412126413,0.5247486353615527
22,2,1519,139086,7092,131994,0.053026416275675656,0.22628802182540075
23,0,1,84,74,10,0.8809523809523809,0.8809523809523809
23,1,74,7145,1570,5575,0.20929590304590304,0.5261621146384484
23,2,1570,149805,7226,142579,0.04969950586391669,0.218213443783073
24,0,1,84,73,11,0.8690476190476191,0.8690476190476191
24,1,73,7341,1594,5747,0.2071424041458288,0.5122248192239865
24,2,1594,154459,7490,146969,0.0492500502048024,0.21350856679894578
25,0,1,84,75,9,0.8928571428571429,0.8928571428571429
25,1,75,7595,1571,6024,0.19580687830687832,0.5182398941798948
25,2,1571,153878,7332,146546,0.04877086638106689,0.20968876565256114
26,0,1,84,70,14,0.8333333333333334,0.8333333333333334
26,1,70,7116,1558,5558,0.21191326530612245,0.5072258862433869
26,2,1558,151231,7300,143931,0.04962431697468604,0.2130473093033552
27,0,1,84,75,9,0.8928571428571429,0.8928571428571429
27,1,75,7184,1562,5622,0.20689144620811287,0.5176279065255739
27,2,1562,147499,7158,140341,0.05051788424147579,0.2185843492063531
28,0,1,84,74,10,0.8809523809523809,0.8809523809523809
28,1,74,6641,1490,5151,0.21590487809237807,0.5339387973985898
28,2,1490,135170,6862,128308,0.05379349543695181,0.22580399360670597
29,0,1,63,59,4,0.9365079365079365,0.9365079365079365
29,1,59,4800,1420,3380,0.3117560644785221,0.5666055742945332
29,2,1420,119623,7369,112254,0.06566372540800358,0.216854531966494
30,0,1,63,60,3,0.9523809523809523,0.9523809523809523
30,1,60,5220,1475,3745,0.2941058201058201,0.5532021296296301
30,2,1475,128460,7512,120948,0.061614682539682546,0.20730538029100876
31,0,1,63,57,6,0.9047619047619048,0.9047619047619048
31,1,57,5160,1512,3648,0.3075924765617748,0.562218813932981
31,2,1512,133430,7698,125732,0.06002409297052154,0.20976566931217344
32,0,1,63,58,5,0.9206349206349206,0.9206349206349206
32,1,58,5397,1526,3871,0.3011665298303229,0.5590815476190482
32,2,1526,136846,7803,129043,0.059288839134022615,0.20341166291887497
33,0,1,63,62,1,0.9841269841269841,0.9841269841269841
33,1,62,5655,1526,4129,0.28523852193207033,0.5603437037037043
33,2,1526,136244,7657,128587,0.05958375156892522,0.2044792268518554
34,0,1,63,60,3,0.9523809523809523,0.9523809523809523
34,1,60,5220,1458,3762,0.29388767636684304,0.5602487848324522
34,2,1458,126503,7589,118914,0.06423624492854603,0.21364262940917475
35,0,1,63,59,4,0.9365079365079365,0.9365079365079365
35,1,59,4785,1429,3356,0.31840014348488926,0.5793942888007061
35,2,1429,118718,7140,111578,0.0647531018472236,0.2222303897707269
