initial_state_id,R,eta,working_set_after_case_bytes,peak_working_set_bytes,case_runtime_sec
7,100,0,1768415232,1768415232,0.0805193
7,100,0.001,1768415232,1768415232,0.0179144
7,100,0.01,1768415232,1768415232,0.0115516
7,100,0.05,1768415232,1768415232,0.0210958
7,500,0,1768415232,1768415232,0.0549674
7,500,0.001,1768415232,1768415232,0.0165098
7,500,0.01,1768415232,1768415232,0.016187
7,500,0.05,1768415232,1768415232,0.009817
7,2000,0,1768415232,1768415232,0.0167363
7,2000,0.01,1768415232,1768415232,0.0236451
19,100,0,1768415232,1768415232,0.0671105
19,100,0.001,1768415232,1768415232,0.1180362
19,100,0.01,1768415232,1768415232,0.0798914
19,100,0.05,1768415232,1768415232,0.0843828
19,500,0,1768415232,1768415232,0.3680497
19,500,0.001,1768415232,1768415232,0.8340125
19,500,0.01,1768415232,1768415232,0.697135
19,500,0.05,1768415232,1768415232,0.7180356
19,2000,0,1803726848,1803726848,1.413271
19,2000,0.01,1803726848,1803726848,14.1038122
19,5000,0,2186530816,2186530816,3.0275645
19,5000,0.01,2186530816,2186530816,13.6560465
19,15000,0,3431006208,3431006208,10.9842459
19,15000,0.01,3431006208,3431006208,51.0032209
