initial_state_id,R,eta,exact_group_count,variable_count,service_variable_count,shortage_variable_count,linear_constraint_count,linear_matrix_nnz,quadratic_constraint_count,build_runtime_sec,solve_runtime_sec,fixed_T_runtime_sec,constructed_R_by_R_matrix
7,100,0,2,119,92,23,31,215,0,0.0100479,0.0018097,0.0016894,0
7,100,0.001,2,127,92,23,35,337,2,0.0051878,0.002591,0.0014779,0
7,100,0.01,2,127,92,23,35,337,2,0.0019782,0.0024013,0.0014304,0
7,100,0.05,2,127,92,23,35,337,2,0.0055037,0.0037605,0.0018966,0
7,500,0,6,528,411,113,137,959,0,0.0078857,0.0038111,0.0025234,0
7,500,0.001,6,548,411,113,149,1496,6,0.0020045,0.0050221,0.0028919,0
7,500,0.01,6,548,411,113,149,1496,6,0.0057698,0.0046453,0.0021673,0
7,500,0.05,6,548,411,113,149,1496,6,0.0013236,0.004579,0.0021241,0
7,2000,0,15,1696,1336,356,416,3088,0,0.0007543,0.0066652,0.0053153,0
7,2000,0.01,15,1743,1336,356,446,4800,15,0.0007986,0.0137535,0.0063,0
19,100,0,47,7418,5740,1674,1862,13342,0,0.0019738,0.0323495,0.0270341,0
19,100,0.001,47,7561,5740,1674,1956,20732,47,0.0061916,0.0766655,0.0296437,0
19,100,0.01,47,7561,5740,1674,1956,20732,47,0.0037751,0.0540622,0.018216,0
19,100,0.05,47,7561,5740,1674,1956,20732,47,0.0030604,0.0558296,0.0217761,0
19,500,0,256,43015,33274,9737,10761,77309,0,0.0078026,0.1579468,0.1783479,0
19,500,0.001,256,43785,33274,9737,11273,120085,256,0.0389863,0.6246492,0.1460547,0
19,500,0.01,256,43785,33274,9737,11273,120085,256,0.0376961,0.4675997,0.1572372,0
19,500,0.05,256,43785,33274,9737,11273,120085,256,0.0361581,0.5017772,0.1506653,0
19,2000,0,1028,185535,144115,41416,45528,333758,0,0.0312323,0.8293489,0.5014596,0
19,2000,0.01,1028,5,NaN,NaN,24,120,0,0.184372,13.6427492,0.4196189,0
19,5000,0,2473,461840,358827,103009,112901,830555,0,0.064935,1.6555941,1.1933978,0
19,5000,0.01,2473,5,NaN,NaN,10,50,0,0.0121135,12.4016194,1.1677039,0
19,15000,0,7334,1397150,1084164,312982,342318,2510646,0,0.2019531,6.3285398,4.1723695,0
19,15000,0.01,7334,5,NaN,NaN,11,55,0,0.0138768,46.6261406,4.1232024,0
