initial_state_id,R,exact_group_count,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,first_stage_cost,nominal_expected_recourse,worst_expected_recourse,complete_objective,nominal_complete_objective,worst_probability_ESS,divergence_used,strong_duality_gap,strong_duality_relative_gap,probability_sum_residual,minimum_probability,max_demand_balance_error,max_site_capacity_violation,qcp_residual,maximum_risk_linear_violation,maximum_mechanical_residual,optimization_build_runtime_sec,optimization_solve_runtime_sec,fixed_T_build_runtime_sec,fixed_T_solve_runtime_sec,case_runtime_sec,variable_count,linear_constraint_count,quadratic_constraint_count,service_variable_count,shortage_variable_count,solver_status,audit_status,audit_pass
7,100,2,0,19.6383274691105,39.5494094864032,8.18263644546273,54.5509096364182,121.921283037395,243.842566074789,8.59078049623756,8.59078049623756,252.433346571027,252.433346571027,100,0,0,0,2.22044604925031e-16,0.01,0,0,0,NaN,1.13686837721616e-13,0.0100479,0.0018097,0.0050422,0.0016894,0.0805193,119,31,0,92,23,OPTIMAL,PASS,1
7,100,2,0.001,19.6383260031099,39.549300894598,8.18274585530519,54.5509102508289,121.921283003842,243.842566007684,8.59078133056312,11.29380757222,255.136373579904,252.433347338247,99.9000999000999,0.001,7.47762623198867e-06,6.62099666934454e-07,2.22044604925031e-16,0.00996821791369181,1.77635683940025e-15,0,-8.56118276715279e-15,-3.78176991944201e-13,1.13686837721616e-13,0.0051878,0.002591,0.0009387,0.0014779,0.0179144,127,35,2,92,23,OPTIMAL,PASS,1
7,100,2,0.01,19.6383199437824,39.548856133551,8.18319399319841,54.5509127995639,121.921282870096,243.842565740191,8.5907846788461,17.138507509186,260.981073249377,252.433350419037,99.009900990099,0.01,7.41781809274755e-05,4.32815873189174e-06,0,0.00989949621847408,1.77635683940025e-15,0,-1.803496805951e-12,-2.37013978221512e-12,1.77635683940025e-15,0.0019782,0.0024013,0.0007022,0.0014304,0.0115516,127,35,2,92,23,OPTIMAL,PASS,1
7,100,2,0.05,19.6383249987772,39.5492099492629,8.18283735942753,54.5509106761468,121.921282983614,243.842565967229,8.59078185572672,27.7040648761495,271.546630843378,252.433347822956,95.2380952380952,0.0500000000000001,9.82869297025957e-05,3.54774399143178e-06,3.33066907387547e-16,0.00977526671251225,1.77635683940025e-15,0,-1.42942561069503e-14,-1.50998346271081e-12,1.77635683940025e-15,0.0055037,0.0037605,0.0018582,0.0018966,0.0210958,127,35,2,92,23,OPTIMAL,PASS,1
7,500,6,0,65.4610915637018,51.5506096064152,44.7317459018629,82.0991190028094,243.842566074789,487.685132149579,144.620173565894,144.620173565894,632.305305715473,632.305305715473,500.000000000001,0,0,0,6.66133814775094e-16,0.002,1.77635683940025e-15,1.4210854715202e-14,0,NaN,3.41060513164848e-13,0.0078857,0.0038111,0.0070011,0.0025234,0.0549674,528,137,0,411,113,OPTIMAL,PASS,1
7,500,6,0.001,66.2738319625034,50.7372488341856,44.733106548636,82.0983406053926,243.842527950718,487.685055901435,144.621578000004,217.528626190073,705.213682091508,632.306633901439,499.5004995005,0.001,0.000415735030571796,1.91117388940127e-06,2.1094237467878e-15,0.00199603271339081,0,0,-7.11444187164307e-10,4.66975325252861e-10,4.66975325252861e-10,0.0020045,0.0050221,0.0006385,0.0028919,0.0165098,548,149,6,411,113,OPTIMAL,PASS,1
7,500,6,0.01,66.2790718428609,50.732309822314,44.7322970157762,82.0988638871174,243.842542568069,487.685085136137,144.621515968589,375.173797754029,862.858882890166,632.306601104726,495.049504950494,0.01,0.000376889856966045,1.00457403801195e-06,3.33066907387547e-15,0.0019874543409548,0,0,-1.37421607971191e-11,-1.44640944199637e-11,4.09272615797818e-12,0.0057698,0.0046453,0.0003277,0.0021673,0.016187,548,149,6,411,113,OPTIMAL,PASS,1
7,500,6,0.05,80.187431399395,50.7311193664926,30.8250856067086,82.0989085479069,243.842544920503,487.685089841006,144.782723704451,660.116628194869,1147.80171803588,632.467813545457,476.190476190476,0.05,0.000511402213305701,7.74714938940657e-07,8.88178419700125e-16,0.00197190506534834,0,0,-7.7705354988575e-11,-4.64764252683381e-10,4.54747350886464e-13,0.0013236,0.004579,0.00035,0.0021241,0.009817,548,149,6,411,113,OPTIMAL,PASS,1
7,2000,15,0,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,498.049804980498,269.342968707714,269.342968707714,767.392773688212,767.392773688212,1999.99999999998,4.25481935223635e-31,5.6843418860808e-14,2.11044747644753e-16,6.66133814775094e-16,0.0005,3.5527136788005e-15,1.4210854715202e-14,0,NaN,4.54747350886464e-13,0.0007543,0.0066652,0.0004613,0.0053153,0.0167363,1696,416,0,1336,356,OPTIMAL,PASS,1
7,2000,15,0.01,111.280595805932,50.7357704063364,82.9166027390724,93.8281767307721,338.761145682113,677.522291364227,107.258491743062,431.444656079167,1108.96694744339,784.780783107289,1980.19801980197,0.00999999999999974,0.000495179018116687,1.14772314627029e-06,8.88178419700125e-15,0.000498345726876366,0,0,-3.42203724384308e-10,3.15052457153797e-10,3.15052457153797e-10,0.0007986,0.0137535,0.0006084,0.0063,0.0236451,1743,446,15,1336,356,OPTIMAL,PASS,1
