initial_state_id,R,eta,solver_status,audit_status,model_risk_value,independent_worst_recourse,strong_duality_gap,strong_duality_relative_gap,model_total_objective,reconstructed_total_objective,total_objective_gap,probability_sum_residual,divergence_used,pass
7,100,0,OPTIMAL,PASS,8.59078049623756,8.59078049623756,0,0,252.433346571027,252.433346571027,1.13686837721616e-13,2.22044604925031e-16,0,1
7,100,0.001,OPTIMAL,PASS,11.2938150498462,11.29380757222,7.47762623198867e-06,6.62099666934454e-07,255.13638105753,255.136373579904,7.47762635455729e-06,2.22044604925031e-16,0.001,1
7,100,0.01,OPTIMAL,PASS,17.1385816873669,17.138507509186,7.41781809274755e-05,4.32815873189174e-06,260.981147427558,260.981073249377,7.4178180909712e-05,0,0.01,1
7,100,0.05,OPTIMAL,PASS,27.7041631630792,27.7040648761495,9.82869297025957e-05,3.54774399143178e-06,271.546729130308,271.546630843378,9.8286929699043e-05,3.33066907387547e-16,0.0500000000000001,1
7,500,0,OPTIMAL,PASS,144.620173565894,144.620173565894,0,0,632.305305715472,632.305305715473,3.41060513164848e-13,6.66133814775094e-16,0,1
7,500,0.001,OPTIMAL,PASS,217.529041925103,217.528626190073,0.000415735030571796,1.91117388940127e-06,705.214097826532,705.213682091508,0.000415735023921115,2.1094237467878e-15,0.001,1
7,500,0.01,OPTIMAL,PASS,375.174174643886,375.173797754029,0.000376889856966045,1.00457403801195e-06,862.859259780027,862.858882890166,0.000376889861058771,3.33066907387547e-15,0.01,1
7,500,0.05,OPTIMAL,PASS,660.117139597082,660.116628194869,0.000511402213305701,7.74714938940657e-07,1147.80222943809,1147.80171803588,0.000511402213760448,8.88178419700125e-16,0.05,1
7,2000,0,OPTIMAL,PASS,269.342968707714,269.342968707714,5.6843418860808e-14,2.11044747644753e-16,767.392773688213,767.392773688212,3.41060513164848e-13,6.66133814775094e-16,4.25481935223635e-31,1
7,2000,0.01,OPTIMAL,PASS,431.445151258185,431.444656079167,0.000495179018116687,1.14772314627029e-06,1108.96744262242,1108.96694744339,0.000495179021072545,8.88178419700125e-15,0.00999999999999974,1
19,100,0,OPTIMAL,PASS,10181.8894076119,10181.8894076119,1.81898940354586e-12,1.78649495268138e-16,11368.371692204,11368.371692204,1.09139364212751e-11,2.22044604925031e-16,0,1
19,100,0.001,OPTIMAL,PASS,11811.5310772799,11811.5310718817,5.3982457757229e-06,4.57031839722613e-10,12998.0133618629,12998.0133564648,5.39806569577195e-06,0,0.001,1
19,100,0.01,OPTIMAL,PASS,15335.261102707,15335.2610317515,7.09554624336306e-05,4.62694846124353e-09,16521.7433872404,16521.7433162848,7.09555097273551e-05,0,0.01,1
19,100,0.05,OPTIMAL,PASS,21705.0511210626,21705.0506535745,0.000467488091089763,2.15382170053943e-08,22891.5334053075,22891.5329378195,0.000467488040158059,1.11022302462516e-16,0.05,1
19,500,0,OPTIMAL,PASS,10745.9685902251,10745.9685902251,5.45696821063757e-12,5.07815388144854e-16,11969.4554843691,11969.4554843691,6.00266503170133e-11,6.66133814775094e-16,1.88079096131566e-31,1
19,500,0.001,OPTIMAL,PASS,12166.7946688731,12166.7946561462,1.27268504002132e-05,1.04603149472766e-09,13390.2815630309,13390.2815503043,1.27266084746225e-05,1.33226762955019e-15,0.000999999999999776,1
19,500,0.01,OPTIMAL,PASS,15239.0156917966,15239.0151172718,0.000574524792682496,3.77009136260606e-08,16462.5025877227,16462.5020131979,0.000574524845433189,1.33226762955019e-15,0.00999999999999978,1
19,500,0.05,OPTIMAL,PASS,20792.7270397087,20792.7260507941,0.000988914562185528,4.7560601710893e-08,22016.2139376388,22016.2129487242,0.000988914533081697,0,0.0499999999999998,1
19,2000,0,OPTIMAL,PASS,10014.008713701,10014.008713701,5.45696821063757e-12,5.44933439409877e-16,11318.3209631075,11318.3209631078,2.18278728425503e-10,1.77635683940025e-15,5.75992231902921e-29,1
19,2000,0.01,OPTIMAL,PASS,14006.2240505354,14006.22405054,4.61295712739229e-09,3.29350516652233e-13,15330.5182979459,15330.5182979506,4.61295712739229e-09,3.5527136788005e-15,0.0100000000000126,1
19,5000,0,OPTIMAL,PASS,9399.02113323755,9399.02113323755,1.81898940354586e-12,1.93529664181029e-16,10761.6728529547,10761.672852955,2.89219315163791e-10,2.1538326677728e-14,4.57588579769629e-29,1
19,5000,0.01,OPTIMAL,PASS,12997.454910953,12997.4549109527,2.72848410531878e-10,2.09924490910874e-14,14374.1180003828,14374.1180003826,2.72848410531878e-10,8.43769498715119e-15,0.00999999999999698,1
19,15000,0,OPTIMAL,PASS,10092.0150377861,10092.0150377861,7.27595761418343e-12,7.2096182842981e-16,11444.8775967691,11444.8775967693,1.69166014529765e-10,3.17523785042795e-14,9.30439961861327e-30,1
19,15000,0.01,OPTIMAL,PASS,13916.46372892,13916.4637289198,1.56433088704944e-10,1.12408649030472e-14,15303.4012098246,15303.4012098245,1.56433088704944e-10,2.30926389122033e-14,0.00999999999999865,1
