unique_path_id,a0,loc0,lfw0,a1,loc1,lfw1,a2,loc2,lfw2,a3,loc3,lfw3,path_probability,recomputed_path_probability,path_probability_abs_error,all_transitions_positive,minimum_component_transition_probability,is_observed_candidate,is_unobserved_candidate,nominal_record_count,in_nominal_path_support,formal_stream_identity_available,formal_three_period_DAC_status,sampling_coverage_R15000,highest_listed_level,listed_level_count,hit_grid_max,hit_grid_excess,hit_road_max,hit_road_excess
1,2,1,0,2,1,2,4,0,3,4,-1,2,2.088326521875e-08,2.0883265218750038e-08,3.970466940254533e-23,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,0.00031319992421238003,q995,3,0,1,0,0
2,2,1,0,2,3,1,2,3,3,4,1,2,6.206390775e-09,6.206390775e-09,0.0,True,0.005,True,False,1,True,True,RECOVERABLE_AS_EXISTING_NOMINAL_RECORD,9.309152862861328e-05,q995,3,1,1,1,1
3,2,1,0,3,1,2,5,4,1,6,1,3,2.592e-15,2.5920000000000003e-15,3.944304526105059e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,3.8879999999244215e-11,q995,3,1,0,1,0
4,2,1,0,3,1,2,5,4,2,6,1,2,1.0368e-13,1.0368e-13,0.0,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.5551999987907572e-09,q995,3,0,0,0,1
5,2,1,0,3,4,1,5,1,3,6,4,2,2.7e-14,2.700000000000001e-14,1.262177448353619e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.049999999179929e-10,q995,3,0,0,0,1
6,2,1,0,3,4,2,5,1,1,6,-2,3,5.76e-16,5.760000000000002e-16,1.9721522630525295e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,8.63999999996268e-12,q995,3,1,1,1,1
7,2,1,0,3,4,2,5,1,1,6,-1,3,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.1599999999766734e-11,q995,3,1,0,1,0
8,2,1,0,3,4,2,5,1,1,6,4,3,7.2e-16,7.200000000000003e-16,2.9582283945787943e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.0799999999941683e-11,q995,3,1,0,1,0
9,2,1,0,3,4,2,5,1,2,6,1,2,1.0368e-13,1.0368000000000003e-13,2.524354896707238e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.5551999987907572e-09,q995,3,0,0,0,1
10,2,1,0,3,4,2,5,1,2,6,4,2,2.88e-14,2.880000000000001e-14,6.310887241768095e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.319999999066943e-10,q995,3,0,1,0,1
11,2,1,0,3,4,2,5,1,3,6,4,2,2.7e-14,2.700000000000001e-14,1.262177448353619e-29,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.049999999179929e-10,q995,3,0,0,0,1
12,2,1,0,3,4,2,5,2,1,6,-1,3,1.44e-15,1.4400000000000005e-15,5.9164567891575885e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.1599999999766734e-11,q995,3,1,1,1,1
13,2,1,0,3,4,2,5,2,1,6,5,3,1.8e-15,1.8000000000000005e-15,3.944304526105059e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,2.6999999999635524e-11,q995,3,1,1,1,1
14,2,1,0,3,4,2,5,3,1,6,0,3,3.168e-15,3.1680000000000014e-15,1.5777218104420236e-30,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,4.751999999887099e-11,q995,3,0,1,0,1
15,2,1,0,3,4,2,5,7,1,6,4,3,7.2e-16,7.200000000000003e-16,2.9582283945787943e-31,True,0.005,False,True,0,False,False,UNRESOLVED_NO_FROZEN_STREAM_IDENTITY,1.0799999999941683e-11,q995,3,1,0,1,0
