unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,D_finite,D_nonnegative,C_domain_exact,D_persistent_nondecreasing,A_persistent_nonincreasing,C_nondecreasing_while_reachable,failed_line_persistent,closed_road_persistent,source_demand_zero,passed,formal_scenario_sha256
3,1,1,SO-P0001-R01,1,1,1,1,1,1,1,1,1,1,32192cdd69cee1dfb7e35c65af8e93ac1072730a6e1d36bae65dab80b56bf533
3,1,2,SO-P0001-R02,1,1,1,1,1,1,1,1,1,1,518924f8a6450e37403eedb7e7f4bdff6303fdfe775545093f03581c7629e177
3,1,3,SO-P0001-R03,1,1,1,1,1,1,1,1,1,1,b8c54517c322f1c5acde7ca03ce927f33e155dd1dccdc4e392420d0b669840cf
3,1,4,SO-P0001-R04,1,1,1,1,1,1,1,1,1,1,fabffb07e5149c29390da15777cb9d028734c27be263754b1aca4c968264831f
3,1,5,SO-P0001-R05,1,1,1,1,1,1,1,1,1,1,4211018a53964314b00ce99d0f69bbe234697a47647de54bc1ca03bfa0bb216c
4,2,1,SO-P0002-R01,1,1,1,1,1,1,1,1,1,1,be12d49a580e418f24fa02da2b86b3affb7e70c3f25f7314ff7c713003274e22
4,2,2,SO-P0002-R02,1,1,1,1,1,1,1,1,1,1,4b81b1c4281741e8e31cf47eb69d9bee9e5d2ce4a400f8c657f68ed90a37f19e
4,2,3,SO-P0002-R03,1,1,1,1,1,1,1,1,1,1,5efc401fe4d1d8a5882d05b4048a3743464aea061c50a3074e21323280a10ea1
4,2,4,SO-P0002-R04,1,1,1,1,1,1,1,1,1,1,c8d98c903eb503efa66a3ce754c33309a85adf8c7b75ba4fa9273d41f81c0c6a
4,2,5,SO-P0002-R05,1,1,1,1,1,1,1,1,1,1,b47d71cda441af51f9cda3ba3f7245226e3099a659e1876269351814c50196b4
5,3,1,SO-P0003-R01,1,1,1,1,1,1,1,1,1,1,1bfc84c0644e34f67f0f410c9b15fac269e64ac87f15e7cd7e0ab62de2d54d41
5,3,2,SO-P0003-R02,1,1,1,1,1,1,1,1,1,1,f5102df1fd7ed8085bc415cf87b857aaf6e74ff2f2d481182b3084bbdbf54449
5,3,3,SO-P0003-R03,1,1,1,1,1,1,1,1,1,1,13a1a983ecf56823882f94d8a07c6b3a274fe09701a56ddeb3929a6e710e5d05
5,3,4,SO-P0003-R04,1,1,1,1,1,1,1,1,1,1,bc6777019759ec7760a6dee7bc7a5d2e247765dd8c1f7bcaedc9994ea277f05d
5,3,5,SO-P0003-R05,1,1,1,1,1,1,1,1,1,1,532850209fbb80601e1873aa43822e478b960917e870c674b043b7674dc93aea
6,4,1,SO-P0004-R01,1,1,1,1,1,1,1,1,1,1,4a1c6c8572e916e570edeea29f927518f58283277edc3a04ed01feb953e97d79
6,4,2,SO-P0004-R02,1,1,1,1,1,1,1,1,1,1,0537ad60f6f60fc68b2ca968c1f79f502ec66ecaf920115b6cd49852c6259196
6,4,3,SO-P0004-R03,1,1,1,1,1,1,1,1,1,1,90b71efd6c15a0e83b94cf4e27bf395f073a57fea008ffe3c4dd86b23352d6e5
6,4,4,SO-P0004-R04,1,1,1,1,1,1,1,1,1,1,193392909754c3ce27856d23f38a83f21581c8bb737726d970ae5df58c10844f
6,4,5,SO-P0004-R05,1,1,1,1,1,1,1,1,1,1,743a5e984c7498b614da43842d037c7f8cbaccfe5ed4191185f3cd3ec12d5ded
7,5,1,SO-P0005-R01,1,1,1,1,1,1,1,1,1,1,32e0bcfcdc806db42a847c7bb99b8b3c0ce705143e258e4b1033d11de44d43f6
7,5,2,SO-P0005-R02,1,1,1,1,1,1,1,1,1,1,ba46dfe33572c9de75705b094e7ac3baf33cf43290004de0b3c50fcfcbeb5b1e
7,5,3,SO-P0005-R03,1,1,1,1,1,1,1,1,1,1,b27261b3f7c40598b172e072b2153b7b2f9c5ed33b8c19116a19dcd2075a4d0d
7,5,4,SO-P0005-R04,1,1,1,1,1,1,1,1,1,1,c41b1f6a0bdba138321eb36926e8618770234660110bc9f27d0c7ab92eb5fb51
7,5,5,SO-P0005-R05,1,1,1,1,1,1,1,1,1,1,9542d51b5e1bcfa231246ace99f1bb37576e4559b750a2c30a484e40a1a6decc
8,6,1,SO-P0006-R01,1,1,1,1,1,1,1,1,1,1,11723562e0f8c562b96f96b5ce71e6baa59ad49703cf5be8512e06db0243a9a4
8,6,2,SO-P0006-R02,1,1,1,1,1,1,1,1,1,1,21174f676b608e50ca515c908f873fb69e720fad6dc424ef9657e5f85f3b902e
8,6,3,SO-P0006-R03,1,1,1,1,1,1,1,1,1,1,c5e75db3236d2816b4a7e2362c5c2a7e77267a98d0b9cb0e1f344c47d5bee75e
8,6,4,SO-P0006-R04,1,1,1,1,1,1,1,1,1,1,1e4e01fba64514a04b7ad8987b2b776536432784ccf207dd0c53d9f56e4a97b2
8,6,5,SO-P0006-R05,1,1,1,1,1,1,1,1,1,1,2044980d841a5903d7be37a977be023f9b04a1293b745307204b25a61b62e320
9,7,1,SO-P0007-R01,1,1,1,1,1,1,1,1,1,1,3fa637e987b3a6dac6e18034dcec9eb64b1df9e47733d2de576948662956c3fd
9,7,2,SO-P0007-R02,1,1,1,1,1,1,1,1,1,1,5d1a6a067000333d814adca96441971702937691711a70bd3fd00fe745235508
9,7,3,SO-P0007-R03,1,1,1,1,1,1,1,1,1,1,8e7b7188c226be115d803975f2fa5d4e2bf6cfebdee41202ff0b7854a599459b
9,7,4,SO-P0007-R04,1,1,1,1,1,1,1,1,1,1,92d519471e411418cd47dcea36bec6c14723fa4609ef53761653cf98a033d346
9,7,5,SO-P0007-R05,1,1,1,1,1,1,1,1,1,1,9a3a847073c153f4f1c57c0b31d1abdabb9bc0074714b3d5b47163440555e518
10,8,1,SO-P0008-R01,1,1,1,1,1,1,1,1,1,1,a4aece802b82ea76a897724e219b35d886643c9896e6ed3eacd80f4c8ec715a8
10,8,2,SO-P0008-R02,1,1,1,1,1,1,1,1,1,1,0fed44a4c071614506b4b363eaad09ff5c50b06515d469196056514e6a109f1e
10,8,3,SO-P0008-R03,1,1,1,1,1,1,1,1,1,1,683ab29e5b7631faa9ffa6a72ec667736a97ee40572ed276e6734e5ba1e2638c
