case_id,phase,eta,design,kappa,runtime_sec,master_solver_calls,recourse_solver_calls,fixed_T_solver_calls,fixed_T_scenario_evaluations,process_count,status
1,OPTIMIZATION,0,R1_MAX,0,5.8712165,0,2,0,0,1,PASS
1,FIXED_T_AUDIT,0,R1_MAX,0,6.9519171,0,0,2,15135,1,PASS
2,OPTIMIZATION,0,R1_MAX,0.001,139.7181637,27,30,0,0,14,PASS
2,FIXED_T_AUDIT,0,R1_MAX,0.001,7.0310262,0,0,2,15135,1,PASS
3,OPTIMIZATION,0,R1_MAX,0.005,140.3651352,27,30,0,0,14,PASS
3,FIXED_T_AUDIT,0,R1_MAX,0.005,7.8061157,0,0,2,15135,1,PASS
4,OPTIMIZATION,0,R1_MAX,0.01,133.7778799,26,29,0,0,13,PASS
4,FIXED_T_AUDIT,0,R1_MAX,0.01,7.2622372,0,0,2,15135,1,PASS
5,OPTIMIZATION,0,R1_MAX,0.05,137.581438,26,29,0,0,13,PASS
5,FIXED_T_AUDIT,0,R1_MAX,0.05,8.1259026,0,0,2,15135,1,PASS
6,OPTIMIZATION,0,R2_TOPK_5PCT,0,6.0742199,0,2,0,0,1,PASS
6,FIXED_T_AUDIT,0,R2_TOPK_5PCT,0,7.2609171,0,0,2,15135,1,PASS
7,OPTIMIZATION,0,R2_TOPK_5PCT,0.001,121.4779894,23,26,0,0,12,PASS
7,FIXED_T_AUDIT,0,R2_TOPK_5PCT,0.001,8.2337146,0,0,2,15135,1,PASS
8,OPTIMIZATION,0,R2_TOPK_5PCT,0.005,122.5886284,23,26,0,0,12,PASS
8,FIXED_T_AUDIT,0,R2_TOPK_5PCT,0.005,7.2280348,0,0,2,15135,1,PASS
9,OPTIMIZATION,0,R2_TOPK_5PCT,0.01,132.2054264,25,28,0,0,13,PASS
9,FIXED_T_AUDIT,0,R2_TOPK_5PCT,0.01,7.60965,0,0,2,15135,1,PASS
10,OPTIMIZATION,0,R2_TOPK_5PCT,0.05,129.7455326,25,28,0,0,13,PASS
10,FIXED_T_AUDIT,0,R2_TOPK_5PCT,0.05,7.2252656,0,0,2,15135,1,PASS
11,OPTIMIZATION,0,R2_TOPK_10PCT,0,7.3859778,0,2,0,0,1,PASS
11,FIXED_T_AUDIT,0,R2_TOPK_10PCT,0,7.802037,0,0,2,15135,1,PASS
12,OPTIMIZATION,0,R2_TOPK_10PCT,0.001,120.6843877,23,26,0,0,12,PASS
12,FIXED_T_AUDIT,0,R2_TOPK_10PCT,0.001,6.9588096,0,0,2,15135,1,PASS
13,OPTIMIZATION,0,R2_TOPK_10PCT,0.005,121.5986561,23,26,0,0,12,PASS
13,FIXED_T_AUDIT,0,R2_TOPK_10PCT,0.005,7.338523,0,0,2,15135,1,PASS
14,OPTIMIZATION,0,R2_TOPK_10PCT,0.01,118.8339029,22,25,0,0,11,PASS
14,FIXED_T_AUDIT,0,R2_TOPK_10PCT,0.01,7.0767178,0,0,2,15135,1,PASS
15,OPTIMIZATION,0,R2_TOPK_10PCT,0.05,117.9823896,22,25,0,0,11,PASS
15,FIXED_T_AUDIT,0,R2_TOPK_10PCT,0.05,7.3119934,0,0,2,15135,1,PASS
16,OPTIMIZATION,0.01,R1_MAX,0,36.0112608,5,8,0,0,3,PASS
16,FIXED_T_AUDIT,0.01,R1_MAX,0,7.3663162,0,0,2,15135,1,PASS
17,OPTIMIZATION,0.01,R1_MAX,0.001,35.3265266,5,8,0,0,3,PASS
17,FIXED_T_AUDIT,0.01,R1_MAX,0.001,7.1187649,0,0,2,15135,1,PASS
18,OPTIMIZATION,0.01,R1_MAX,0.005,36.1374012,5,8,0,0,3,PASS
18,FIXED_T_AUDIT,0.01,R1_MAX,0.005,7.041808,0,0,2,15135,1,PASS
19,OPTIMIZATION,0.01,R1_MAX,0.01,36.881254,5,8,0,0,3,PASS
19,FIXED_T_AUDIT,0.01,R1_MAX,0.01,7.2570702,0,0,2,15135,1,PASS
20,OPTIMIZATION,0.01,R1_MAX,0.05,35.1090659,5,8,0,0,3,PASS
