"process_label","process_type","started_at","ended_at","runtime_sec","exit_code","status","log_path"
"prepare_inputs","MATLAB","2026-08-02T15:28:53.4115422+08:00","2026-08-02T15:34:47.7071221+08:00","354.2955799","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\prepare_process.txt"
"eta_case_001","MATLAB","2026-08-02T15:34:47.7291161+08:00","2026-08-02T15:35:23.6236159+08:00","35.8944998","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-001_process.txt"
"eta_case_002","MATLAB","2026-08-02T15:35:23.6396219+08:00","2026-08-02T15:38:48.8124953+08:00","205.1728734","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-002_process.txt"
"eta_case_003","MATLAB","2026-08-02T15:38:48.8155646+08:00","2026-08-02T15:42:00.7471786+08:00","191.931614","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-003_process.txt"
"eta_case_004","MATLAB","2026-08-02T15:42:00.7498279+08:00","2026-08-02T15:45:35.3073286+08:00","214.5575007","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-004_process.txt"
"eta_case_005","MATLAB","2026-08-02T15:45:35.3104139+08:00","2026-08-02T15:48:49.1691849+08:00","193.858771","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-005_process.txt"
"eta_case_006","MATLAB","2026-08-02T15:48:49.1716304+08:00","2026-08-02T15:50:30.1970949+08:00","101.0254645","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-006_process.txt"
"eta_case_007","MATLAB","2026-08-02T15:50:30.1992154+08:00","2026-08-02T15:51:59.8464642+08:00","89.6472488","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-007_process.txt"
"eta_case_008","MATLAB","2026-08-02T15:51:59.8483991+08:00","2026-08-02T15:53:23.5012149+08:00","83.6528158","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\case-008_process.txt"
"finalize_outputs","PYTHON","2026-08-02T15:53:23.5036298+08:00","2026-08-02T15:53:23.6192304+08:00","0.1156006","0","PASS","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\46-flat-chi2-eta-calibration\run-003\process_logs\finalize_process.txt"
