dataset_id,seed_id,distribution_id,distribution_label,namespace,path_seed,wind_seed,resistance_seed,sample_count,sample_weight,weight_sum,intensity_delta,location_delta,lfw_delta,physical_path_sequence_sha256,path_uniform_A_sha256,path_uniform_location_sha256,path_uniform_lfw_sha256,wind_uniform_sha256,line_resistance_uniform_sha256,road_resistance_uniform_sha256,full_D_sha256,full_A_sha256,full_C_sha256,full_failed_line_sha256,full_closed_road_sha256,full_wind_mps_sha256,scenario_hash_sequence_sha256,damage_hash_sequence_sha256,local_mat_path,local_mat_bytes,local_mat_sha256,generation_and_replay_runtime_sec
1,1,1,nominal,markov-perturbation-C3,1113527767,664410789,1303781022,15000,6.66666666666667e-05,1,0,0,0,4e0f3da61ce50a9cdeabcda480ed2243ed86ad29b9010e4d016353ea661a6768,c4892b90701f6cfbe87a754b8142727040cb2e4e3712ccde00894b8d5e3141f6,a505a2ae2a0ab5aec765f00ccdf9335b068a861c6b729e4064812d0d1ce9f83f,2ba6978353d7bec384c44950ed8e3534fac5e48821c7538f80762a84b2531004,df310aadb56074010e62ac64e70d82b89506575ccf0cbae3abe0d0505d6464de,5c44b25b922336d588feb22a6ea1d2e447ab8edf81ef63526d7a9bbcf6eaa9bb,a8a2c36204cf4f1230a38dca193cac24862ac186f31e6a041276a5e694402032,04fb581f3cf9ead539fd44d3eada55e40a865c023ba29f2fb3125e8c87707824,2868158016a63f9b06c35ec8eeba0bedf4b4e4514e97a1be5eb690b3fd52d288,c65cd3d34f29f8d09a4e0cb4b543265c6404108bea170e108fb9b2663022e110,46925a9802661ef1bc6bde239d5a7437a0adb42918043cef3d3fd750aa540bcc,d59f79effe2ae0eb2268effa56aaab7f409da9686928fbbb8cd92157a23ae362,ebb74efe65c8d6c2f1a66c4cb85466296e77be04602608cfd8277887c3a5db2e,83897902e700da0ba21a45f1a6fedc590674cb496cb899d6aa29a46856866c9f,d2a7a468b26032e7f88f8795a772252675c4d67fcd73461a0c30f7d044bc3644,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed001_dist001.mat,19900489,bbb2e5ff241bc1567be27b325a97764edae5e26fdc15223780eeb475992d7cde,25.6181211
2,1,2,intensity-only,markov-perturbation-C3,1113527767,664410789,1303781022,15000,6.66666666666667e-05,1,0.05,0,0,4fdabac538eb5fac763eb1c0450c6d158de59e45f061d4a42b5294b3219559ef,c4892b90701f6cfbe87a754b8142727040cb2e4e3712ccde00894b8d5e3141f6,a505a2ae2a0ab5aec765f00ccdf9335b068a861c6b729e4064812d0d1ce9f83f,2ba6978353d7bec384c44950ed8e3534fac5e48821c7538f80762a84b2531004,df310aadb56074010e62ac64e70d82b89506575ccf0cbae3abe0d0505d6464de,5c44b25b922336d588feb22a6ea1d2e447ab8edf81ef63526d7a9bbcf6eaa9bb,a8a2c36204cf4f1230a38dca193cac24862ac186f31e6a041276a5e694402032,bf1b5263004a02b75a57e208f91e76abdd9773f4bef7750b162fd9059a77fbca,8ace40f4780be273529b311d226a3d937f4dc5b8da11d69efdfdb020836bdf44,b1b9b2de96cc72abfe2f313b5e8761db6da42c8abbd81a392643c012f0e71f01,0480275071790ec6096f162dd96078248fff42c5f2e26d0ee0692b53f976057c,05c83750922c86ebc3754045a1755dd9154015c7bf28503e35b090d3b4407164,32c444780f5cf25330de88af316a5f3bb69bbf6759df8df79dee5ca61c5f4f59,639d144ae126dff6c20b6bcd86dd0a98535bca2bf1f5b6c9c6c82a8200c8a29e,929c222b67531b6c2213072646739249ff5254b2716dea33a3de50c1f4785bb6,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed001_dist002.mat,21394186,f7fe0294d53bda61248ee5de947e4246dfdc8cbe70e33046c8ea38aa039d31ac,27.8943075
3,1,3,location-only,markov-perturbation-C3,1113527767,664410789,1303781022,15000,6.66666666666667e-05,1,0,0.05,0,d33b7526a8861666c85ee819d1b8141195fbf0a7cbc923bf22f2438e924771b2,c4892b90701f6cfbe87a754b8142727040cb2e4e3712ccde00894b8d5e3141f6,a505a2ae2a0ab5aec765f00ccdf9335b068a861c6b729e4064812d0d1ce9f83f,2ba6978353d7bec384c44950ed8e3534fac5e48821c7538f80762a84b2531004,df310aadb56074010e62ac64e70d82b89506575ccf0cbae3abe0d0505d6464de,5c44b25b922336d588feb22a6ea1d2e447ab8edf81ef63526d7a9bbcf6eaa9bb,a8a2c36204cf4f1230a38dca193cac24862ac186f31e6a041276a5e694402032,0df626bb5c165e5f4d82cc2ddb0311b1f212d085074efc55b96de2e0503f27a3,67c610f6cd7472fe1401a51fba748fb0f3a2d80ac59c1743ad684e875cb1ef9e,84f6c6283483e370405b01bb99de11d5816ce06b1dbce2a98ce7476fdcafa23d,63371acd07a74e38e442f149c2c7117c918cc023f41c147f898c68df3cbfa8a7,1f4a5ca79cd3d08dc6f90f487d7be332e812eb1b418f5c5969f533a0cba6b353,ebb74efe65c8d6c2f1a66c4cb85466296e77be04602608cfd8277887c3a5db2e,31f0af971ec2995b07f9a42978db633a3f53c99fd36aa7d8976fb7ba0de752fc,c7bd17bb5010e4804f07d91c58fadf47c66c03720cef196b2d3e27f307c5dc14,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed001_dist003.mat,20165274,8eb2c5f06ff53ba9e879cbd52231b4f7766ff8092bac649528b77de156573556,29.8620575
4,1,4,lfw-only,markov-perturbation-C3,1113527767,664410789,1303781022,15000,6.66666666666667e-05,1,0,0,0.05,284e97c9dee78f9be512494b47f77210175335f26518a342ce06ae9a3a404cae,c4892b90701f6cfbe87a754b8142727040cb2e4e3712ccde00894b8d5e3141f6,a505a2ae2a0ab5aec765f00ccdf9335b068a861c6b729e4064812d0d1ce9f83f,2ba6978353d7bec384c44950ed8e3534fac5e48821c7538f80762a84b2531004,df310aadb56074010e62ac64e70d82b89506575ccf0cbae3abe0d0505d6464de,5c44b25b922336d588feb22a6ea1d2e447ab8edf81ef63526d7a9bbcf6eaa9bb,a8a2c36204cf4f1230a38dca193cac24862ac186f31e6a041276a5e694402032,c8de98669157b4c0b10c71dcb40601c3bb8e27ed73a6affa7d256abf46fb65e2,4c0b9cebfe5a095be7a8fd305fd0fb04ea88f345c5b5130ebd110ac47618657e,11b881327e568c432f2f840f88fc43c11c97cc948a9d4b6d3561d3abcb60aeb4,5752c81e30e0ea8c130803d29b135c7e7a23ee64de865124efe5fa6a3736041b,5d5471e1a0f03c246ca53f894fdec402b927ddfe74ebdef76db3c55f795daa75,ebb74efe65c8d6c2f1a66c4cb85466296e77be04602608cfd8277887c3a5db2e,1e07081149b1d13af548fec0fc51da243ffcbc4ed7238859d7fdf6f6e4cc8896,374fc8158edc06a65470d781de3a1d8bd5f9b1bc07001418ea8fd36dadc4365b,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed001_dist004.mat,20346283,4cf9eba20638f2ddcb09b554dc4fa3b5a01489466d507c97753b1f58bfb1b386,26.9151842
5,1,5,combined-mild,markov-perturbation-C3,1113527767,664410789,1303781022,15000,6.66666666666667e-05,1,0.02,0.02,0.02,3eaf9f9d67ce62154165c62f2cd5b9ff310bdec7ffa844e2f3aef09c2dec65e2,c4892b90701f6cfbe87a754b8142727040cb2e4e3712ccde00894b8d5e3141f6,a505a2ae2a0ab5aec765f00ccdf9335b068a861c6b729e4064812d0d1ce9f83f,2ba6978353d7bec384c44950ed8e3534fac5e48821c7538f80762a84b2531004,df310aadb56074010e62ac64e70d82b89506575ccf0cbae3abe0d0505d6464de,5c44b25b922336d588feb22a6ea1d2e447ab8edf81ef63526d7a9bbcf6eaa9bb,a8a2c36204cf4f1230a38dca193cac24862ac186f31e6a041276a5e694402032,0d164838833821c4c9057558ff3a7aa0e242225981e0ccbd66e694fff1a7028a,359949d0ac105a228210f2887f810896b886b84f92dd3d33617b14631b4be70b,b6e9de08dda4d0ae7325424d689ea399268b8e97e8cb2a83999197b78127ad65,078b1cba785cb4a586756c3d28d202f0274d50303b7e905fc5c35978d9a8f2a2,cbf9fe871e778790bce06d1d1676efb4144779b1c7568ce4ca90f21247b9094c,917997ce576b0360bf8b7d43ca9b4ad9409b8b3d1760e432479681cce84f51f0,1a8a7760290887b159b677c4991a9714b198fdc738b235765c872b0973a8199f,a9be663c2e68c7b075d51566076c763be735cf46c1dac0cad2c1dbd904269f81,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed001_dist005.mat,20838559,7d9d2ffee4bcf85e930505ca4b8de5d01b91ce45e7fb76f4e410b195b6e71556,23.2684799
6,1,6,combined-medium,markov-perturbation-C3,1113527767,664410789,1303781022,15000,6.66666666666667e-05,1,0.05,0.05,0.05,35427ce5e76c045fee49bd43d234307a03a4aaf95b90b9ccf9ddc586d71ba5a3,c4892b90701f6cfbe87a754b8142727040cb2e4e3712ccde00894b8d5e3141f6,a505a2ae2a0ab5aec765f00ccdf9335b068a861c6b729e4064812d0d1ce9f83f,2ba6978353d7bec384c44950ed8e3534fac5e48821c7538f80762a84b2531004,df310aadb56074010e62ac64e70d82b89506575ccf0cbae3abe0d0505d6464de,5c44b25b922336d588feb22a6ea1d2e447ab8edf81ef63526d7a9bbcf6eaa9bb,a8a2c36204cf4f1230a38dca193cac24862ac186f31e6a041276a5e694402032,f94efc05981c707aafce56ecedd38e843d79030b2bcf95ca1c92ee860008b811,218e26a3810889986fc2213d62067f1b7e8ade0d89f9003f59ee4e609de8dee9,9e196bc5a8591c90ceb1c35b5621db91057b64ce2eb608727a3ac33d0b8de0e4,72abb67776990a9bae1b25c6833884cf00a315ba904f2696e460c93e5cea5ce6,ab282a777566b58c729e00b141252af4d85fce9b75a2d9dddb184191bdf61b8d,32c444780f5cf25330de88af316a5f3bb69bbf6759df8df79dee5ca61c5f4f59,35078257936785762900e76ddc8bac2d9415f1dc18f9bd1ec928438d696cb3dc,d1db8d0997a8274d18a7dcb37679ff54c510a1243938b64e7eb3f5bcaede0004,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed001_dist006.mat,21955459,1ba961dad36e7ca39daab93e709dfc883c057f4c6d2e968fae64433fce303ceb,22.9447547
7,1,7,combined-strong,markov-perturbation-C3,1113527767,664410789,1303781022,15000,6.66666666666667e-05,1,0.1,0.1,0.1,5219ffd07bbbab36139952b5b5a2b3d84f73b174e8384ffb23ce1d3225b191ff,c4892b90701f6cfbe87a754b8142727040cb2e4e3712ccde00894b8d5e3141f6,a505a2ae2a0ab5aec765f00ccdf9335b068a861c6b729e4064812d0d1ce9f83f,2ba6978353d7bec384c44950ed8e3534fac5e48821c7538f80762a84b2531004,df310aadb56074010e62ac64e70d82b89506575ccf0cbae3abe0d0505d6464de,5c44b25b922336d588feb22a6ea1d2e447ab8edf81ef63526d7a9bbcf6eaa9bb,a8a2c36204cf4f1230a38dca193cac24862ac186f31e6a041276a5e694402032,14c6aed6e2bff0ae8f329e18055bf94fab25ada570bbc09292830e7a622bfebe,8a6afe297c1511cc7c3370148d2a7bf1396026799007ea71703ee9db0c3fe8a4,97e363b51fb886b5cb1530e8ae814c54a563df703aed2a0c7f965faed23982e3,9f535bb6f839c2920e29ba42f796827188e1514203e9f8a55ed503edfe5db52a,6d2f013167eae1d367bf2b8ce2c0fd694171006b46ccd62d322914a48c3dc940,bd8ffc1d180df1d1f8fc2828f50483aedc8cea5fb4be3b78192b314c2a8f831c,3ad1dbbeb7a0931a498da6056999ebb70407fabd93337d79f3def5955e1599c9,17a3efc3850cb850317678660dd0047e4263a1c4e7206fdeab4be281939dda7b,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed001_dist007.mat,23586068,3ed54e5d26c6057a546fe209c063067a60a57b510b44870939f0260dc57d6430,25.7573593
8,2,1,nominal,markov-perturbation-C3,326796064,69348633,697256691,15000,6.66666666666667e-05,1,0,0,0,9eed524bf0022c53d0c723c819fffdd16af6bec8e3b69d323e6eed39f78eb3dd,06b574bd11d856f7af4f04509e4ac9c0b323c63aa22315f078548d63bdba6894,5dd2e32e4adee93448ea78fb2bf4129df8d27c2ac33cf03d193922e3e5d60dcb,93977f17d091cef58f1bf3d135d03171cfd603ac4d8988caf453e102c071bceb,7db587ff86aa999f8fff604f246562cc0cf0da013e1cb5290c87a4741d38d2f3,e7f4b9a70a19e2834fa5ae26d26bad5087268793481d086c5186a77d5de73b40,b4f33ee99d72eef501b40aff38b14eade92ce839ad49290dd1287cb3114e9e1e,1a5e4a236df7ebce415d573958d4f3f888d9689a936d4864731dd1af0e5cc47b,9b01b507d4e059fff1150a29f95bb24b31d507e7ed64c856a0db8bb317d986ad,3698784bb3c12c3cedfa74b858f13a0f0e521e56761d6bd94a493b9e4d26d005,902ea3f5eef8917d1ee14db229cfb1b520049bdd4b097b043620e1e4befa5c76,632b2364422aaee6f5564fbbebfd603a4e8f07a9df4f43af191d18e35de32b6d,6c7cefb17974c07f195007948f30817813dc9bd919c627abfad3553c621ff635,a11094f20e9e40373747e053dc47a05dd37ba1aac3c46fde24e46dfe01d20c9a,d1094d1eb54b42ddc7e6409fc05e3dd0235c3a48736535489fbd146778bf77ce,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed002_dist001.mat,19965377,7c1d813dd0d74c295a19768fcb7250ff47afa482ddbcf6d325e4e4fbead11de5,21.337376
9,2,2,intensity-only,markov-perturbation-C3,326796064,69348633,697256691,15000,6.66666666666667e-05,1,0.05,0,0,b1f551152e8f1aa2041ae4f7b4025a801754053acd10f58cf88ab3b1180cc7ee,06b574bd11d856f7af4f04509e4ac9c0b323c63aa22315f078548d63bdba6894,5dd2e32e4adee93448ea78fb2bf4129df8d27c2ac33cf03d193922e3e5d60dcb,93977f17d091cef58f1bf3d135d03171cfd603ac4d8988caf453e102c071bceb,7db587ff86aa999f8fff604f246562cc0cf0da013e1cb5290c87a4741d38d2f3,e7f4b9a70a19e2834fa5ae26d26bad5087268793481d086c5186a77d5de73b40,b4f33ee99d72eef501b40aff38b14eade92ce839ad49290dd1287cb3114e9e1e,aacc4652d5d4d7a47f137a6387539a519de601b1cd19e4b3bc6b86fa2bb6ac9c,152b50a8fde3906e8cf84296f950fb9fc098cc75cd8714e5ca1edf68cc6c0a94,daad265d7bda46f4c0bfa091109953fd418ce204263c32acceb1b0b49e357ec5,99e09bbca49bb9c79feae2776c03db10e6d1d99c01c2ec5ac2da9d0d745989e0,7a3deaf32cd9418c88ab267909f81cba84e4936fa0089c77e76f1f0f99e5d8ec,4f1470c3087775f9a21537ad0daddffa06b4cb4765d881bd3fdd306b4e73a254,f58cf41a5301cf700ac9b54f4c4f732606fdbe4c2e24c96e46bd1c7dcc4132fa,dfb1bffdbe706f233fd43dec6760a97269e1cace0cd697e397d6f4d49f83c622,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed002_dist002.mat,21540696,47f1c6211e49adf5ad230e9467e473afa8324c136e8c565e0674b477164755d7,21.3741545
10,2,3,location-only,markov-perturbation-C3,326796064,69348633,697256691,15000,6.66666666666667e-05,1,0,0.05,0,813368ded1c951c9b50ee39f9bc96bbd2c387f4ef8a0fd9642d6447f6b01761a,06b574bd11d856f7af4f04509e4ac9c0b323c63aa22315f078548d63bdba6894,5dd2e32e4adee93448ea78fb2bf4129df8d27c2ac33cf03d193922e3e5d60dcb,93977f17d091cef58f1bf3d135d03171cfd603ac4d8988caf453e102c071bceb,7db587ff86aa999f8fff604f246562cc0cf0da013e1cb5290c87a4741d38d2f3,e7f4b9a70a19e2834fa5ae26d26bad5087268793481d086c5186a77d5de73b40,b4f33ee99d72eef501b40aff38b14eade92ce839ad49290dd1287cb3114e9e1e,01b10d21c9984360b049bbec54437a63a282098ea47e5ace8845ddd23aecc79f,ef7812c13f603dab865c68e63c8415d7ed835dc887493578abea4ed804f73571,4f4408a409e77df7d302a9c8c7b9eb237a3f27c3d69e163edbf668776d127964,57aaad36607b18fc2697a0a1d10e742806127dfbca763510d00b53467c350f80,ec760cb58262b60460dc1a2a19ab143fbf765b67efe8542aa504e4dc2db7dbc4,6c7cefb17974c07f195007948f30817813dc9bd919c627abfad3553c621ff635,4284168589a781de6b2aa02aa449cf6cced95e189af59bc1c3d79d5c68039aab,8b90b115b88a1b85fd5c46a7b8de8f9747c5564e02c9e651ece135702a8c88e8,C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\48-markov-transition-perturbation\run-001\dataset_seed002_dist003.mat,20273026,2758fb16fc89e988098338486f335d28748e77cbb50db82e9bec40469694b66b,22.2764736
