seed_id,distribution_id,distribution_label,decision_id,decision_label,eta,solver_status,exitflag,sample_count,sample_weight,weight_sum,max_demand_balance_error,max_site_capacity_violation,objective_reconstruction_abs_error,maximum_mechanical_residual,solve_runtime_sec,certificate_pass
1,1,nominal,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.05941988094128e-14,3.97903932025656e-13,3.57627868652344e-06,3.97903932025656e-13,4.410862,1
1,1,nominal,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,3.39746475219727e-06,5.6843418860808e-14,3.9978659,1
1,1,nominal,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.6843418860808e-14,3.27825546264648e-06,5.6843418860808e-14,4.1237767,1
2,1,nominal,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,4.54747350886464e-13,2.23517417907715e-06,4.54747350886464e-13,4.2887239,1
2,1,nominal,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,2.8421709430404e-14,2.14576721191406e-06,2.8421709430404e-14,4.1583739,1
2,1,nominal,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,2.8421709430404e-14,1.9073486328125e-06,2.8421709430404e-14,3.9577436,1
3,1,nominal,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.11590769747272e-13,1.34110450744629e-06,5.11590769747272e-13,4.236931,1
3,1,nominal,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,0.0,5.6843418860808e-14,1.22189521789551e-06,5.6843418860808e-14,4.2015234,1
3,1,nominal,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,2.8421709430404e-14,9.5367431640625e-07,2.8421709430404e-14,4.1222413,1
1,2,intensity-only,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,9.76996261670138e-14,5.11590769747272e-13,1.65104866027832e-05,5.11590769747272e-13,4.8029518,1
1,2,intensity-only,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,1.53779983520508e-05,5.6843418860808e-14,4.746656,1
1,2,intensity-only,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,1.37090682983398e-05,5.6843418860808e-14,4.6807421,1
2,2,intensity-only,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,8.88178419700125e-14,5.11590769747272e-13,2.40802764892578e-05,5.11590769747272e-13,4.869325,1
2,2,intensity-only,2,ETA_0.003,0.003,OPTIMAL,1,15000,6.66666666666667e-05,1,1.77635683940025e-15,5.6843418860808e-14,2.44975090026855e-05,6.90673700809022e-14,5.0191433,1
2,2,intensity-only,3,ETA_0.01,0.01,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,1.13686837721616e-13,2.63452529907227e-05,1.13686837721616e-13,4.8388988,1
3,2,intensity-only,1,SAA,0.0,OPTIMAL,1,15000,6.66666666666667e-05,1,3.5527136788005e-15,5.684341886080799e-13,5.42402267456055e-06,5.684341886080799e-13,4.9525007,1
