comparison_type,left_seed_id,left_distribution_id,right_seed_id,right_distribution_id,left_row_count,right_row_count,same_row_position_count,same_row_position_share,exact_whole_batch_reuse,left_unique_path_count,right_unique_path_count,unique_path_overlap_count,left_rows_whose_path_occurs_in_right_share
C3_nominal_vs_history_accepted_nominal,1,1,0,0,15000,15000,3,0.0002,0,8387,8464,3143,0.5918
C3_nominal_vs_history_C2_dataset_001,1,1,0,0,15000,15000,3,0.0002,0,8387,8359,3127,0.5862
C3_nominal_vs_history_C2_dataset_002,1,1,0,0,15000,15000,5,0.000333333333333333,0,8387,8424,3214,0.599933333333333
C3_nominal_vs_history_C2_dataset_003,1,1,0,0,15000,15000,2,0.000133333333333333,0,8387,8409,3184,0.59
C3_nominal_vs_history_accepted_nominal,2,1,0,0,15000,15000,5,0.000333333333333333,0,8427,8464,3120,0.591333333333333
C3_nominal_vs_history_C2_dataset_001,2,1,0,0,15000,15000,5,0.000333333333333333,0,8427,8359,3154,0.589866666666667
C3_nominal_vs_history_C2_dataset_002,2,1,0,0,15000,15000,4,0.000266666666666667,0,8427,8424,3177,0.5936
C3_nominal_vs_history_C2_dataset_003,2,1,0,0,15000,15000,1,6.66666666666667e-05,0,8427,8409,3174,0.592733333333333
C3_nominal_vs_history_accepted_nominal,3,1,0,0,15000,15000,6,0.0004,0,8289,8464,3144,0.6004
C3_nominal_vs_history_C2_dataset_001,3,1,0,0,15000,15000,0,0,0,8289,8359,3138,0.598533333333333
C3_nominal_vs_history_C2_dataset_002,3,1,0,0,15000,15000,2,0.000133333333333333,0,8289,8424,3181,0.602333333333333
C3_nominal_vs_history_C2_dataset_003,3,1,0,0,15000,15000,1,6.66666666666667e-05,0,8289,8409,3148,0.6
C3_nominal_seed_pairwise,1,1,2,1,15000,15000,4,0.000266666666666667,0,8387,8427,3187,0.593533333333333
C3_nominal_seed_pairwise,1,1,3,1,15000,15000,1,6.66666666666667e-05,0,8387,8289,3174,0.594533333333333
C3_nominal_seed_pairwise,2,1,3,1,15000,15000,8,0.000533333333333333,0,8427,8289,3182,0.5954
C3_CRN_distribution_vs_nominal,1,2,1,1,15000,15000,10626,0.7084,0,9358,8387,6220,0.766533333333333
C3_CRN_distribution_vs_nominal,1,3,1,1,15000,15000,10372,0.691466666666667,0,8521,8387,6640,0.8612
C3_CRN_distribution_vs_nominal,1,4,1,1,15000,15000,12789,0.8526,0,8923,8387,7473,0.892733333333333
C3_CRN_distribution_vs_nominal,1,5,1,1,15000,15000,10626,0.7084,0,9227,8387,6534,0.810266666666667
C3_CRN_distribution_vs_nominal,1,6,1,1,15000,15000,6276,0.4184,0,10061,8387,4762,0.6102
C3_CRN_distribution_vs_nominal,1,7,1,1,15000,15000,2807,0.187133333333333,0,10898,8387,3273,0.416466666666667
C3_CRN_distribution_vs_nominal,2,2,2,1,15000,15000,10636,0.709066666666667,0,9363,8427,6220,0.7688
C3_CRN_distribution_vs_nominal,2,3,2,1,15000,15000,10388,0.692533333333333,0,8573,8427,6684,0.863133333333333
C3_CRN_distribution_vs_nominal,2,4,2,1,15000,15000,12823,0.854866666666667,0,8968,8427,7516,0.893866666666667
C3_CRN_distribution_vs_nominal,2,5,2,1,15000,15000,10739,0.715933333333333,0,9177,8427,6569,0.8176
C3_CRN_distribution_vs_nominal,2,6,2,1,15000,15000,6325,0.421666666666667,0,9941,8427,4717,0.6162
C3_CRN_distribution_vs_nominal,2,7,2,1,15000,15000,2772,0.1848,0,10732,8427,3226,0.423
C3_CRN_distribution_vs_nominal,3,2,3,1,15000,15000,10682,0.712133333333333,0,9273,8289,6182,0.771866666666667
C3_CRN_distribution_vs_nominal,3,3,3,1,15000,15000,10336,0.689066666666667,0,8374,8289,6518,0.8644
C3_CRN_distribution_vs_nominal,3,4,3,1,15000,15000,12772,0.851466666666667,0,8869,8289,7395,0.891466666666667
C3_CRN_distribution_vs_nominal,3,5,3,1,15000,15000,10767,0.7178,0,9046,8289,6525,0.822933333333333
C3_CRN_distribution_vs_nominal,3,6,3,1,15000,15000,6299,0.419933333333333,0,9900,8289,4677,0.615666666666667
C3_CRN_distribution_vs_nominal,3,7,3,1,15000,15000,2760,0.184,0,10664,8289,3186,0.4206
