hour_index,electricity_price_yuan_per_kWh,vector_min_yuan_per_kWh,vector_max_yuan_per_kWh,arithmetic_mean_yuan_per_kWh,price_used_yuan_per_kWh,selection_rule
1,0.3,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
2,0.3,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
3,0.3,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
4,0.3,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
5,0.32,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
6,0.36,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
7,0.45,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
8,0.58,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
9,0.68,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
10,0.74,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
11,0.78,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
12,0.82,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
13,0.86,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
14,0.88,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
15,0.8,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
16,0.72,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
17,0.7,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
18,0.78,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
19,0.92,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
20,0.98,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
21,0.95,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
22,0.8,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
23,0.55,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
24,0.35,0.3,0.98,0.634166666666667,0.634166666666667,arithmetic_mean_of_live_MSP_24h_vector
