case_id,decision_label,eta,top_loss_fraction,scenario_count,nominal_probability_mass,worst_probability_mass,probability_mass_change,mean_shortage_in_top_set_kg
1,SAA,0,0.001,15,0.001,0.001,3.03576608295941e-18,277.955068234096
1,SAA,0,0.005,75,0.005,0.005,1.47451495458029e-17,208.420842084208
1,SAA,0,0.01,150,0.01,0.01,2.77555756156289e-17,170.591604615007
1,SAA,0,0.05,750,0.0499999999999998,0.05,2.28983498828939e-16,92.2674085590379
2,ETA_0.0003,0.0003,0.001,15,0.001,0.0012053453121303,0.0002053453121303,277.464100210718
2,ETA_0.0003,0.0003,0.005,75,0.005,0.0057609947059547,0.0007609947059547,207.216973698305
2,ETA_0.0003,0.0003,0.01,150,0.01,0.0112339855497369,0.0012339855497369,169.14956968839
2,ETA_0.0003,0.0003,0.05,750,0.0499999999999998,0.0531839829355052,0.0031839829355054,90.215095201037
3,ETA_0.001,0.001,0.001,15,0.001,0.0013770414097566,0.0003770414097566,277.427041342142
3,ETA_0.001,0.001,0.005,75,0.005,0.0063948534557367,0.0013948534557367,206.827345274638
3,ETA_0.001,0.001,0.01,150,0.01,0.012260249118279,0.0022602491182789,168.712442263667
3,ETA_0.001,0.001,0.05,750,0.0499999999999998,0.0558045812655473,0.0058045812655474,89.5730546273129
4,ETA_0.003,0.003,0.001,15,0.001,0.001663210802122,0.000663210802122,275.753528211579
4,ETA_0.003,0.003,0.005,75,0.005,0.0074464735063011,0.0024464735063011,204.973169605624
4,ETA_0.003,0.003,0.01,150,0.01,0.0139557922767422,0.0039557922767422,166.832854853436
4,ETA_0.003,0.003,0.05,750,0.0499999999999998,0.0600002639209084,0.0100002639209086,87.2381871157842
5,ETA_0.01,0.01,0.001,15,0.001,0.0022292229884788,0.0012292229884788,274.869856402096
5,ETA_0.01,0.01,0.005,75,0.005,0.0095174685901274,0.0045174685901274,203.54330138867
5,ETA_0.01,0.01,0.01,150,0.01,0.0172900242883133,0.0072900242883133,165.334077757195
5,ETA_0.01,0.01,0.05,750,0.0499999999999998,0.0681502211829115,0.0181502211829117,85.1896780400683
6,ETA_0.03,0.03,0.001,15,0.001,0.0031754005780142,0.0021754005780142,273.682386363653
6,ETA_0.03,0.03,0.005,75,0.005,0.0129435845769287,0.0079435845769287,201.360887703176
6,ETA_0.03,0.03,0.01,150,0.01,0.0227819347130494,0.0127819347130494,163.08213157671
6,ETA_0.03,0.03,0.05,750,0.0499999999999998,0.0811626031377161,0.0311626031377163,82.3463838161975
