"state_id","state_label","intensity","loc","lfw","local_payload_path","payload_bytes","payload_sha256","original_R","exact_group_count","duplicate_record_count","maximum_multiplicity","prepare_runtime_sec"
"1","a0=2|loc0=1|lfw0=0","2","1","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-001-period-input.mat","186804","9369752282b6b5f54068d7a9af6c4fdcbd693d9c680ab78d9ac93b76fa5f2c6a","15000","255","14745","14713","102.7309531"
"2","a0=2|loc0=2|lfw0=0","2","2","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-002-period-input.mat","191707","d7c3edf9eb08028db2b270921552b0b0a49ace33a3a878ee3c76ba32a285dfc9","15000","264","14736","14700","103.9083043"
"3","a0=2|loc0=3|lfw0=0","2","3","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-003-period-input.mat","156979","3fa53ffa8bc4b50e88dbc650cd8df944a103312e6573073d8882b28859686ca9","15000","219","14781","14740","103.2040516"
"4","a0=2|loc0=4|lfw0=0","2","4","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-004-period-input.mat","188788","322c71dd86929f4af40efa2ca2a3cc5ed27ea37af237773c539db2f83d8c6d77","15000","240","14760","14721","102.4483351"
"5","a0=2|loc0=5|lfw0=0","2","5","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-005-period-input.mat","125117","57dc20d34dccf958b3f0fe51cd6c223e08b4f6a30ac54e927f4071786d458456","15000","187","14813","14780","106.0830286"
"6","a0=2|loc0=6|lfw0=0","2","6","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-006-period-input.mat","111073","b9d3c7cd4cac86e0734470fa8bd5f27d0e9743744d431555417251065305602c","15000","159","14841","14829","105.3841321"
"7","a0=2|loc0=7|lfw0=0","2","7","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-007-period-input.mat","80507","2d4febdf4a7a3153f07996fb4369b6ae63b125b45d845f4b11bb6f491602693f","15000","116","14884","14867","103.9276301"
"8","a0=3|loc0=1|lfw0=0","3","1","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-008-period-input.mat","2320132","db85fa4a27ab4c86645d1f72676ed095ab67fd99e579e3740bb1b42a47a5ebac","15000","2405","12595","11305","101.3580501"
"9","a0=3|loc0=2|lfw0=0","3","2","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-009-period-input.mat","2543363","5e727b68b277fcf54f5e4d5d543d039383eabcf5b7092f5bfabeafe3043c0aa9","15000","2500","12500","11131","104.9453764"
"10","a0=3|loc0=3|lfw0=0","3","3","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-010-period-input.mat","2395829","8164c9e6ae5a063a2538e3b2053fbb825d4ff3921531253389b7895f851dafe5","15000","2359","12641","11331","103.6336833"
"11","a0=3|loc0=4|lfw0=0","3","4","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-011-period-input.mat","2241817","32c2d098d0f4e93a147b7e0bfff9fa4dd6f540d1df37ca6762ef3921c86523f8","15000","2176","12824","11571","104.6967801"
"12","a0=3|loc0=5|lfw0=0","3","5","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-012-period-input.mat","1879217","678b7f691abfc4626c7ba79e77e525972ce21d3ebd08e6c84d8520486b2e1f3e","15000","1875","13125","12140","103.9555266"
"13","a0=3|loc0=6|lfw0=0","3","6","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-013-period-input.mat","1366306","5e699a5f920bfc20b76f1140a01815469b7b6e43ab9d3734ba2aea7989131bc2","15000","1400","13600","12792","106.2209908"
"14","a0=3|loc0=7|lfw0=0","3","7","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-014-period-input.mat","973292","3f9c8731c630944d2c2a85e59c9b6b700b37d55f58885430bd111afb411bd918","15000","1032","13968","13452","106.6746404"
"15","a0=4|loc0=1|lfw0=0","4","1","0","C:\Users\chaos\Desktop\biye\test\testH2_v2\results\task-002-stage2b-b3-smoke\53-35state-saa-vs-eta003-terminal-loh\run-024\prepared_inputs\state-015-period-input.mat","12073651","a02d37501b6854eda9cfc5d084cc62a75dc496564b83bcbee1a6e353a2499960","15000","9136","5864","4484","105.6702499"
