case_id,state_id,state_label,intensity,loc,lfw,method_index,method_label,eta,scenario_count,nominal_weight,c_H2_yuan_per_kg,M_H2_yuan_per_kg
1,1,a0=2|loc0=1|lfw0=0,2,1,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
2,1,a0=2|loc0=1|lfw0=0,2,1,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
3,2,a0=2|loc0=2|lfw0=0,2,2,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
4,2,a0=2|loc0=2|lfw0=0,2,2,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
5,3,a0=2|loc0=3|lfw0=0,2,3,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
6,3,a0=2|loc0=3|lfw0=0,2,3,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
7,4,a0=2|loc0=4|lfw0=0,2,4,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
8,4,a0=2|loc0=4|lfw0=0,2,4,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
9,5,a0=2|loc0=5|lfw0=0,2,5,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
10,5,a0=2|loc0=5|lfw0=0,2,5,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
11,6,a0=2|loc0=6|lfw0=0,2,6,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
12,6,a0=2|loc0=6|lfw0=0,2,6,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
13,7,a0=2|loc0=7|lfw0=0,2,7,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
14,7,a0=2|loc0=7|lfw0=0,2,7,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
15,8,a0=3|loc0=1|lfw0=0,3,1,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
16,8,a0=3|loc0=1|lfw0=0,3,1,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
17,9,a0=3|loc0=2|lfw0=0,3,2,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
18,9,a0=3|loc0=2|lfw0=0,3,2,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
19,10,a0=3|loc0=3|lfw0=0,3,3,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
20,10,a0=3|loc0=3|lfw0=0,3,3,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
21,11,a0=3|loc0=4|lfw0=0,3,4,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
22,11,a0=3|loc0=4|lfw0=0,3,4,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
23,12,a0=3|loc0=5|lfw0=0,3,5,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
24,12,a0=3|loc0=5|lfw0=0,3,5,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
25,13,a0=3|loc0=6|lfw0=0,3,6,0,1,SAA,0,15000,6.66666666666667e-05,32.5213675213675,1283.205
26,13,a0=3|loc0=6|lfw0=0,3,6,0,2,ETA_0.03,0.03,15000,6.66666666666667e-05,32.5213675213675,1283.205
