state_id,state_label,intensity,loc,lfw,mapping_order,scenario_input_path,scenario_row_start,scenario_row_end,scenario_count,nominal_weight,path_probability_used
1,a0=2|loc0=1|lfw0=0,2,1,0,1,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,1,15000,15000,6.66666666666667e-05,0
2,a0=2|loc0=2|lfw0=0,2,2,0,2,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,15001,30000,15000,6.66666666666667e-05,0
3,a0=2|loc0=3|lfw0=0,2,3,0,3,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,30001,45000,15000,6.66666666666667e-05,0
4,a0=2|loc0=4|lfw0=0,2,4,0,4,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,45001,60000,15000,6.66666666666667e-05,0
5,a0=2|loc0=5|lfw0=0,2,5,0,5,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,60001,75000,15000,6.66666666666667e-05,0
6,a0=2|loc0=6|lfw0=0,2,6,0,6,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,75001,90000,15000,6.66666666666667e-05,0
7,a0=2|loc0=7|lfw0=0,2,7,0,7,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,90001,105000,15000,6.66666666666667e-05,0
8,a0=3|loc0=1|lfw0=0,3,1,0,8,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,105001,120000,15000,6.66666666666667e-05,0
9,a0=3|loc0=2|lfw0=0,3,2,0,9,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,120001,135000,15000,6.66666666666667e-05,0
10,a0=3|loc0=3|lfw0=0,3,3,0,10,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,135001,150000,15000,6.66666666666667e-05,0
11,a0=3|loc0=4|lfw0=0,3,4,0,11,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,150001,165000,15000,6.66666666666667e-05,0
12,a0=3|loc0=5|lfw0=0,3,5,0,12,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,165001,180000,15000,6.66666666666667e-05,0
13,a0=3|loc0=6|lfw0=0,3,6,0,13,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,180001,195000,15000,6.66666666666667e-05,0
14,a0=3|loc0=7|lfw0=0,3,7,0,14,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,195001,210000,15000,6.66666666666667e-05,0
15,a0=4|loc0=1|lfw0=0,4,1,0,15,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,210001,225000,15000,6.66666666666667e-05,0
16,a0=4|loc0=2|lfw0=0,4,2,0,16,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,225001,240000,15000,6.66666666666667e-05,0
17,a0=4|loc0=3|lfw0=0,4,3,0,17,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,240001,255000,15000,6.66666666666667e-05,0
18,a0=4|loc0=4|lfw0=0,4,4,0,18,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,255001,270000,15000,6.66666666666667e-05,0
19,a0=4|loc0=5|lfw0=0,4,5,0,19,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,270001,285000,15000,6.66666666666667e-05,0
20,a0=4|loc0=6|lfw0=0,4,6,0,20,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,285001,300000,15000,6.66666666666667e-05,0
21,a0=4|loc0=7|lfw0=0,4,7,0,21,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,300001,315000,15000,6.66666666666667e-05,0
22,a0=5|loc0=1|lfw0=0,5,1,0,22,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,315001,330000,15000,6.66666666666667e-05,0
23,a0=5|loc0=2|lfw0=0,5,2,0,23,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,330001,345000,15000,6.66666666666667e-05,0
24,a0=5|loc0=3|lfw0=0,5,3,0,24,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,345001,360000,15000,6.66666666666667e-05,0
25,a0=5|loc0=4|lfw0=0,5,4,0,25,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,360001,375000,15000,6.66666666666667e-05,0
26,a0=5|loc0=5|lfw0=0,5,5,0,26,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,375001,390000,15000,6.66666666666667e-05,0
27,a0=5|loc0=6|lfw0=0,5,6,0,27,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,390001,405000,15000,6.66666666666667e-05,0
28,a0=5|loc0=7|lfw0=0,5,7,0,28,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,405001,420000,15000,6.66666666666667e-05,0
29,a0=6|loc0=1|lfw0=0,6,1,0,29,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,420001,435000,15000,6.66666666666667e-05,0
30,a0=6|loc0=2|lfw0=0,6,2,0,30,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,435001,450000,15000,6.66666666666667e-05,0
31,a0=6|loc0=3|lfw0=0,6,3,0,31,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,450001,465000,15000,6.66666666666667e-05,0
32,a0=6|loc0=4|lfw0=0,6,4,0,32,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,465001,480000,15000,6.66666666666667e-05,0
33,a0=6|loc0=5|lfw0=0,6,5,0,33,C:\Users\chaos\Desktop\biye\test\testH2_v2\terminalLoh_wdro\output\stage3j_wdro_input_freeze\run-001\wdro_nominal_input_DAC.mat,480001,495000,15000,6.66666666666667e-05,0
